pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2022-01,12,6,6,-1271.8314269102584,0.6354888346591306
EURUSD,2022-02,9,4,5,-2179.9836170542567,0.43011077134345244
EURUSD,2022-03,11,7,4,1622.692170706147,1.675323587862601
EURUSD,2022-04,9,4,5,-2790.300825092997,0.27264821073511525
EURUSD,2022-05,14,7,7,-1385.9643232380658,0.7047449887914669
EURUSD,2022-06,8,2,6,-2588.1327404495905,0.1861459691273284
EURUSD,2022-07,11,6,5,-1193.7079467928631,0.7271542043416755
EURUSD,2022-08,9,4,5,-2108.8215900476735,0.48999436808252317
EURUSD,2022-09,8,5,3,-635.9403387233897,0.7575412005812605
EURUSD,2022-10,7,3,4,-1860.922521650912,0.520043189045169
EURUSD,2022-11,7,0,7,-5733.573886911583,0.0
EURUSD,2022-12,11,7,4,330.52963923349455,1.0980401121445493
EURUSD,2023-01,10,4,6,-4008.724123004092,0.21399110631695228
EURUSD,2023-02,8,2,6,-2765.797054304012,0.28008287131337156
EURUSD,2023-03,11,5,6,-2479.149681383195,0.3808902946728405
EURUSD,2023-04,12,3,9,-3086.8032815487745,0.18190068177215293
EURUSD,2023-05,9,3,6,-1971.6244758151565,0.19588820057597872
EURUSD,2023-06,13,10,3,750.0202719975657,1.5351656995666956
EURUSD,2023-07,7,4,3,-1117.3056545954528,0.399638815515808
EURUSD,2023-08,10,5,5,-615.839106173212,0.7086932116644379
EURUSD,2023-09,11,5,6,-1911.058223086717,0.2850455593700677
EURUSD,2023-10,4,3,1,145.54874683400033,1.2640109627603315
EURUSD,2023-11,15,5,10,-2895.8439775293873,0.277759337408888
EURUSD,2023-12,16,8,8,-1760.161570600797,0.47023524048262255
EURUSD,2024-01,6,2,4,-974.9833917084736,0.05836455892053448
EURUSD,2024-02,7,5,2,-470.0440402865221,0.49158014911762377
EURUSD,2024-03,12,6,6,-698.6331250176328,0.45938854969462833
EURUSD,2024-04,6,2,4,-1223.9002477003794,0.09549052671597823
EURUSD,2024-05,10,1,9,-1804.0041285920834,0.08557726386189472
EURUSD,2024-06,9,2,7,-997.2671993466192,0.23862929663870136
EURUSD,2024-07,12,4,8,-1705.5752402182293,0.19155164890129625
EURUSD,2024-08,7,1,6,-1885.4412064620951,0.06303959041513367
EURUSD,2024-09,9,3,6,-1418.2746530479299,0.3222038180394643
EURUSD,2024-10,10,5,5,-266.2629374047456,0.7536047579256204
EURUSD,2024-11,9,6,3,-351.57341256460506,0.7333919685894101
EURUSD,2024-12,10,4,6,-1082.3298458679676,0.4092673691805106
EURUSD,2025-01,13,4,9,-2079.781397687082,0.3376450182943944
EURUSD,2025-02,6,2,4,-735.8010859794009,0.24582122863457567
EURUSD,2025-03,10,5,5,-349.73913860337996,0.7615798082521295
EURUSD,2025-04,15,7,8,-2149.6185723038006,0.570554324539237
EURUSD,2025-05,9,4,5,-831.4474129525954,0.47382901012708134
EURUSD,2025-06,14,5,9,-2256.9578386203566,0.23224123495916207
EURUSD,2025-07,11,6,5,-280.0766878415874,0.7791742086584457
EURUSD,2025-08,9,4,5,-130.680539543456,0.8548979562789703
EURUSD,2025-09,17,10,7,-234.50139661715897,0.8349486296814495
EURUSD,2025-10,17,11,6,188.24556959410748,1.166979050229867
EURUSD,2025-11,9,2,7,-1187.1612020612843,0.10896799388646884
EURUSD,2025-12,15,7,8,-1031.281142919158,0.3161434816740428
