pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2020-01,12,3,9,-4163.42123039877,0.1109638076042191
USDJPY,2020-02,12,7,5,-322.39020596499154,0.8923480714668032
USDJPY,2020-03,7,3,4,-2240.8179586655942,0.4853187290431084
USDJPY,2020-04,9,5,4,-2058.429968640643,0.42568594709704793
USDJPY,2020-05,10,6,4,-302.7353231387688,0.8451685246826326
USDJPY,2020-06,9,4,5,-2197.5263595914917,0.24749817157533155
USDJPY,2020-07,8,2,6,-3408.0573231133403,0.07256553594729147
USDJPY,2020-08,11,4,7,-3484.5760308381846,0.20550217226036308
USDJPY,2020-09,12,3,9,-2920.6503777674006,0.20592986471692315
USDJPY,2020-10,11,4,7,-2191.489390328853,0.15353073134961592
USDJPY,2020-11,8,3,5,-1898.743257210153,0.17215166301830934
USDJPY,2020-12,9,4,5,-1940.594809991752,0.2575548665909855
USDJPY,2021-01,10,5,5,-1671.9789827931843,0.26228102583429996
USDJPY,2021-02,9,2,7,-2459.1997595467324,0.0731965577245375
USDJPY,2021-03,9,5,4,-1186.5055136249628,0.4774801604646333
USDJPY,2021-04,10,5,5,-1061.2989889431908,0.41000413164104565
USDJPY,2021-05,7,5,2,-111.30490386082917,0.8405180947479424
USDJPY,2021-06,8,3,5,-1606.1193038422152,0.18803487777351768
USDJPY,2021-07,14,3,11,-3566.1917890891964,0.05746521557129481
USDJPY,2021-08,12,6,6,-1010.537494975651,0.35715292530525933
USDJPY,2021-09,13,4,9,-1164.4051728427548,0.290557749649493
USDJPY,2021-10,8,4,4,-884.448817814239,0.4055749846038546
USDJPY,2021-11,6,2,4,-1118.5283197204892,0.22629679263189728
USDJPY,2021-12,7,1,6,-1658.9287324324202,0.051402596432257155
