pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022-01,10,4,6,-1028.0670123931998,0.5784193953989405
USDJPY,2022-02,5,3,2,-77.34265984265892,0.9316881506411777
USDJPY,2022-03,10,6,4,-525.1998399521076,0.7882006268862686
USDJPY,2022-04,13,10,3,1603.152232116605,1.5667550094989418
USDJPY,2022-05,8,6,2,1129.5534609151316,1.801443196282661
USDJPY,2022-06,10,5,5,-1195.7472218776393,0.7087388298796584
USDJPY,2022-07,9,5,4,-1440.775002870377,0.629945712216245
USDJPY,2022-08,12,6,6,-1550.3161052296682,0.6710204095919081
USDJPY,2022-09,12,4,8,-4212.526073617572,0.31426826570731753
USDJPY,2022-10,7,3,4,-396.48324558073455,0.7889606364789556
USDJPY,2022-11,6,0,6,-5152.139700417021,0.0
USDJPY,2022-12,11,7,4,360.3260225887833,1.1259288019689797
USDJPY,2023-01,6,3,3,-1406.818107844947,0.5079510509839862
USDJPY,2023-02,10,3,7,-4452.443309055549,0.140350077563953
USDJPY,2023-03,13,10,3,3464.048541312157,2.406920206868924
USDJPY,2023-04,10,7,3,2573.0254778602916,3.097837680659046
USDJPY,2023-05,6,2,4,-2796.0843319465885,0.19374859501557448
USDJPY,2023-06,8,5,3,-302.2815043709991,0.8429339536159087
USDJPY,2023-07,8,4,4,-1287.5092764721328,0.505507652427087
USDJPY,2023-08,9,3,6,-3027.877041660728,0.2523682016473895
USDJPY,2023-09,8,3,5,-1752.4570861011803,0.24429689796220028
USDJPY,2023-10,7,1,6,-2782.206803820946,0.010283536211119835
USDJPY,2023-11,12,3,9,-3532.8038731041424,0.12710484537772437
USDJPY,2023-12,8,5,3,-269.16899430032277,0.8666431816621863
USDJPY,2024-01,13,6,7,-2034.8020008423427,0.42404010273185966
USDJPY,2024-02,13,6,7,-2121.521721210343,0.27972546354784444
USDJPY,2024-03,8,5,3,-435.91982209540015,0.7190432084225081
USDJPY,2024-04,13,6,7,-1834.2403396276643,0.33238563495626766
USDJPY,2024-05,6,2,4,-1938.993140602734,0.06256887554565774
USDJPY,2024-06,6,3,3,-284.10819854549914,0.610786680165375
USDJPY,2024-07,8,3,5,-1327.4378302743353,0.4803755902891564
USDJPY,2024-08,8,6,2,993.2918284413247,1.667482641490533
USDJPY,2024-09,10,5,5,-1405.9305272957686,0.5528906412206108
USDJPY,2024-10,13,6,7,-1609.8643696411395,0.5346765464212275
USDJPY,2024-11,8,5,3,59.3604296252895,1.0542788240641625
USDJPY,2024-12,9,7,2,1127.177358861663,2.2323793211943053
USDJPY,2025-01,8,2,6,-2828.19869530104,0.08806601629355212
USDJPY,2025-02,5,1,4,-1217.1466293677906,0.20014926987450427
USDJPY,2025-03,10,5,5,79.11682280963487,1.031445100658259
USDJPY,2025-04,10,7,3,1283.6366280615366,1.5950017392469211
USDJPY,2025-05,13,6,7,-1694.8388431715816,0.5654337771937548
USDJPY,2025-06,11,4,7,-1633.1516824808455,0.41362539702230494
USDJPY,2025-07,9,5,4,-275.36097499733137,0.8387384405301993
USDJPY,2025-08,6,2,4,-1223.5051849707615,0.08686646376211461
USDJPY,2025-09,13,8,5,-242.6896601303713,0.8694451147893016
USDJPY,2025-10,16,10,6,-417.4165847749083,0.8473768113907958
USDJPY,2025-11,14,9,5,372.5933075979672,1.238018421665863
USDJPY,2025-12,15,9,6,-406.0600556818358,0.7648628487785962
