pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2020-01,8,3,5,-1792.4249310696457,0.16280463078695573
USDJPY,2020-02,7,4,3,-790.0092144585703,0.37695852672340463
USDJPY,2020-03,5,2,3,-1324.609355597666,0.4447692815576188
USDJPY,2020-04,6,2,4,-2440.454275146393,0.13248242115968925
USDJPY,2020-05,4,1,3,-1469.7439558334308,0.1021199906154749
USDJPY,2020-06,6,5,1,335.32073490153084,1.4275117168790605
USDJPY,2020-07,5,2,3,-1072.4434562094825,0.20585245056262
USDJPY,2020-08,10,3,7,-3168.719089932048,0.1557180362520456
USDJPY,2020-09,5,2,3,-1194.3039837394153,0.21419354239214394
USDJPY,2020-10,8,2,6,-1825.3935029050554,0.05671639418562554
USDJPY,2020-11,5,2,3,-778.2699716879849,0.24209153655613933
USDJPY,2020-12,6,2,4,-1445.7166125453834,0.1164093069323827
USDJPY,2021-01,7,0,7,-2560.5698072266896,0.0
USDJPY,2021-02,7,2,5,-1263.248032723165,0.13705678231750118
USDJPY,2021-03,7,2,5,-1780.8653635601054,0.11508344807960519
USDJPY,2021-04,7,2,5,-1701.9723634058257,0.062353301727380565
USDJPY,2021-05,6,4,2,-384.7066305644805,0.4721862686186462
USDJPY,2021-06,8,4,4,-1280.0302059979756,0.11850907258451547
USDJPY,2021-07,9,5,4,-1191.1577857904285,0.24953751517571687
USDJPY,2021-08,10,4,6,-1840.2968146057383,0.10867976904022089
USDJPY,2021-09,5,2,3,-775.4961841288757,0.12270949930459085
USDJPY,2021-10,8,5,3,-601.4558718381538,0.5014458370212808
USDJPY,2021-11,5,2,3,-684.0916804354604,0.3673830598846135
USDJPY,2021-12,12,4,8,-2389.4151827302476,0.13117919499351652
