csr_h1_adx_max,csr_m15_extension_atr,csr_reversal_body_atr_min,stop_atr_multiple,csr_take_profit_rr_cap,csr_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
16.0,0.45,0.1,0.8,0.8,3,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.45,0.1,0.8,0.8,5,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.45,0.2,0.8,0.8,3,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.45,0.2,0.8,0.8,5,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.6,0.1,0.8,0.8,3,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.6,0.1,0.8,0.8,5,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.6,0.2,0.8,0.8,3,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.6,0.2,0.8,0.8,5,-66.9932458985773,-13.711628618194789,-67.55890643419224,3.7809701566430154,-0.14527558379678618,-0.18442903279855777,0.6978523485691549,0.0,0.12388062657206145,100000.0,99418.89766481286,-0.5811023351871447,0.6978523485691549,-0.3681172837645798,0.16729901908533915,2,1,1,0,50.0,1.0,0.5,-290.55116759356963,-290.55116759356963,5.0,5.0,1,1
16.0,0.45,0.1,0.6,0.8,3,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.45,0.1,0.6,0.8,5,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.45,0.2,0.6,0.8,3,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.45,0.2,0.6,0.8,5,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.6,0.1,0.6,0.8,3,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.6,0.1,0.6,0.8,5,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.6,0.2,0.6,0.8,3,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.6,0.2,0.6,0.8,5,-67.59456820456775,-15.611514328141226,-68.05483323282566,3.7687052611235017,-0.1248180881074007,-0.2011290509405035,0.5552521401070989,0.0,0.07482104449400646,100000.0,99500.7276475704,-0.4992723524296028,0.5552521401070989,-0.40138876249746375,0.10081867972034143,2,1,1,0,50.0,1.0,0.5,-249.63617621480657,-249.63617621480657,5.0,5.0,1,1
16.0,0.45,0.1,0.8,0.6,3,-67.66479747498202,-16.353027798973038,-68.24652138566697,3.7685005319386335,-0.16048221964647114,-0.2061559991935374,0.6978523485691549,0.0,0.07400212775453442,100000.0,99358.07112141412,-0.6419288785858845,0.6978523485691549,-0.411400899296239,0.08013653618552961,2,1,1,0,50.0,1.0,0.5,-320.96443929294526,-320.96443929294526,5.0,5.0,1,1
