context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
fri|core|balanced|deep|long,1,1,0,100.0,inf,415.96100214124004,0.5744595496663848
mon_tue|late|balanced|deep|short,1,1,0,100.0,inf,137.57398975856,0.3706280893363533
mon_tue|late|balanced|mild|short,1,1,0,100.0,inf,101.70765715155588,0.32222137155732067
fri|late|balanced|mild|long,1,1,0,100.0,inf,65.32760064751338,0.37530096046135464
mon_tue|early|balanced|deep|long,3,2,1,66.66666666666666,0.9142878543440532,-69.59115227609811,-0.010571671208384278
fri|late|balanced|deep|long,1,0,1,0.0,0.0,-465.30635000936263,-1.3547776887138292
fri|early|balanced|deep|long,2,1,1,50.0,0.45466043791692623,-485.0758104606344,-0.30855032809611044
mon_tue|late|balanced|deep|long,1,0,1,0.0,0.0,-720.9729556625417,-1.202459064242926
wed_thu|early|balanced|deep|long,1,0,1,0.0,0.0,-755.5298914137644,-1.194176672080908
mon_tue|early|balanced|deep|short,1,0,1,0.0,0.0,-809.6017034288566,-1.1042316297449755
wed_thu|early|balanced|deep|short,2,0,2,0.0,0.0,-1029.8490994816216,-0.6964237589956612
mon_tue|core|balanced|deep|long,2,0,2,0.0,0.0,-1502.5983729663374,-1.1798900795803895
