context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,546.6532423635077,0.7544835533246448
wed_thu|core|balanced|deep|short,1,1,0,100.0,inf,82.78055951352951,0.1263637380262899
fri|late|balanced|mild|long,1,1,0,100.0,inf,32.70488714121302,0.19132946686160326
mon_tue|late|balanced|mild|short,2,1,1,50.0,0.31761856648020964,-331.27097394757146,-0.400496567868409
fri|early|balanced|deep|long,2,1,1,50.0,0.5747771499066335,-378.2328167197951,-0.20858362365175653
fri|late|balanced|deep|long,1,0,1,0.0,0.0,-435.1137872667352,-1.354777688713829
mon_tue|late|balanced|deep|long,1,0,1,0.0,0.0,-674.3239953540237,-1.2024590642429263
wed_thu|early|balanced|deep|long,1,0,1,0.0,0.0,-706.4949815348856,-1.1941766720809077
fri|core|balanced|deep|long,1,0,1,0.0,0.0,-771.9155821402314,-1.1257087110721091
mon_tue|early|balanced|deep|short,2,0,2,0.0,0.0,-1351.5082586130195,-0.9589314513346562
mon_tue|core|balanced|deep|long,2,0,2,0.0,0.0,-1425.5808535396877,-1.1798900795803895
wed_thu|late|balanced|deep|long,2,0,2,0.0,0.0,-1578.8615524720487,-1.1159897944237698
wed_thu|early|balanced|deep|short,2,0,2,0.0,0.0,-1655.4393293425323,-1.1259927379118007
mon_tue|early|balanced|deep|long,3,0,3,0.0,0.0,-2420.5461845717477,-1.146545387335532
