trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,exit_price,exit_time,pnl_r_base,pnl_r_net_ftmo,commission_r
N/A,2016-11-01T11:06:00+00:00,SHORT,1.10037,1.10037,1.1013640000000005,0.0007100000000002,TP,1.1013640000000005,2016-11-01T11:06:00.276000+00:00,1.4,-702.8254,704.2254
N/A,2016-11-02T12:54:00+00:00,SHORT,1.10866,1.1102600000000002,1.1064199999999995,0.0016000000000002,BE,1.10866,2016-11-02T12:59:21.102000+00:00,0.0,-312.5,312.5
N/A,2016-11-03T11:00:00+00:00,SHORT,1.10777,1.10777,1.1067059999999995,0.0007600000000003,SL,1.10777,2016-11-03T11:00:00.124000+00:00,-1.0,-658.8947,657.8947
N/A,2016-11-04T12:00:00+00:00,SHORT,1.11018,1.11018,1.1134000000000002,0.0023000000000001,TP,1.1134000000000002,2016-11-04T12:00:00.194000+00:00,1.4,-215.9913,217.3913
N/A,2016-11-07T17:48:00+00:00,SHORT,1.10389,1.10389,1.1056400000000004,0.0012500000000001,TP,1.1056400000000004,2016-11-07T17:48:09.419000+00:00,1.4,-398.6,400.0
N/A,2016-11-08T16:39:00+00:00,SHORT,1.10414,1.10414,1.1025999999999994,0.0011000000000003,SL,1.10414,2016-11-08T16:39:00.001000+00:00,-1.0,-455.5455,454.5455
N/A,2016-11-09T12:00:00+00:00,SHORT,1.10865,1.1092500000000003,1.1078099999999993,0.0006000000000003,BE,1.10865,2016-11-09T12:02:56.111000+00:00,0.0,-833.3333,833.3333
N/A,2016-11-10T12:15:00+00:00,SHORT,1.08886,1.08886,1.0856539999999997,0.0022900000000003,SL,1.08886,2016-11-10T12:15:00.009000+00:00,-1.0,-219.3406,218.3406
N/A,2016-11-11T12:15:00+00:00,SHORT,1.08795,1.08795,1.0901480000000003,0.0015700000000002,TP,1.0901480000000003,2016-11-11T12:15:00.700000+00:00,1.4,-317.0713,318.4713
N/A,2016-11-14T14:00:00+00:00,SHORT,1.07565,1.07565,1.0735779999999997,0.0014800000000001,SL,1.07565,2016-11-14T14:00:00.105000+00:00,-1.0,-338.8378,337.8378
N/A,2016-11-15T18:48:00+00:00,SHORT,1.07239,1.07239,1.0704159999999994,0.0014100000000003,SL,1.07239,2016-11-15T18:48:02.073000+00:00,-1.0,-355.6099,354.6099
N/A,2016-11-16T12:39:00+00:00,SHORT,1.07059,1.07059,1.073306,0.00194,TP,1.073306,2016-11-16T12:39:00.140000+00:00,1.4,-256.332,257.732
N/A,2016-11-17T12:03:00+00:00,SHORT,1.07307,1.07307,1.070858,0.0015800000000001,SL,1.07307,2016-11-17T12:03:00.331000+00:00,-1.0,-317.4557,316.4557
N/A,2016-11-18T12:45:00+00:00,SHORT,1.06296,1.06296,1.06548,0.0018,TP,1.06548,2016-11-18T12:45:00.519000+00:00,1.4,-276.3778,277.7778
N/A,2016-11-21T20:00:00+00:00,SHORT,1.06145,1.06145,1.0622620000000005,0.0005800000000002,TP,1.0622620000000005,2016-11-21T20:00:00.181000+00:00,1.4,-860.669,862.069
N/A,2016-11-22T15:15:00+00:00,SHORT,1.06137,1.06137,1.0599279999999995,0.0010300000000003,SL,1.06137,2016-11-22T15:15:00.421000+00:00,-1.0,-486.4369,485.4369
N/A,2016-11-23T15:12:00+00:00,SHORT,1.05372,1.05372,1.0503319999999996,0.0024200000000003,SL,1.05372,2016-11-23T15:12:01.091000+00:00,-1.0,-207.6116,206.6116
N/A,2016-11-24T21:00:00+00:00,SHORT,1.05567,1.05567,1.0569720000000005,0.0009300000000003,TP,1.0569720000000005,2016-11-24T21:00:01.002000+00:00,1.4,-536.2344,537.6344
N/A,2016-11-25T12:24:00+00:00,SHORT,1.05934,1.05934,1.0607120000000003,0.0009800000000002,TP,1.0607120000000003,2016-11-25T12:24:00.083000+00:00,1.4,-508.8041,510.2041
N/A,2016-11-28T12:18:00+00:00,SHORT,1.06,1.06,1.0583479999999998,0.0011800000000001,SL,1.06,2016-11-28T12:18:00.901000+00:00,-1.0,-424.7288,423.7288
N/A,2016-11-29T13:06:00+00:00,SHORT,1.05746,1.05746,1.0545619999999998,0.0020700000000002,SL,1.05746,2016-11-29T13:06:00.168000+00:00,-1.0,-242.5459,241.5459
N/A,2016-11-30T14:06:00+00:00,SHORT,1.06095,1.06095,1.0574499999999998,0.0025000000000001,SL,1.06095,2016-11-30T14:06:00.379000+00:00,-1.0,-201.0,200.0
