doc,path,issue
CLOUD_WORKFLOW.MD,CLOUD_WORKFLOW.md,Duplicate core document found outside canonical location
AGENTS.MD,reports\canonical_context_master_20260416_163108\AGENTS.md,Duplicate core document found outside canonical location
RESEARCH_OPERATING_SYSTEM.MD,reports\canonical_context_master_20260416_163108\RESEARCH_OPERATING_SYSTEM.md,Duplicate core document found outside canonical location
RISK_PROTOCOL.MD,reports\canonical_context_master_20260416_163108\RISK_PROTOCOL.md,Duplicate core document found outside canonical location
AGENTS.MD,reports\canonical_microstructure_iter2_20260416_172155\AGENTS.md,Duplicate core document found outside canonical location
RESEARCH_OPERATING_SYSTEM.MD,reports\canonical_microstructure_iter2_20260416_172155\RESEARCH_OPERATING_SYSTEM.md,Duplicate core document found outside canonical location
RISK_PROTOCOL.MD,reports\canonical_microstructure_iter2_20260416_172155\RISK_PROTOCOL.md,Duplicate core document found outside canonical location
AGENTS.MD,ARCHIVE_SUPERSEDED\old_root_documents\AGENTS.md,Duplicate core document found outside canonical location
RESEARCH_OPERATING_SYSTEM.MD,ARCHIVE_SUPERSEDED\old_root_documents\RESEARCH_OPERATING_SYSTEM.md,Duplicate core document found outside canonical location
RISK_PROTOCOL.MD,ARCHIVE_SUPERSEDED\old_root_documents\RISK_PROTOCOL.md,Duplicate core document found outside canonical location
AGENTS.MD,ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\AGENTS.md,Duplicate core document found outside canonical location
RESEARCH_OPERATING_SYSTEM.MD,ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\RESEARCH_OPERATING_SYSTEM.md,Duplicate core document found outside canonical location
RISK_PROTOCOL.MD,ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\RISK_PROTOCOL.md,Duplicate core document found outside canonical location
