file,line,match,keyword,severity
BOT_V2_DAYTIME_LAB\src\analyze_manual_perf.py,8,"input_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_norma",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\analyze_manual_perf.py,9,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\manual_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\audit_patterns.py,7,"input_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_norma",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\audit_patterns.py,8,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\manual_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\canonical_zip_identity_proof.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\check_candidate_streak.py,5,"trades = pd.read_csv(rf""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\cleanup_temp_zips.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\compare_results.py,7,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\create_bypass_zip.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\create_v2_bundle.py,7,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\debug_fvg.py,7,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\debug_m15.py,7,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\debug_trades.py,7,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\debug_zip_identity.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\desktop_bypass_zip.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\desktop_bypass_zip.py,10,"desktop = Path(r""C:\Users\alera\Desktop"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\force_create_visible_zip.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\generate_closeout_docs.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\news_guard_strict.py,99,"for family, tokens in CRITICAL_FAMILIES.items():",token,WARNING
BOT_V2_DAYTIME_LAB\src\news_guard_strict.py,100,if any(token in text for token in tokens):,token,WARNING
BOT_V2_DAYTIME_LAB\src\normalize_manual.py,7,"input_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\analytics (1).csv""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\normalize_manual.py,8,"output_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_norm",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase19_repaired_preflight.py,8,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_audit_m1_quality_2015_2019.py,6,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_build_data_quality_mask_2015_2019.py,5,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_certify_news_fortress_2015_2019.py,5,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_download_or_import_eurusd_2015_2019.py,21,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_generate_m3_from_m1_2015_2019.py,5,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_normalize_eurusd_m1_2015_2019.py,5,"root = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14_fixed.py,10,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_p1_p2.py,6,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_p7_p12.py,6,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26b_preflight.py,10,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26c_full_pipeline.py,5,"ROOT = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase27_full_historical_validation.py,8,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
