Year-Month,trades,TP,BE,SL,FORCED_CLOSE,pf,expectancy_r,winrate_r_positive_pct,max_drawdown_r,total_r,veredicto
2015-01,16,3,8,5,0,0.84,-0.05,18.75,-2.0,-0.8,MUESTRA_BAJA
2015-02,19,4,13,1,1,3.285,0.205,21.05,-1.705,3.895,MUESTRA_BAJA
2015-03,21,6,10,3,2,3.122,0.3032,38.1,-1.0,6.367,MUESTRA_BAJA
2015-04,19,5,11,2,1,2.996,0.2454,26.32,-1.337,4.663,MUESTRA_BAJA
2015-05,19,10,8,1,0,14.0,0.6842,52.63,-1.0,13.0,MUESTRA_BAJA
2015-06,20,11,6,2,1,5.827,0.6379,55.0,-2.0,12.757,MUESTRA_BAJA
2015-07,19,7,8,2,2,5.657,0.4902,47.37,-1.0,9.313,MUESTRA_BAJA
2015-08,19,4,13,2,0,2.8,0.1895,21.05,-1.0,3.6,MUESTRA_BAJA
2015-09,20,9,7,4,0,3.15,0.43,45.0,-1.0,8.6,MUESTRA_BAJA
2015-10,19,3,10,5,1,0.881,-0.0313,21.05,-2.395,-0.595,MUESTRA_BAJA
2015-11,16,3,8,5,0,0.84,-0.05,18.75,-3.0,-0.8,MUESTRA_BAJA
2015-12,18,5,13,0,0,inf,0.3889,27.78,0.0,7.0,MUESTRA_BAJA
2016-01,19,7,10,2,0,4.9,0.4105,36.84,-1.0,7.8,MUESTRA_BAJA
2016-02,20,8,11,0,1,39.33,0.5458,40.0,-0.285,10.915,MUESTRA_BAJA
2016-03,17,2,13,2,0,1.4,0.0471,11.76,-2.0,0.8,MUESTRA_BAJA
2016-04,19,6,10,3,0,2.8,0.2842,31.58,-2.0,5.4,MUESTRA_BAJA
2016-05,22,5,13,3,1,2.399,0.1908,27.27,-1.0,4.198,MUESTRA_BAJA
2016-06,18,7,10,0,1,inf,0.5502,44.44,0.0,9.904,MUESTRA_BAJA
2016-07,21,5,9,5,2,1.262,0.0703,28.57,-2.9,1.475,MUESTRA_BAJA
2016-08,21,6,11,3,1,2.899,0.2713,33.33,-1.0,5.697,MUESTRA_BAJA
2016-09,22,10,10,1,1,14.018,0.5917,50.0,-1.0,13.018,MUESTRA_BAJA
2016-10,19,3,10,5,1,0.904,-0.0253,21.05,-2.0,-0.481,MUESTRA_BAJA
2016-11,22,8,13,1,0,11.2,0.4636,36.36,-1.0,10.2,MUESTRA_BAJA
2016-12,21,6,12,2,1,4.296,0.3139,33.33,-1.0,6.591,MUESTRA_BAJA
2017-01,18,6,11,1,0,8.4,0.4111,33.33,-1.0,7.4,MUESTRA_BAJA
2017-02,18,4,11,2,1,2.178,0.1683,22.22,-1.0,3.029,MUESTRA_BAJA
2017-03,21,8,10,3,0,3.733,0.3905,38.1,-1.0,8.2,MUESTRA_BAJA
2017-04,15,6,5,4,0,2.1,0.2933,40.0,-1.0,4.4,MUESTRA_BAJA
2017-05,20,4,9,6,1,1.053,0.016,25.0,-3.28,0.32,MUESTRA_BAJA
2017-06,19,6,11,1,1,8.409,0.3899,36.84,-1.0,7.409,MUESTRA_BAJA
2017-07,18,5,8,4,1,2.07,0.2377,33.33,-2.0,4.278,MUESTRA_BAJA
2017-08,19,7,5,7,0,1.4,0.1474,36.84,-4.0,2.8,MUESTRA_BAJA
2017-09,18,4,10,4,0,1.4,0.0889,22.22,-2.0,1.6,MUESTRA_BAJA
2017-10,19,5,11,1,2,4.813,0.3193,31.58,-1.0,6.067,MUESTRA_BAJA
2017-11,18,4,13,1,0,5.6,0.2556,22.22,-1.0,4.6,MUESTRA_BAJA
2017-12,19,7,11,1,0,9.8,0.4632,36.84,-1.0,8.8,MUESTRA_BAJA
2018-01,19,6,11,2,0,4.2,0.3368,31.58,-1.0,6.4,MUESTRA_BAJA
2018-02,19,7,7,5,0,1.96,0.2526,36.84,-2.0,4.8,MUESTRA_BAJA
2018-03,21,5,11,4,1,1.847,0.1613,28.57,-1.0,3.387,MUESTRA_BAJA
2018-04,18,8,8,2,0,5.6,0.5111,44.44,-1.0,9.2,MUESTRA_BAJA
2018-05,20,5,8,5,2,1.525,0.1313,35.0,-2.0,2.626,MUESTRA_BAJA
2018-06,21,7,11,3,0,3.267,0.3238,33.33,-1.0,6.8,MUESTRA_BAJA
2018-07,20,7,11,1,1,9.8,0.44,35.0,-1.0,8.8,MUESTRA_BAJA
2018-08,21,7,12,2,0,4.9,0.3714,33.33,-1.0,7.8,MUESTRA_BAJA
2018-09,16,8,6,2,0,5.6,0.575,50.0,-1.0,9.2,MUESTRA_BAJA
2018-10,20,4,11,4,1,1.545,0.109,25.0,-2.0,2.179,MUESTRA_BAJA
2018-11,19,4,9,4,2,1.364,0.0831,26.32,-2.0,1.579,MUESTRA_BAJA
