Year-Month,trades,TP,BE,SL,FORCED_CLOSE,pf,expectancy_r,winrate_r_positive_pct,max_drawdown_r,total_r,veredicto
2024-06,15,10,4,0,1,inf,0.9967,73.33,0.0,14.951,MUESTRA_BAJA
2021-12,22,12,6,2,2,7.581,0.6773,59.09,-1.0,14.901,MUESTRA_BAJA
2016-09,22,10,10,1,1,14.018,0.5917,50.0,-1.0,13.018,MUESTRA_BAJA
2015-05,19,10,8,1,0,14.0,0.6842,52.63,-1.0,13.0,MUESTRA_BAJA
2015-06,20,11,6,2,1,5.827,0.6379,55.0,-2.0,12.757,MUESTRA_BAJA
2020-02,17,9,7,1,0,12.6,0.6824,52.94,-1.0,11.6,MUESTRA_BAJA
2025-08,19,8,9,1,1,11.999,0.5789,47.37,-1.0,10.999,MUESTRA_BAJA
2016-02,20,8,11,0,1,39.33,0.5458,40.0,-0.285,10.915,MUESTRA_BAJA
2022-08,22,9,11,2,0,6.3,0.4818,40.91,-1.0,10.6,MUESTRA_BAJA
2016-11,22,8,13,1,0,11.2,0.4636,36.36,-1.0,10.2,MUESTRA_BAJA
