side_exp,choch_time,entry_bid,sl_bid,tp_bid,risk_pips,outcome_exp,be_hit_exp,exit_bid,exit_time_exp,time_min,timestamp_ny,side_rep,entry_price,sl_price,tp_price,outcome_rep,exit_time_rep,exit_price,r_gross,be_hit_rep
LONG,2026-01-02 15:00:00+00:00,1.17336,1.17336,1.1742560000000002,0.0006400000000001,SL,True,1.17336,2026-01-02 10:12:00-05:00,2026-01-02 15:00:00+00:00,2026-01-02 15:00:00+00:00,LONG,1.1733,1.17277,1.1740420000000005,TP,2026-01-02T10:39:00-05:00,1.1740420000000005,1.4,True
LONG,2026-01-05 13:48:00+00:00,1.16663,1.16663,1.1678200000000003,0.0008500000000002,TP,True,1.1678200000000003,2026-01-05 09:06:00-05:00,2026-01-05 13:48:00+00:00,2026-01-05 13:48:00+00:00,LONG,1.16662,1.16583,1.167726,TP,2026-01-05T09:03:00-05:00,1.167726,1.4,True
SHORT,2026-01-06 12:39:00+00:00,1.1702,1.1702,1.1686459999999994,0.0011100000000003,SL,True,1.1702,2026-01-06 07:57:00-05:00,2026-01-06 12:39:00+00:00,2026-01-06 12:39:00+00:00,SHORT,1.1702,1.1712600000000002,1.1687159999999994,BE,2026-01-06T08:36:00-05:00,1.1702,0.0,True
LONG,2026-01-07 13:39:00+00:00,1.16912,1.16912,1.1705480000000004,0.0010200000000002,SL,True,1.16912,2026-01-07 10:00:00-05:00,2026-01-07 13:39:00+00:00,2026-01-07 13:39:00+00:00,LONG,1.1691,1.1681499999999998,1.1704300000000003,BE,2026-01-07T10:21:00-05:00,1.1691,0.0,True
SHORT,2026-01-08 13:30:00+00:00,1.16694,1.16694,1.165638,0.00093,SL,True,1.16694,2026-01-08 10:15:00-05:00,2026-01-08 13:30:00+00:00,2026-01-08 13:30:00+00:00,SHORT,1.16694,1.16782,1.1657080000000002,TP,2026-01-08T09:18:00-05:00,1.1657080000000002,1.4,True
SHORT,2026-01-09 12:21:00+00:00,1.16418,1.16418,1.1634519999999997,0.0005200000000002,SL,True,1.16418,2026-01-09 07:30:00-05:00,2026-01-09 12:21:00+00:00,2026-01-09 12:21:00+00:00,SHORT,1.16418,1.1646500000000002,1.1635219999999995,TP,2026-01-09T08:30:00-05:00,1.1635219999999995,1.4,True
LONG,2026-01-12 15:36:00+00:00,1.16817,1.16817,1.169556,0.00099,SL,True,1.16817,2026-01-12 10:54:00-05:00,2026-01-12 15:36:00+00:00,2026-01-12 15:36:00+00:00,LONG,1.16815,1.16723,1.169438,BE,2026-01-12T11:57:00-05:00,1.16815,0.0,True
SHORT,2026-01-13 12:06:00+00:00,1.16654,1.16654,1.1658959999999994,0.0004600000000003,SL,True,1.16654,2026-01-13 07:12:00-05:00,2026-01-13 12:06:00+00:00,2026-01-13 12:06:00+00:00,SHORT,1.16654,1.1669500000000002,1.1659659999999996,TP,2026-01-13T07:42:00-05:00,1.1659659999999996,1.4,True
LONG,2026-01-14 12:51:00+00:00,1.16512,1.16512,1.1661560000000002,0.0007400000000001,SL,True,1.16512,2026-01-14 08:09:00-05:00,2026-01-14 12:51:00+00:00,2026-01-14 12:51:00+00:00,LONG,1.16511,1.16443,1.1660620000000004,TP,2026-01-14T11:00:00-05:00,1.1660620000000004,1.4,True
LONG,2026-01-16 15:00:00+00:00,1.16215,1.15833,1.167498,0.0038200000000001,SL,False,1.15833,2026-01-18 17:00:00-05:00,2026-01-16 15:00:00+00:00,2026-01-16 15:00:00+00:00,LONG,1.16213,1.15838,1.1673800000000003,WEEKEND_CLOSE,2026-01-16T16:57:00-05:00,1.1595,-0.7013,False
LONG,2026-01-19 14:24:00+00:00,1.1635,1.1635,1.1643400000000002,0.0006000000000001,SL,True,1.1635,2026-01-19 09:36:00-05:00,2026-01-19 14:24:00+00:00,2026-01-19 14:24:00+00:00,LONG,1.16347,1.16295,1.164198,TP,2026-01-19T09:48:00-05:00,1.164198,1.4,True
SHORT,2026-01-20 13:21:00+00:00,1.17213,1.17698,1.1653399999999996,0.0048500000000002,FORCED_CLOSE,False,1.17233,2026-01-20 20:00:00-05:00,2026-01-20 13:21:00+00:00,2026-01-20 13:21:00+00:00,SHORT,1.17213,1.17693,1.1654099999999996,DAILY_CLOSE,2026-01-20T19:45:00-05:00,1.17176,0.0771,False
LONG,2026-01-21 12:12:00+00:00,1.17211,1.17211,1.1735380000000004,0.0010200000000002,TP,True,1.1735380000000004,2026-01-21 07:54:00-05:00,2026-01-21 12:12:00+00:00,2026-01-21 12:12:00+00:00,LONG,1.17206,1.1711399999999998,1.1733480000000005,TP,2026-01-21T07:51:00-05:00,1.1733480000000005,1.4,True
LONG,2026-01-22 13:09:00+00:00,1.17079,1.17079,1.1716440000000004,0.0006100000000002,TP,True,1.1716440000000004,2026-01-22 08:18:00-05:00,2026-01-22 13:09:00+00:00,2026-01-22 13:09:00+00:00,LONG,1.17078,1.17023,1.17155,TP,2026-01-22T08:15:00-05:00,1.17155,1.4,True
LONG,2026-01-23 16:27:00+00:00,1.17637,1.17637,1.178946,0.00184,TP,True,1.178946,2026-01-23 12:24:00-05:00,2026-01-23 16:27:00+00:00,2026-01-23 16:27:00+00:00,LONG,1.17634,1.17458,1.178804,TP,2026-01-23T12:21:00-05:00,1.178804,1.4,True
LONG,2026-01-26 13:21:00+00:00,1.18446,1.18446,1.1859860000000004,0.0010900000000002,TP,True,1.1859860000000004,2026-01-26 09:18:00-05:00,2026-01-26 13:21:00+00:00,2026-01-26 13:21:00+00:00,LONG,1.18445,1.18342,1.1858920000000002,TP,2026-01-26T09:18:00-05:00,1.1858920000000002,1.4,True
LONG,2026-01-27 16:06:00+00:00,1.19649,1.19649,1.1987860000000006,0.0016400000000003,TP,True,1.1987860000000006,2026-01-27 11:42:00-05:00,2026-01-27 16:06:00+00:00,2026-01-27 16:06:00+00:00,LONG,1.19648,1.1949,1.198692,TP,2026-01-27T11:42:00-05:00,1.198692,1.4,True
SHORT,2026-01-28 13:15:00+00:00,1.19654,1.19654,1.1942579999999996,0.0016300000000002,SL,True,1.19654,2026-01-28 08:27:00-05:00,2026-01-28 13:15:00+00:00,2026-01-28 13:15:00+00:00,SHORT,1.19654,1.19812,1.1943279999999998,TP,2026-01-28T10:06:00-05:00,1.1943279999999998,1.4,True
SHORT,2026-01-29 15:06:00+00:00,1.19513,1.19735,1.192022,0.0022200000000001,TP,False,1.192022,2026-01-29 10:15:00-05:00,2026-01-29 15:06:00+00:00,2026-01-29 15:06:00+00:00,SHORT,1.19513,1.1973,1.192092,TP,2026-01-29T10:15:00-05:00,1.192092,1.4,True
SHORT,2026-01-30 15:00:00+00:00,1.1897,1.1897,1.1882719999999996,0.0010200000000002,SL,True,1.1897,2026-01-30 10:06:00-05:00,2026-01-30 15:00:00+00:00,2026-01-30 15:00:00+00:00,SHORT,1.1897,1.19067,1.1883419999999998,TP,2026-01-30T10:33:00-05:00,1.1883419999999998,1.4,True
SHORT,2026-02-02 13:00:00+00:00,1.18417,1.18417,1.1828539999999996,0.0009400000000001,SL,True,1.18417,2026-02-02 08:06:00-05:00,2026-02-02 13:00:00+00:00,2026-02-02 13:00:00+00:00,SHORT,1.18417,1.18506,1.182924,TP,2026-02-02T08:30:00-05:00,1.182924,1.4,True
SHORT,2026-02-04 15:21:00+00:00,1.18115,1.18115,1.1795259999999996,0.0011600000000002,TP,True,1.1795259999999996,2026-02-04 10:54:00-05:00,2026-02-04 15:21:00+00:00,2026-02-04 15:21:00+00:00,SHORT,1.18115,1.18226,1.1795959999999996,TP,2026-02-04T10:54:00-05:00,1.1795959999999996,1.4,True
LONG,2026-02-05 13:24:00+00:00,1.18015,1.18015,1.1817740000000003,0.0011600000000002,SL,True,1.18015,2026-02-05 08:33:00-05:00,2026-02-05 13:24:00+00:00,2026-02-05 13:24:00+00:00,LONG,1.18012,1.17904,1.1816320000000002,TP,2026-02-05T09:03:00-05:00,1.1816320000000002,1.4,True
LONG,2026-02-06 14:00:00+00:00,1.18126,1.18126,1.181806,0.0003900000000001,SL,True,1.18126,2026-02-06 09:06:00-05:00,2026-02-06 14:00:00+00:00,2026-02-06 14:00:00+00:00,LONG,1.18124,1.18092,1.1816880000000003,TP,2026-02-06T09:30:00-05:00,1.1816880000000003,1.4,True
LONG,2026-02-09 12:00:00+00:00,1.18739,1.18739,1.1882020000000002,0.0005800000000002,SL,True,1.18739,2026-02-09 07:30:00-05:00,2026-02-09 12:00:00+00:00,2026-02-09 12:00:00+00:00,LONG,1.18735,1.1868599999999998,1.188036,TP,2026-02-09T07:54:00-05:00,1.188036,1.4,True
SHORT,2026-02-10 12:33:00+00:00,1.19027,1.19027,1.1893319999999996,0.0006700000000001,TP,True,1.1893319999999996,2026-02-10 07:45:00-05:00,2026-02-10 12:33:00+00:00,2026-02-10 12:33:00+00:00,SHORT,1.19027,1.19089,1.1894019999999998,TP,2026-02-10T07:45:00-05:00,1.1894019999999998,1.4,True
SHORT,2026-02-11 13:15:00+00:00,1.18975,1.1905400000000002,1.188644,0.00079,TP,False,1.188644,2026-02-11 08:30:00-05:00,2026-02-11 13:15:00+00:00,2026-02-11 13:15:00+00:00,SHORT,1.18975,1.19049,1.188714,TP,2026-02-11T08:30:00-05:00,1.188714,1.4,True
SHORT,2026-02-12 16:12:00+00:00,1.18692,1.18692,1.1838819999999997,0.0021700000000002,SL,True,1.18692,2026-02-12 12:15:00-05:00,2026-02-12 16:12:00+00:00,2026-02-12 16:12:00+00:00,SHORT,1.18692,1.18904,1.183952,DAILY_CLOSE,2026-02-12T19:45:00-05:00,1.18681,0.0519,True
SHORT,2026-02-13 15:45:00+00:00,1.18573,1.18573,1.1836999999999998,0.0014500000000001,SL,True,1.18573,2026-02-13 11:12:00-05:00,2026-02-13 15:45:00+00:00,2026-02-13 15:45:00+00:00,SHORT,1.18573,1.18713,1.1837699999999998,BE,2026-02-13T11:30:00-05:00,1.18573,0.0,True
SHORT,2026-02-16 12:15:00+00:00,1.18584,1.18584,1.185056,0.0005600000000001,TP,True,1.185056,2026-02-16 07:54:00-05:00,2026-02-16 12:15:00+00:00,2026-02-16 12:15:00+00:00,SHORT,1.18584,1.18635,1.185126,TP,2026-02-16T07:54:00-05:00,1.185126,1.4,True
SHORT,2026-02-17 15:00:00+00:00,1.18154,1.18154,1.1802099999999998,0.0009500000000002,SL,True,1.18154,2026-02-17 11:06:00-05:00,2026-02-17 15:00:00+00:00,2026-02-17 15:00:00+00:00,SHORT,1.18154,1.1824400000000002,1.1802799999999998,BE,2026-02-17T11:18:00-05:00,1.18154,0.0,True
SHORT,2026-02-18 13:21:00+00:00,1.18413,1.18413,1.1829819999999995,0.0008200000000002,TP,True,1.1829819999999995,2026-02-18 08:48:00-05:00,2026-02-18 13:21:00+00:00,2026-02-18 13:21:00+00:00,SHORT,1.18413,1.1849,1.1830519999999998,TP,2026-02-18T08:48:00-05:00,1.1830519999999998,1.4,True
SHORT,2026-02-19 13:00:00+00:00,1.17644,1.17644,1.1755439999999997,0.0006400000000001,TP,True,1.1755439999999997,2026-02-19 08:09:00-05:00,2026-02-19 13:00:00+00:00,2026-02-19 13:00:00+00:00,SHORT,1.17644,1.17703,1.1756139999999995,TP,2026-02-19T08:06:00-05:00,1.1756139999999995,1.4,True
LONG,2026-02-20 17:48:00+00:00,1.1782,1.1782,1.1806640000000002,0.0017600000000002,SL,True,1.1782,2026-02-20 13:33:00-05:00,2026-02-20 17:48:00+00:00,2026-02-20 17:48:00+00:00,LONG,1.17818,1.1764899999999998,1.1805460000000003,WEEKEND_CLOSE,2026-02-20T16:57:00-05:00,1.17814,-0.0237,True
LONG,2026-02-23 12:51:00+00:00,1.17825,1.17825,1.1795240000000002,0.0009100000000001,TP,True,1.1795240000000002,2026-02-23 08:30:00-05:00,2026-02-23 12:51:00+00:00,2026-02-23 12:51:00+00:00,LONG,1.17824,1.17739,1.17943,TP,2026-02-23T08:30:00-05:00,1.17943,1.4,True
LONG,2026-02-24 15:30:00+00:00,1.17785,1.17785,1.1797400000000002,0.0013500000000001,SL,True,1.17785,2026-02-24 13:45:00-05:00,2026-02-24 15:30:00+00:00,2026-02-24 15:30:00+00:00,LONG,1.17783,1.17655,1.179622,DAILY_CLOSE,2026-02-24T19:45:00-05:00,1.17758,-0.1953,True
