trade_id,entry,bar_outcome,tick_outcome,match,bar_r
2310,2025-01-02 08:00:00-05:00,BE,SL,False,0.0
2311,2025-01-03 10:12:00-05:00,BE,SL,False,0.0
2312,2025-01-07 10:00:00-05:00,BE,SL,False,0.0
2313,2025-01-09 11:42:00-05:00,FORCED_CLOSE,NONE,False,-0.462963
2314,2025-01-10 08:30:00-05:00,BE,SL,False,0.0
2315,2025-01-13 11:24:00-05:00,TP,SL,False,1.4
2316,2025-01-14 07:45:00-05:00,BE,NONE,False,0.0
2317,2025-01-15 10:00:00-05:00,BE,SL,False,0.0
2318,2025-01-16 08:06:00-05:00,BE,SL,False,0.0
2319,2025-01-17 09:48:00-05:00,BE,SL,False,0.0
2320,2025-01-20 07:27:00-05:00,SL,BE,False,-1.0
2321,2025-01-21 12:57:00-05:00,SL,SL,True,-1.0
2322,2025-01-22 08:36:00-05:00,BE,SL,False,0.0
2323,2025-01-23 11:09:00-05:00,SL,SL,True,-1.0
2324,2025-01-24 12:48:00-05:00,TP,SL,False,1.4
2325,2025-01-27 07:00:00-05:00,BE,SL,False,0.0
2326,2025-01-28 07:00:00-05:00,BE,SL,False,0.0
2327,2025-01-29 08:06:00-05:00,TP,NONE,False,1.4
2328,2025-01-30 07:27:00-05:00,TP,SL,False,1.4
2329,2025-01-31 07:18:00-05:00,BE,SL,False,0.0
