trade_id,entry_time_ny,direction,bar_outcome,tick_outcome_after_gap_patch,match_after_gap_patch,nearest_bid,nearest_ask,spread_entry_pips,first_touch_time,be_activated_time
2310,2025-01-02T08:00:00-05:00,SHORT,BE,BE,True,1.03181,1.03183,0.2,2025-01-02T09:21:29.062000-05:00,2025-01-02T09:07:22.790000-05:00
2311,2025-01-03T10:12:00-05:00,SHORT,BE,BE,True,1.02987,1.0299,0.3,2025-01-03T10:59:51.833000-05:00,2025-01-03T10:21:15.672000-05:00
2312,2025-01-07T10:00:00-05:00,SHORT,BE,SL,False,1.03929,1.03936,0.7,2025-01-07T10:00:00.317000-05:00,
2313,2025-01-09T11:42:00-05:00,LONG,FORCED_CLOSE,NONE,False,1.02968,1.0297,0.2,,
2314,2025-01-10T08:30:00-05:00,SHORT,BE,BE,True,1.03055,1.03066,1.1,2025-01-10T08:44:20.433000-05:00,2025-01-10T08:34:00.235000-05:00
2315,2025-01-13T11:24:00-05:00,LONG,TP,TP,True,1.01997,1.01999,0.2,2025-01-13T13:46:26.982000-05:00,2025-01-13T11:30:13.409000-05:00
2316,2025-01-14T07:45:00-05:00,LONG,BE,BE,True,1.02528,1.02531,0.3,2025-01-14T08:34:51.229000-05:00,2025-01-14T08:30:01.418000-05:00
2317,2025-01-15T10:00:00-05:00,SHORT,BE,BE,True,1.03271,1.03273,0.2,2025-01-15T10:10:48.197000-05:00,2025-01-15T10:05:52.815000-05:00
2318,2025-01-16T08:06:00-05:00,SHORT,BE,BE,True,1.0273,1.02733,0.3,2025-01-16T08:32:20.293000-05:00,2025-01-16T08:31:58.855000-05:00
2319,2025-01-17T09:48:00-05:00,LONG,BE,BE,True,1.02893,1.02894,0.1,2025-01-17T10:52:40.891000-05:00,2025-01-17T10:04:56.219000-05:00
2320,2025-01-20T07:27:00-05:00,SHORT,SL,BE,False,1.0318,1.03182,0.2,2025-01-20T08:30:02.967000-05:00,2025-01-20T08:30:02.495000-05:00
2321,2025-01-21T12:57:00-05:00,SHORT,SL,SL,True,1.04266,1.04268,0.2,2025-01-21T13:35:11.790000-05:00,
2322,2025-01-22T08:36:00-05:00,SHORT,BE,BE,True,1.04358,1.04361,0.3,2025-01-22T09:51:16.220000-05:00,2025-01-22T09:10:23.040000-05:00
2323,2025-01-23T11:09:00-05:00,SHORT,SL,SL,True,1.0397,1.03974,0.4,2025-01-23T12:42:43.356000-05:00,
2324,2025-01-24T12:48:00-05:00,SHORT,TP,TP,True,1.05129,1.05132,0.3,2025-01-24T14:11:02.552000-05:00,2025-01-24T13:18:16.547000-05:00
2325,2025-01-27T07:00:00-05:00,LONG,BE,BE,True,1.05129,1.05133,0.4,2025-01-27T08:00:26.814000-05:00,2025-01-27T07:54:20.371000-05:00
2326,2025-01-28T07:00:00-05:00,SHORT,BE,BE,True,1.04235,1.04237,0.2,2025-01-28T07:13:13.753000-05:00,2025-01-28T07:04:00.267000-05:00
2327,2025-01-29T08:06:00-05:00,SHORT,TP,NONE,False,1.0404,1.04043,0.3,,
2328,2025-01-30T07:27:00-05:00,LONG,TP,TP,True,1.03986,1.0399,0.4,2025-01-30T08:27:43.093000-05:00,2025-01-30T08:15:19.031000-05:00
2329,2025-01-31T07:18:00-05:00,LONG,BE,BE,True,1.03779,1.03783,0.4,2025-01-31T07:28:25.657000-05:00,2025-01-31T07:25:23.013000-05:00
