month,trade_id,entry_time,exit_time,direction,bar_outcome,tick_outcome,bar_R,tick_R,match_status,classification,diff_bid_pips,diff_ask_pips
2024-05,2152,2024-05-01 09:15:00-04:00,2024-05-01 09:30:00-04:00,SHORT,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,3.4,3.7
2024-05,2153,2024-05-02 08:03:00-04:00,2024-05-02 11:15:00-04:00,SHORT,BE,SL,0.0,-1.0,MISMATCH,ENTRY_PRICE_FEED_DIFFERENCE,4.9,5.1
2024-05,2154,2024-05-03 07:39:00-04:00,2024-05-03 08:18:00-04:00,SHORT,SL,SL,-1.0,-1.0,MATCH,MATCH,1.7,1.8
2024-05,2155,2024-05-06 08:00:00-04:00,2024-05-06 08:18:00-04:00,LONG,TP,SL,1.4,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-2.6,-2.4
2024-05,2156,2024-05-07 09:06:00-04:00,2024-05-07 09:51:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-2.3,-2.2
2024-05,2157,2024-05-08 11:36:00-04:00,2024-05-08 12:12:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-2.6,-2.4
2024-05,2158,2024-05-09 08:03:00-04:00,2024-05-09 08:24:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-2.7,-2.6
2024-05,2159,2024-05-10 08:33:00-04:00,2024-05-10 09:12:00-04:00,SHORT,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,3.3,3.5
2024-05,2160,2024-05-13 09:12:00-04:00,2024-05-13 10:06:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-2.3,-2.1
2024-05,2161,2024-05-14 07:06:00-04:00,2024-05-14 08:03:00-04:00,SHORT,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,1.5,1.6
2024-05,2162,2024-05-15 07:54:00-04:00,2024-05-15 08:30:00-04:00,LONG,TP,SL,1.4,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-3.8,-3.6
2024-05,2163,2024-05-16 08:18:00-04:00,2024-05-16 08:33:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-3.9,-3.8
2024-05,2164,2024-05-17 07:12:00-04:00,2024-05-17 08:12:00-04:00,LONG,BE,SL,0.0,-1.0,MISMATCH,LEGIT_TICK_MICROSTRUCTURE_DIFFERENCE,-1.6,-1.4
