outcome,R,entry_p,entry_ts,sl,tp,be_trig,first_touch_time,be_active,trade_id,original_outcome
TP,1.4,1.06842,2024-05-01 13:15:01.780000+00:00,1.0689700000000002,1.0676499999999995,1.0681999999999998,2024-05-01 13:24:57.610000+00:00,True,2151,TP
BE,0.0,1.07015,2024-05-02 12:03:03.334000+00:00,1.0718200000000002,1.0678119999999998,1.0694819999999998,2024-05-02 12:35:13.468000+00:00,True,2152,BE
BE,0.0,1.0747,2024-05-03 11:39:01.911000+00:00,1.07506,1.0741960000000002,1.074556,2024-05-03 11:48:14.842000+00:00,True,2153,BE
TP,1.4,1.07726,2024-05-06 12:00:03.651000+00:00,1.07688,1.077792,1.077412,2024-05-06 12:13:15.923000+00:00,True,2154,TP
TIME_EXIT,0.536231884057711,1.07779,2024-05-07 13:06:01.207000+00:00,1.0770999999999997,1.0787560000000005,1.0780660000000002,2024-05-07 13:51:00.231000+00:00,True,2155,FORCED_CLOSE
TIME_EXIT,0.41772151898716187,1.07487,2024-05-08 15:36:01.066000+00:00,1.0740799999999997,1.0759760000000003,1.075186,2024-05-08 16:12:00.890000+00:00,True,2156,FORCED_CLOSE
TIME_EXIT,0.5692307692305656,1.07301,2024-05-09 12:03:01.400000+00:00,1.0723599999999998,1.0739200000000002,1.0732700000000002,2024-05-09 12:24:02.893000+00:00,True,2157,FORCED_CLOSE
TP,1.4,1.07781,2024-05-10 12:33:01.112000+00:00,1.07854,1.0767879999999999,1.077518,2024-05-10 12:45:59.887000+00:00,True,2158,TP
TIME_EXIT,0.41818181818157973,1.07999,2024-05-13 13:12:01.111000+00:00,1.0794399999999997,1.0807600000000004,1.0802100000000001,2024-05-13 14:06:00.119000+00:00,True,2159,FORCED_CLOSE
BE,0.0,1.07973,2024-05-14 11:06:01.041000+00:00,1.0801300000000003,1.07917,1.0795700000000001,2024-05-14 11:11:25.544000+00:00,True,2160,BE
TP,1.4,1.08243,2024-05-15 11:54:13.088000+00:00,1.0817199999999998,1.0834240000000004,1.0827140000000002,2024-05-15 12:05:49.054000+00:00,True,2161,TP
BE,0.0,1.08661,2024-05-16 12:18:05.694000+00:00,1.08558,1.088052,1.0870220000000002,2024-05-16 12:30:42.921000+00:00,True,2162,BE
TIME_EXIT,0.3636363636367273,1.08387,2024-05-17 11:12:03.533000+00:00,1.0833199999999998,1.0846399999999998,1.08409,2024-05-17 12:12:00.123000+00:00,True,2163,FORCED_CLOSE
