outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.06842,1.06765,2024-05-01 13:15:07.946000+00:00,2024-05-01 13:24:57.610000+00:00,True,1.06897,1.06765,1.0682,"[{'ts': Timestamp('2024-05-01 13:16:44.610000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0682}]",2151,2024_05
BE,-0.2,1.07018,1.07018,2024-05-02 12:03:08.448000+00:00,2024-05-02 12:35:13.684000+00:00,True,1.07185,1.067842,1.069512,"[{'ts': Timestamp('2024-05-02 12:31:37.199000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06951}]",2152,2024_05
BE,-0.2,1.07463,1.07463,2024-05-03 11:39:06.994000+00:00,2024-05-03 12:00:01.886000+00:00,True,1.07499,1.074126,1.074486,"[{'ts': Timestamp('2024-05-03 11:58:31.336000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07448}]",2153,2024_05
TP,1.2,1.07728,1.077812,2024-05-06 12:00:11.378000+00:00,2024-05-06 12:13:15.923000+00:00,True,1.0769,1.077812,1.077432,"[{'ts': Timestamp('2024-05-06 12:02:37.602000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07744}]",2154,2024_05
TP,1.2,1.07776,1.078726,2024-05-07 13:06:08.475000+00:00,2024-05-07 13:42:17.957000+00:00,True,1.07707,1.078726,1.078036,"[{'ts': Timestamp('2024-05-07 13:29:07.017000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07804}]",2155,2024_05
BE,-0.2,1.07487,1.07487,2024-05-08 15:36:08.024000+00:00,2024-05-08 16:25:52.900000+00:00,True,1.07408,1.075976,1.075186,"[{'ts': Timestamp('2024-05-08 15:45:30.284000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07519}]",2156,2024_05
TP,1.2,1.07297,1.07388,2024-05-09 12:03:08.623000+00:00,2024-05-09 12:30:00.310000+00:00,True,1.07232,1.07388,1.07323,"[{'ts': Timestamp('2024-05-09 12:04:23.459000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07324}]",2157,2024_05
TP,1.2,1.0778,1.076778,2024-05-10 12:33:07.552000+00:00,2024-05-10 12:45:59.887000+00:00,True,1.07853,1.076778,1.077508,"[{'ts': Timestamp('2024-05-10 12:36:01.631000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07749}]",2158,2024_05
BE,-0.2,1.07999,1.07999,2024-05-13 13:12:07.071000+00:00,2024-05-13 14:08:03.299000+00:00,True,1.07944,1.08076,1.08021,"[{'ts': Timestamp('2024-05-13 13:15:20.529000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08021}]",2159,2024_05
BE,-0.2,1.07975,1.07975,2024-05-14 11:06:12.966000+00:00,2024-05-14 11:14:05.906000+00:00,True,1.08015,1.07919,1.07959,"[{'ts': Timestamp('2024-05-14 11:06:36.980000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07959}]",2160,2024_05
TP,1.2,1.08244,1.083434,2024-05-15 11:54:21.397000+00:00,2024-05-15 12:05:49.054000+00:00,True,1.08173,1.083434,1.082724,"[{'ts': Timestamp('2024-05-15 11:55:57.764000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08274}]",2161,2024_05
BE,-0.2,1.08661,1.08661,2024-05-16 12:18:15.993000+00:00,2024-05-16 12:30:42.921000+00:00,True,1.08558,1.088052,1.087022,"[{'ts': Timestamp('2024-05-16 12:30:04.989000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08704}]",2162,2024_05
TIME_EXIT,0.12727272727285266,1.08388,1.08406,2024-05-17 11:12:12.652000+00:00,2024-05-17 12:12:03.051000+00:00,True,1.08333,1.08465,1.0841,"[{'ts': Timestamp('2024-05-17 11:23:12.728000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0841}]",2163,2024_05
TIME_EXIT,0.6421052631578603,1.08676,1.08612,2024-05-20 11:09:06.486000+00:00,2024-05-20 12:08:59.967000+00:00,True,1.08752,1.085696,1.086456,"[{'ts': Timestamp('2024-05-20 11:24:37.154000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08645}]",2164,2024_05
SL,-1.2,1.08469,1.08511,2024-05-21 13:00:06.581000+00:00,2024-05-21 13:00:08.041000+00:00,False,1.08511,1.084102,1.084522,[],2165,2024_05
TP,1.2,1.08425,1.083368,2024-05-22 17:27:11.493000+00:00,2024-05-22 18:00:27.890000+00:00,True,1.08488,1.083368,1.083998,"[{'ts': Timestamp('2024-05-22 17:33:09.689000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08397}]",2166,2024_05
BE,-0.2,1.08447,1.08447,2024-05-23 11:33:23.169000+00:00,2024-05-23 11:45:26.487000+00:00,True,1.0839,1.085268,1.084698,"[{'ts': Timestamp('2024-05-23 11:34:14.400000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08471}]",2167,2024_05
TIME_EXIT,-0.394174757281532,1.08494,1.08514,2024-05-24 16:48:08.628000+00:00,2024-05-24 17:47:54.354000+00:00,False,1.08597,1.083498,1.084528,[],2168,2024_05
TIME_EXIT,-0.1444444444442861,1.08587,1.08593,2024-05-27 14:54:08.215000+00:00,2024-05-27 15:53:24.071000+00:00,False,1.08479,1.087382,1.086302,[],2169,2024_05
TP,1.2,1.08795,1.088888,2024-05-28 11:03:17.153000+00:00,2024-05-28 11:17:55.634000+00:00,True,1.08728,1.088888,1.088218,"[{'ts': Timestamp('2024-05-28 11:04:19.131000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08822}]",2170,2024_05
TIME_EXIT,0.789795918367374,1.08317,1.08123,2024-05-29 14:21:11.208000+00:00,2024-05-29 15:20:58.909000+00:00,True,1.08513,1.080426,1.082386,"[{'ts': Timestamp('2024-05-29 14:23:08.294000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08237}]",2171,2024_05
TP,1.2,1.08173,1.083242,2024-05-30 12:30:06.336000+00:00,2024-05-30 12:56:22.413000+00:00,True,1.08065,1.083242,1.082162,"[{'ts': Timestamp('2024-05-30 12:30:06.445000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08227}]",2172,2024_05
BE,-0.2,1.085,1.085,2024-05-31 11:03:16.021000+00:00,2024-05-31 11:55:13.488000+00:00,True,1.08448,1.085728,1.085208,"[{'ts': Timestamp('2024-05-31 11:05:57.513000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08521}]",2173,2024_05
TP,1.2,1.08375,1.084142,2024-06-03 11:00:07.234000+00:00,2024-06-03 11:14:29.816000+00:00,True,1.08347,1.084142,1.083862,"[{'ts': Timestamp('2024-06-03 11:01:03.078000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08387}]",2174,2024_06
TP,1.2,1.0875,1.08701,2024-06-06 11:03:07.175000+00:00,2024-06-06 11:21:35.411000+00:00,True,1.08785,1.08701,1.08736,"[{'ts': Timestamp('2024-06-06 11:06:13.176000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08736}]",2175,2024_06
TIME_EXIT,0.2610492845786809,1.08585,1.08295,2024-06-07 12:30:06.131000+00:00,2024-06-07 13:30:01.046000+00:00,True,1.09214,1.077044,1.083334,"[{'ts': Timestamp('2024-06-07 12:36:04.557000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08333}]",2176,2024_06
TP,1.2,1.07381,1.074342,2024-06-10 11:06:14.368000+00:00,2024-06-10 11:13:41.628000+00:00,True,1.07343,1.074342,1.073962,"[{'ts': Timestamp('2024-06-10 11:09:03.395000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07397}]",2177,2024_06
TP,1.2,1.07388,1.072928,2024-06-11 11:09:07.222000+00:00,2024-06-11 11:14:50.407000+00:00,True,1.07456,1.072928,1.073608,"[{'ts': Timestamp('2024-06-11 11:11:56.306000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0736}]",2178,2024_06
BE,-0.2,1.08278,1.08278,2024-06-12 13:24:06.214000+00:00,2024-06-12 13:40:00.723000+00:00,True,1.08149,1.084586,1.083296,"[{'ts': Timestamp('2024-06-12 13:29:00.292000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0833}]",2179,2024_06
BE,-0.2,1.07863,1.07863,2024-06-13 12:18:06.632000+00:00,2024-06-13 12:30:00.699000+00:00,True,1.07763,1.08003,1.07903,"[{'ts': Timestamp('2024-06-13 12:21:18.573000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07903}]",2180,2024_06
TP,1.2,1.06897,1.067906,2024-06-14 13:09:08.162000+00:00,2024-06-14 13:20:48.822000+00:00,True,1.06973,1.067906,1.068666,"[{'ts': Timestamp('2024-06-14 13:10:03.627000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06866}]",2181,2024_06
TP,1.2,1.07164,1.07234,2024-06-17 15:06:08.448000+00:00,2024-06-17 15:17:05.566000+00:00,True,1.07114,1.07234,1.07184,"[{'ts': Timestamp('2024-06-17 15:07:40.671000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07184}]",2182,2024_06
BE,-0.2,1.07254,1.07254,2024-06-18 12:30:06.069000+00:00,2024-06-18 12:35:47.227000+00:00,True,1.07042,1.075508,1.073388,"[{'ts': Timestamp('2024-06-18 12:31:01.297000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07339}]",2183,2024_06
BE,-0.2,1.07283,1.07283,2024-06-20 11:24:20.218000+00:00,2024-06-20 11:46:23.188000+00:00,True,1.07344,1.071976,1.072586,"[{'ts': Timestamp('2024-06-20 11:36:55.623000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07257}]",2184,2024_06
TP,1.2,1.07222,1.071534,2024-06-25 11:03:07.754000+00:00,2024-06-25 11:24:52.445000+00:00,True,1.07271,1.071534,1.072024,"[{'ts': Timestamp('2024-06-25 11:17:40.056000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07202}]",2185,2024_06
TP,1.2,1.0683,1.069224,2024-06-26 11:42:20.795000+00:00,2024-06-26 11:58:03.546000+00:00,True,1.06764,1.069224,1.068564,"[{'ts': Timestamp('2024-06-26 11:52:40.833000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06857}]",2186,2024_06
