outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.06841,1.06764,2024-05-01 13:15:03.772000+00:00,2024-05-01 13:24:57.610000+00:00,True,1.06896,1.06764,1.06819,"[{'ts': Timestamp('2024-05-01 13:16:56.892000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06819}]",2151,2024_05
BE,-0.2,1.07014,1.07014,2024-05-02 12:03:04.500000+00:00,2024-05-02 12:35:13.312000+00:00,True,1.07181,1.067802,1.069472,"[{'ts': Timestamp('2024-05-02 12:31:39.358000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06942}]",2152,2024_05
BE,-0.2,1.07464,1.07464,2024-05-03 11:39:04.309000+00:00,2024-05-03 12:00:02.095000+00:00,True,1.075,1.074136,1.074496,"[{'ts': Timestamp('2024-05-03 11:58:31.336000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07448}]",2153,2024_05
TP,1.2,1.07729,1.077822,2024-05-06 12:00:03.913000+00:00,2024-05-06 12:13:16.132000+00:00,True,1.07691,1.077822,1.077442,"[{'ts': Timestamp('2024-05-06 12:02:37.661000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07746}]",2154,2024_05
TIME_EXIT,0.365217391304189,1.07779,1.07818,2024-05-07 13:06:01.207000+00:00,2024-05-07 14:05:58.908000+00:00,True,1.0771,1.078756,1.078066,"[{'ts': Timestamp('2024-05-07 13:30:15.968000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07807}]",2155,2024_05
BE,-0.2,1.0749,1.0749,2024-05-08 15:36:01.993000+00:00,2024-05-08 16:24:58.978000+00:00,True,1.07411,1.076006,1.075216,"[{'ts': Timestamp('2024-05-08 15:45:30.442000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07522}]",2156,2024_05
TP,1.2,1.07301,1.07392,2024-05-09 12:03:01.400000+00:00,2024-05-09 12:30:00.363000+00:00,True,1.07236,1.07392,1.07327,"[{'ts': Timestamp('2024-05-09 12:09:28.810000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07327}]",2157,2024_05
TP,1.2,1.0778,1.076778,2024-05-10 12:33:01.220000+00:00,2024-05-10 12:45:59.887000+00:00,True,1.07853,1.076778,1.077508,"[{'ts': Timestamp('2024-05-10 12:36:01.631000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07749}]",2158,2024_05
BE,-0.2,1.08,1.08,2024-05-13 13:12:01.215000+00:00,2024-05-13 14:08:02.897000+00:00,True,1.07945,1.08077,1.08022,"[{'ts': Timestamp('2024-05-13 13:15:20.583000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08023}]",2159,2024_05
BE,-0.2,1.07973,1.07973,2024-05-14 11:06:01.041000+00:00,2024-05-14 11:11:25.544000+00:00,True,1.08013,1.07917,1.07957,"[{'ts': Timestamp('2024-05-14 11:09:12.264000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07957}]",2160,2024_05
TP,1.2,1.08243,1.083424,2024-05-15 11:54:13.088000+00:00,2024-05-15 12:05:49.054000+00:00,True,1.08172,1.083424,1.082714,"[{'ts': Timestamp('2024-05-15 11:55:41.230000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08272}]",2161,2024_05
BE,-0.2,1.08662,1.08662,2024-05-16 12:18:06.002000+00:00,2024-05-16 12:30:42.752000+00:00,True,1.08559,1.088062,1.087032,"[{'ts': Timestamp('2024-05-16 12:30:04.989000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08704}]",2162,2024_05
TIME_EXIT,0.14545454545478997,1.08387,1.08406,2024-05-17 11:12:03.533000+00:00,2024-05-17 12:12:03.051000+00:00,True,1.08332,1.08464,1.08409,"[{'ts': Timestamp('2024-05-17 11:23:12.728000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0841}]",2163,2024_05
TIME_EXIT,0.6289473684212241,1.08675,1.08612,2024-05-20 11:09:04.083000+00:00,2024-05-20 12:08:59.967000+00:00,True,1.08751,1.085686,1.086446,"[{'ts': Timestamp('2024-05-20 11:25:46.259000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08643}]",2164,2024_05
SL,-1.2,1.0847,1.08512,2024-05-21 13:00:06.370000+00:00,2024-05-21 13:00:08.041000+00:00,False,1.08512,1.084112,1.084532,[],2165,2024_05
TP,1.2,1.08426,1.083378,2024-05-22 17:27:10.825000+00:00,2024-05-22 18:00:27.383000+00:00,True,1.08489,1.083378,1.084008,"[{'ts': Timestamp('2024-05-22 17:32:58.058000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.084}]",2166,2024_05
TP,1.2,1.08445,1.085248,2024-05-23 11:33:11.586000+00:00,2024-05-23 11:59:04.544000+00:00,True,1.08388,1.085248,1.084678,"[{'ts': Timestamp('2024-05-23 11:34:13.578000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08468}]",2167,2024_05
