year_month,trades_count,total_R,PF,Winrate,Expectancy,TP,BE,SL,forced_close,classification
2015-01,16.0,-0.8000000000000003,0.8399999999999999,18.75,-0.05000000000000002,3.0,8.0,5.0,0.0,NORMAL
2015-02,19.0,3.895154,3.2847541654788763,21.052631578947366,0.20500810526315788,4.0,13.0,1.0,1.0,NORMAL
2015-03,21.0,6.367066999999999,3.122355666666666,38.095238095238095,0.3031936666666666,6.0,10.0,3.0,2.0,GOOD
2015-04,19.0,4.663415,2.995825103730444,26.31578947368421,0.24544289473684208,5.0,11.0,2.0,1.0,NORMAL
2015-05,19.0,12.999999999999998,14.0,52.63157894736842,0.6842105263157894,10.0,8.0,1.0,0.0,GOOD
2015-06,20.0,12.757301,5.827375724590656,55.00000000000001,0.63786505,11.0,6.0,2.0,1.0,GOOD
2015-07,19.0,9.313118,5.656559,47.368421052631575,0.49016410526315785,7.0,8.0,2.0,2.0,GOOD
2015-08,19.0,3.5999999999999996,2.8,21.052631578947366,0.1894736842105263,4.0,13.0,2.0,0.0,NORMAL
2015-09,20.0,8.6,3.15,45.0,0.43,9.0,7.0,4.0,0.0,GOOD
2015-10,19.0,-0.5951810000000002,0.8809638,21.052631578947366,-0.031325315789473694,3.0,10.0,5.0,1.0,NORMAL
2015-11,16.0,-0.8000000000000003,0.8399999999999999,18.75,-0.05000000000000002,3.0,8.0,5.0,0.0,NORMAL
2015-12,18.0,6.999999999999999,7.0,27.77777777777778,0.38888888888888884,5.0,13.0,0.0,0.0,GOOD
2016-01,19.0,7.799999999999999,4.9,36.84210526315789,0.41052631578947363,7.0,10.0,2.0,0.0,GOOD
2016-02,20.0,10.915232,39.33026182717159,40.0,0.5457616,8.0,11.0,0.0,1.0,GOOD
2016-03,17.0,0.7999999999999998,1.4,11.76470588235294,0.04705882352941176,2.0,13.0,2.0,0.0,NORMAL
2016-04,19.0,5.3999999999999995,2.8000000000000003,31.57894736842105,0.28421052631578947,6.0,10.0,3.0,0.0,GOOD
2016-05,22.0,4.197531,2.399177,27.27272727272727,0.1907968636363636,5.0,13.0,3.0,1.0,NORMAL
2016-06,18.0,9.903687,9.903687,44.44444444444444,0.5502048333333334,7.0,10.0,0.0,1.0,GOOD
2016-07,21.0,1.4754649999999998,1.2623333374819314,28.57142857142857,0.07026023809523808,5.0,9.0,5.0,2.0,NORMAL
2016-08,21.0,5.696774,2.8989246666666673,33.33333333333333,0.27127495238095234,6.0,11.0,3.0,1.0,GOOD
2016-09,22.0,13.018149000000001,14.018149,50.0,0.5917340454545456,10.0,10.0,1.0,1.0,GOOD
2016-10,19.0,-0.4812080000000003,0.9037583999999999,21.052631578947366,-0.02532673684210528,3.0,10.0,5.0,1.0,NORMAL
2016-11,22.0,10.2,11.2,36.36363636363637,0.4636363636363636,8.0,13.0,1.0,0.0,GOOD
2016-12,21.0,6.591358,4.295679,33.33333333333333,0.3138741904761905,6.0,12.0,2.0,1.0,GOOD
2017-01,18.0,7.4,8.4,33.33333333333333,0.41111111111111115,6.0,11.0,1.0,0.0,GOOD
2017-02,18.0,3.0285709999999995,2.177777414814875,22.22222222222222,0.16825394444444441,4.0,11.0,2.0,1.0,NORMAL
2017-03,21.0,8.2,3.733333333333333,38.095238095238095,0.3904761904761904,8.0,10.0,3.0,0.0,GOOD
2017-04,15.0,4.3999999999999995,2.1,40.0,0.2933333333333333,6.0,5.0,4.0,0.0,NORMAL
2017-05,20.0,0.3199999999999996,1.0533333333333335,25.0,0.01599999999999998,4.0,9.0,6.0,1.0,NORMAL
2017-06,19.0,7.408696000000001,8.408696,36.84210526315789,0.3899313684210527,6.0,11.0,1.0,1.0,GOOD
2017-07,18.0,4.278146,2.0695365,33.33333333333333,0.23767477777777776,5.0,8.0,4.0,1.0,NORMAL
2017-08,19.0,2.7999999999999994,1.4000000000000001,36.84210526315789,0.14736842105263154,7.0,5.0,7.0,0.0,NORMAL
2017-09,18.0,1.5999999999999996,1.4,22.22222222222222,0.08888888888888886,4.0,10.0,4.0,0.0,NORMAL
2017-10,19.0,6.067320999999999,4.813009044655157,31.57894736842105,0.31933268421052624,5.0,11.0,1.0,2.0,GOOD
2017-11,18.0,4.6,5.6,22.22222222222222,0.25555555555555554,4.0,13.0,1.0,0.0,NORMAL
2017-12,19.0,8.8,9.8,36.84210526315789,0.46315789473684216,7.0,11.0,1.0,0.0,GOOD
