year_month,entry_time,exit_time,duration_mins,exit_time_ny,r_result
2015-02,2015-02-10 12:48:00+00:00,2015-02-11 01:00:00+00:00,732.0,20:00,-0.704846
2015-03,2015-03-06 13:30:00+00:00,2015-03-09 00:00:00+00:00,3510.0,20:00,0.625438
2015-03,2015-03-24 12:30:00+00:00,2015-03-25 00:00:00+00:00,690.0,20:00,0.341629
2015-04,2015-04-15 18:57:00+00:00,2015-04-16 00:00:00+00:00,303.0,20:00,-0.336585
2015-06,2015-06-18 16:21:00+00:00,2015-06-19 00:00:00+00:00,459.0,20:00,-0.642699
2015-07,2015-07-15 12:30:00+00:00,2015-07-16 00:00:00+00:00,690.0,20:00,1.091153
2015-07,2015-07-24 11:00:00+00:00,2015-07-27 00:00:00+00:00,3660.0,20:00,0.421965
2015-10,2015-10-19 15:27:00+00:00,2015-10-20 00:00:00+00:00,513.0,20:00,0.204819
2016-02,2016-02-29 15:24:00+00:00,2016-03-01 01:00:00+00:00,576.0,20:00,-0.284768
2016-05,2016-05-11 16:24:00+00:00,2016-05-12 00:00:00+00:00,456.0,20:00,0.197531
2016-06,2016-06-29 13:09:00+00:00,2016-06-30 00:00:00+00:00,651.0,20:00,0.103687
2016-07,2016-07-08 13:36:00+00:00,2016-07-11 00:00:00+00:00,3504.0,20:00,0.099855
2016-07,2016-07-18 15:06:00+00:00,2016-07-19 00:00:00+00:00,534.0,20:00,-0.62439
2016-08,2016-08-12 14:09:00+00:00,2016-08-15 00:00:00+00:00,3471.0,20:00,0.296774
2016-09,2016-09-21 18:06:00+00:00,2016-09-22 00:00:00+00:00,354.0,20:00,0.018149
2016-10,2016-10-26 13:45:00+00:00,2016-10-27 00:00:00+00:00,615.0,20:00,0.318792
2016-12,2016-12-26 15:33:00+00:00,2016-12-27 01:00:00+00:00,567.0,20:00,0.191358
2017-02,2017-02-14 16:06:00+00:00,2017-02-15 01:00:00+00:00,534.0,20:00,-0.571429
2017-05,2017-05-10 18:33:00+00:00,2017-05-11 00:00:00+00:00,327.0,20:00,0.72
2017-06,2017-06-06 18:33:00+00:00,2017-06-07 00:00:00+00:00,327.0,20:00,0.008696
2017-07,2017-07-25 13:27:00+00:00,2017-07-26 00:00:00+00:00,633.0,20:00,1.278146
2017-10,2017-10-06 12:21:00+00:00,2017-10-09 00:00:00+00:00,3579.0,20:00,0.658537
2017-10,2017-10-31 15:03:00+00:00,2017-11-01 00:00:00+00:00,537.0,20:00,-0.591216
2018-03,2018-03-13 14:00:00+00:00,2018-03-14 00:00:00+00:00,600.0,20:00,0.387255
2018-05,2018-05-24 14:42:00+00:00,2018-05-25 00:00:00+00:00,558.0,20:00,0.119342
2018-05,2018-05-28 11:27:00+00:00,2018-05-29 00:00:00+00:00,753.0,20:00,0.507042
2018-07,2018-07-23 19:18:00+00:00,2018-07-24 00:00:00+00:00,282.0,20:00,0.0
2018-10,2018-10-25 13:24:00+00:00,2018-10-26 00:00:00+00:00,636.0,20:00,0.579221
2018-11,2018-11-16 17:21:00+00:00,2018-11-19 01:00:00+00:00,3339.0,20:00,-0.335484
2018-11,2018-11-29 19:39:00+00:00,2018-11-30 01:00:00+00:00,321.0,20:00,0.314607
2019-01,2019-01-30 19:00:00+00:00,2019-01-31 01:00:00+00:00,360.0,20:00,0.657471
2019-04,2019-04-09 14:48:00+00:00,2019-04-10 00:00:00+00:00,552.0,20:00,0.344262
2019-05,2019-05-15 14:00:00+00:00,2019-05-16 00:00:00+00:00,600.0,20:00,-0.578199
2019-05,2019-05-27 13:12:00+00:00,2019-05-28 00:00:00+00:00,648.0,20:00,-0.335766
2019-09,2019-09-05 17:24:00+00:00,2019-09-06 00:00:00+00:00,396.0,20:00,-0.082474
2019-09,2019-09-12 15:51:00+00:00,2019-09-13 00:00:00+00:00,489.0,20:00,-0.301397
2019-10,2019-10-01 14:00:00+00:00,2019-10-02 00:00:00+00:00,600.0,20:00,0.604361
2019-10,2019-10-23 11:42:00+00:00,2019-10-24 00:00:00+00:00,738.0,20:00,0.696552
2020-01,2020-01-09 15:12:00+00:00,2020-01-10 01:00:00+00:00,588.0,20:00,-0.223958
2020-01,2020-01-15 15:00:00+00:00,2020-01-16 01:00:00+00:00,600.0,20:00,-0.4375
2020-03,2020-03-25 17:18:00+00:00,2020-03-26 00:00:00+00:00,402.0,20:00,0.9869
2020-08,2020-08-12 14:00:00+00:00,2020-08-13 00:00:00+00:00,600.0,20:00,-0.472603
2020-09,2020-09-22 15:06:00+00:00,2020-09-23 00:00:00+00:00,534.0,20:00,-0.457983
2020-10,2020-10-02 16:39:00+00:00,2020-10-05 00:00:00+00:00,3321.0,20:00,-0.067358
2020-11,2020-11-10 14:27:00+00:00,2020-11-11 01:00:00+00:00,633.0,20:00,-0.252
2021-02,2021-02-10 14:57:00+00:00,2021-02-11 01:00:00+00:00,603.0,20:00,0.565217
2021-03,2021-03-12 15:03:00+00:00,2021-03-15 00:00:00+00:00,3417.0,20:00,0.700389
2021-04,2021-04-22 13:18:00+00:00,2021-04-23 00:00:00+00:00,642.0,20:00,0.634006
2021-05,2021-05-07 12:30:00+00:00,2021-05-10 00:00:00+00:00,3570.0,20:00,0.454545
2021-05,2021-05-19 18:03:00+00:00,2021-05-20 00:00:00+00:00,357.0,20:00,0.327526
2021-06,2021-06-04 12:30:00+00:00,2021-06-07 00:00:00+00:00,3570.0,20:00,0.181425
2021-07,2021-07-13 18:00:00+00:00,2021-07-14 00:00:00+00:00,360.0,20:00,0.845361
2021-08,2021-08-10 14:24:00+00:00,2021-08-11 00:00:00+00:00,576.0,20:00,-0.22963
2021-08,2021-08-26 14:09:00+00:00,2021-08-27 00:00:00+00:00,591.0,20:00,-0.490909
2021-09,2021-09-03 12:30:00+00:00,2021-09-06 00:00:00+00:00,3570.0,20:00,-0.545455
2021-09,2021-09-23 15:18:00+00:00,2021-09-24 00:00:00+00:00,522.0,20:00,-0.502732
2021-12,2021-12-10 13:30:00+00:00,2021-12-13 01:00:00+00:00,3570.0,20:00,0.365325
2021-12,2021-12-30 14:54:00+00:00,2021-12-31 01:00:00+00:00,606.0,20:00,-0.264249
2022-04,2022-04-21 19:57:00+00:00,2022-04-22 00:00:00+00:00,243.0,20:00,-0.586957
2022-07,2022-07-15 13:03:00+00:00,2022-07-18 00:00:00+00:00,3537.0,20:00,0.337292
2022-07,2022-07-25 11:57:00+00:00,2022-07-26 00:00:00+00:00,723.0,20:00,0.187713
2022-09,2022-09-14 19:57:00+00:00,2022-09-15 00:00:00+00:00,243.0,20:00,-0.280992
2022-12,2022-12-16 16:21:00+00:00,2022-12-19 01:00:00+00:00,3399.0,20:00,0.073276
2023-01,2023-01-18 17:09:00+00:00,2023-01-19 01:00:00+00:00,471.0,20:00,0.847926
2023-03,2023-03-16 13:51:00+00:00,2023-03-17 00:00:00+00:00,609.0,20:00,-0.068474
2023-04,2023-04-03 14:36:00+00:00,2023-04-04 00:00:00+00:00,564.0,20:00,-0.569536
2023-04,2023-04-12 12:30:00+00:00,2023-04-13 00:00:00+00:00,690.0,20:00,0.166415
2023-06,2023-06-12 13:15:00+00:00,2023-06-13 00:00:00+00:00,645.0,20:00,-0.30137
2023-07,2023-07-03 14:18:00+00:00,2023-07-04 00:00:00+00:00,582.0,20:00,-0.012245
2023-07,2023-07-05 15:42:00+00:00,2023-07-06 00:00:00+00:00,498.0,20:00,1.239316
2023-07,2023-07-14 14:00:00+00:00,2023-07-17 00:00:00+00:00,3480.0,20:00,-0.209821
2023-07,2023-07-26 19:33:00+00:00,2023-07-27 00:00:00+00:00,267.0,20:00,-0.865854
2023-09,2023-09-06 14:00:00+00:00,2023-09-07 00:00:00+00:00,600.0,20:00,-0.543478
2023-09,2023-09-13 12:33:00+00:00,2023-09-14 00:00:00+00:00,687.0,20:00,-0.462532
2023-09,2023-09-21 14:00:00+00:00,2023-09-22 00:00:00+00:00,600.0,20:00,-0.465517
2023-10,2023-10-05 12:03:00+00:00,2023-10-06 00:00:00+00:00,717.0,20:00,0.620339
2023-11,2023-11-29 15:00:00+00:00,2023-11-30 01:00:00+00:00,600.0,20:00,-0.223048
2024-01,2024-01-09 16:48:00+00:00,2024-01-10 01:00:00+00:00,492.0,20:00,-0.10917
