month,trade_id,direction,entry_time_utc,original_exit_time_utc,close_model,close_time_ny,close_time_utc,executable_exit_price,tick_R,auditable_yes_no,non_auditable_reason,delta_vs_original_R
2017-05,538,SHORT,2017-05-01 14:48:00+00:00,2017-05-01 15:42:00+00:00,19:00,2017-05-01 19:00:00-04:00,2017-05-01 23:00:00+00:00,1.09117,0.5140186915887842,YES,,0.1495327102803019
2017-05,538,SHORT,2017-05-01 14:48:00+00:00,2017-05-01 15:42:00+00:00,19:45,2017-05-01 19:45:00-04:00,2017-05-01 23:45:00+00:00,1.09098,0.6915887850466297,YES,,0.3271028037381474
2017-05,538,SHORT,2017-05-01 14:48:00+00:00,2017-05-01 15:42:00+00:00,20:00,2017-05-01 20:00:00-04:00,2017-05-02 00:00:00+00:00,1.0909,0.7663551401868844,YES,,0.40186915887840213
2017-05,539,LONG,2017-05-02 12:12:00+00:00,2017-05-02 14:03:00+00:00,19:00,2017-05-02 19:00:00-04:00,2017-05-02 23:00:00+00:00,1.09305,1.5359999999999923,YES,,1.7919999999998724
2017-05,539,LONG,2017-05-02 12:12:00+00:00,2017-05-02 14:03:00+00:00,19:45,2017-05-02 19:45:00-04:00,2017-05-02 23:45:00+00:00,1.09321,1.6639999999999324,YES,,1.9199999999998125
2017-05,539,LONG,2017-05-02 12:12:00+00:00,2017-05-02 14:03:00+00:00,20:00,2017-05-02 20:00:00-04:00,2017-05-03 00:00:00+00:00,1.09346,1.863999999999983,YES,,2.1199999999998633
2017-05,540,LONG,2017-05-03 14:21:00+00:00,2017-05-03 17:15:00+00:00,19:00,2017-05-03 19:00:00-04:00,2017-05-03 23:00:00+00:00,1.08889,-1.7433628318584313,YES,,-2.274336283186003
2017-05,540,LONG,2017-05-03 14:21:00+00:00,2017-05-03 17:15:00+00:00,19:45,2017-05-03 19:45:00-04:00,2017-05-03 23:45:00+00:00,1.08889,-1.7433628318584313,YES,,-2.274336283186003
2017-05,540,LONG,2017-05-03 14:21:00+00:00,2017-05-03 17:15:00+00:00,20:00,2017-05-03 20:00:00-04:00,2017-05-04 00:00:00+00:00,1.0888,-1.8230088495574788,YES,,-2.3539823008850504
2017-05,541,LONG,2017-05-04 14:00:00+00:00,2017-05-04 14:51:00+00:00,19:00,2017-05-04 19:00:00-04:00,2017-05-04 23:00:00+00:00,1.09807,2.9999999999998455,YES,,2.165517241379259
