month,trade_idx,direction,risk_pips,spread_pips,spread_r,r_result_raw
2015-01,0,SHORT,13.4,0.2,0.0149,0.0
2015-01,1,SHORT,29.2,0.1,0.0034,-1.0
2015-01,2,LONG,15.2,0.2,0.0132,0.0
2015-01,3,LONG,15.3,0.3,0.0196,0.0
2015-01,4,SHORT,56.7,0.3,0.0053,-1.0
2015-01,5,LONG,9.0,0.3,0.0333,1.4
2015-01,6,SHORT,17.7,0.2,0.0113,0.0
2015-01,7,SHORT,21.8,0.2,0.0092,-1.0
2015-01,8,SHORT,26.0,0.3,0.0115,1.4
2015-01,9,LONG,15.1,0.1,0.0066,0.0
2015-01,10,SHORT,13.0,0.2,0.0154,0.0
2015-01,11,LONG,51.4,0.2,0.0039,-1.0
2015-01,12,LONG,12.0,0.1,0.0083,1.4
2015-01,13,LONG,32.2,0.2,0.0062,0.0
2015-01,14,LONG,33.3,0.4,0.012,-1.0
2015-01,15,SHORT,27.2,0.2,0.0074,0.0
2015-10,172,LONG,9.8,0.3,0.0306,0.0
2015-10,173,LONG,97.0,0.2,0.0021,0.0
2015-10,174,SHORT,20.4,0.3,0.0147,1.4
2015-10,175,SHORT,8.5,0.2,0.0235,0.0
2015-10,176,LONG,14.8,0.2,0.0135,0.0
2015-10,177,SHORT,11.7,0.2,0.0171,0.0
2015-10,178,LONG,9.4,0.3,0.0319,-1.0
2015-10,179,SHORT,29.4,0.4,0.0136,0.0
2015-10,180,SHORT,12.6,0.3,0.0238,1.4
2015-10,181,SHORT,19.1,0.3,0.0157,0.0
2015-10,182,LONG,33.6,0.2,0.006,-1.0
2015-10,183,LONG,16.6,0.3,0.0181,0.204819
2015-10,184,LONG,20.7,0.4,0.0193,-1.0
2015-10,185,SHORT,17.1,0.3,0.0175,1.4
2015-10,186,LONG,13.6,0.2,0.0147,-1.0
2015-10,187,SHORT,21.6,0.4,0.0185,0.0
2015-10,188,LONG,14.3,0.1,0.007,0.0
2015-10,189,SHORT,26.8,0.3,0.0112,-1.0
2015-10,190,LONG,17.5,0.3,0.0171,0.0
2015-11,191,SHORT,27.8,0.3,0.0108,-1.0
2015-11,192,SHORT,15.7,0.3,0.0191,0.0
2015-11,193,SHORT,18.1,0.3,0.0166,1.4
2015-11,194,SHORT,25.2,0.3,0.0119,0.0
2015-11,195,SHORT,22.1,0.1,0.0045,-1.0
2015-11,196,LONG,10.5,0.4,0.0381,0.0
2015-11,197,LONG,41.3,0.2,0.0048,0.0
2015-11,198,LONG,28.2,0.2,0.0071,-1.0
2015-11,199,SHORT,11.4,0.3,0.0263,0.0
2015-11,200,LONG,18.8,0.3,0.016,-1.0
2015-11,201,SHORT,9.4,0.2,0.0213,0.0
2015-11,202,SHORT,26.7,0.2,0.0075,1.4
2015-11,203,LONG,15.7,0.6,0.0382,0.0
2015-11,204,SHORT,19.6,0.3,0.0153,0.0
2015-11,205,LONG,22.7,0.1,0.0044,1.4
2015-11,206,SHORT,10.2,0.2,0.0196,-1.0
2017-05,538,SHORT,10.7,0.4,0.0374,0.0
2017-05,539,LONG,12.5,0.4,0.032,-1.0
2017-05,540,LONG,11.3,0.3,0.0265,0.0
2017-05,541,LONG,14.5,0.2,0.0138,0.0
2017-05,542,SHORT,22.4,0.3,0.0134,-1.0
2017-05,543,LONG,19.5,0.1,0.0051,-1.0
2017-05,544,SHORT,3.7,0.1,0.027,0.0
2017-05,545,LONG,7.5,0.4,0.0533,0.72
2017-05,546,SHORT,6.5,0.4,0.0615,-1.0
2017-05,547,LONG,11.0,0.3,0.0273,0.0
2017-05,548,SHORT,9.6,0.4,0.0417,0.0
2017-05,549,LONG,13.8,0.4,0.029,1.4
2017-05,550,SHORT,10.7,0.3,0.028,1.4
2017-05,551,LONG,11.0,0.4,0.0364,1.4
