trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2015-09-01T14:27:00+00:00,SHORT,SL,-1.0,0.0121,-1.0121
N/A,2015-09-02T13:09:00+00:00,SHORT,TP,1.4,0.0205,1.3795
N/A,2015-09-03T13:30:00+00:00,SHORT,TP,1.4,0.0159,1.3841
N/A,2015-09-08T19:00:00+00:00,SHORT,TP,1.4,0.119,1.281
N/A,2015-09-09T11:24:00+00:00,SHORT,SL,-1.0,0.0303,-1.0303
N/A,2015-09-10T15:00:00+00:00,SHORT,TP,1.4,0.0397,1.3603
N/A,2015-09-11T15:00:00+00:00,SHORT,TP,1.4,0.0314,1.3686
N/A,2015-09-14T14:09:00+00:00,SHORT,SL,-1.0,0.0255,-1.0255
N/A,2015-09-15T14:33:00+00:00,SHORT,SL,-1.0,0.034,-1.034
N/A,2015-09-16T12:12:00+00:00,SHORT,TP,1.4,0.0463,1.3537
N/A,2015-09-17T13:03:00+00:00,SHORT,SL,-1.0,0.0877,-1.0877
N/A,2015-09-18T14:21:00+00:00,SHORT,SL,-1.0,0.0289,-1.0289
N/A,2015-09-21T11:06:00+00:00,SHORT,SL,-1.0,0.0633,-1.0633
N/A,2015-09-22T12:09:00+00:00,SHORT,SL,-1.0,0.0347,-1.0347
N/A,2015-09-23T12:12:00+00:00,SHORT,SL,-1.0,0.0357,-1.0357
N/A,2015-09-24T11:06:00+00:00,SHORT,TP,1.4,0.0292,1.3708
N/A,2015-09-25T11:48:00+00:00,SHORT,TP,1.4,0.026,1.374
N/A,2015-09-28T14:03:00+00:00,SHORT,TP,1.4,0.04,1.36
N/A,2015-09-29T12:00:00+00:00,SHORT,SL,-1.0,0.0331,-1.0331
N/A,2015-09-30T11:24:00+00:00,SHORT,SL,-1.0,0.0254,-1.0254
