trade_id,entry_time,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-06-01T11:45:00+00:00,TP,1.4,0.0336,1.3664
N/A,2016-06-03T11:03:00+00:00,TP,1.4,0.0769,1.3231
N/A,2016-06-06T11:12:00+00:00,TP,1.4,0.0505,1.3495
N/A,2016-06-08T12:00:00+00:00,TP,1.4,0.0382,1.3618
N/A,2016-06-10T13:00:00+00:00,SL,-1.0,0.1429,-1.1429
N/A,2016-06-13T12:00:00+00:00,SL,-1.0,0.0532,-1.0532
N/A,2016-06-14T13:21:00+00:00,SL,-1.0,0.036,-1.036
N/A,2016-06-15T13:45:00+00:00,TP,1.4,0.0388,1.3612
N/A,2016-06-16T11:03:00+00:00,SL,-1.0,0.0397,-1.0397
N/A,2016-06-17T14:45:00+00:00,SL,-1.0,0.0166,-1.0166
N/A,2016-06-20T15:00:00+00:00,SL,-1.0,0.0781,-1.0781
N/A,2016-06-21T11:00:00+00:00,SL,-1.0,0.0276,-1.0276
N/A,2016-06-22T11:18:00+00:00,SL,-1.0,0.042,-1.042
N/A,2016-06-23T15:30:00+00:00,TP,1.4,0.015,1.385
N/A,2016-06-27T14:27:00+00:00,SL,-1.0,0.0161,-1.0161
N/A,2016-06-28T12:00:00+00:00,SL,-1.0,0.024,-1.024
N/A,2016-06-29T13:09:00+00:00,TP,1.4,0.0115,1.3885
N/A,2016-06-30T11:24:00+00:00,SL,-1.0,0.0323,-1.0323
