trade_id,entry_time,side,outcome,pnl_base,pnl_net_ftmo,commission_r
N/A,2017-03-01T12:45:00+00:00,SHORT,TP,1.4,1.3485,0.0515
N/A,2017-03-02T15:09:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-03T18:03:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-06T12:24:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-07T15:12:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-08T13:15:00+00:00,SHORT,SL,-1.0,-1.0223,0.0223
N/A,2017-03-10T13:30:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-13T14:15:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-14T11:00:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-15T13:18:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-16T15:27:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-17T11:00:00+00:00,SHORT,TP,1.4,1.3306,0.0694
N/A,2017-03-20T11:51:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-21T13:12:00+00:00,SHORT,TP,1.4,1.4,0.0
N/A,2017-03-22T15:39:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-24T11:45:00+00:00,SHORT,TP,1.4,1.3438,0.0562
N/A,2017-03-27T13:24:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-28T16:09:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-29T11:36:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-30T11:48:00+00:00,SHORT,SL,-1.0,-1.0,0.0
N/A,2017-03-31T14:45:00+00:00,SHORT,TP,1.4,1.4,0.0
