entry_time,side,outcome,pnl_net_ftmo,auditable
2019-09-03T11:54:00+00:00,SHORT,TIME_EXIT,0.0,YES
2019-09-04T14:15:00+00:00,SHORT,TP,1.4,YES
2019-09-05T17:24:00+00:00,SHORT,TIME_EXIT,-0.0515,YES
2019-09-09T12:30:00+00:00,SHORT,SL,-1.0174,YES
2019-09-10T11:03:00+00:00,SHORT,SL,-1.0649,YES
2019-09-12T15:51:00+00:00,SHORT,TP,1.39,YES
2019-09-13T13:36:00+00:00,SHORT,SL,-1.0,YES
2019-09-16T11:00:00+00:00,SHORT,BE,0.0,YES
2019-09-17T11:21:00+00:00,SHORT,SL,-1.0549,YES
2019-09-18T18:00:00+00:00,SHORT,SL,-1.0,YES
2019-09-20T12:57:00+00:00,SHORT,TP,1.3359,YES
2019-09-24T11:21:00+00:00,SHORT,TP,1.4,YES
2019-09-25T14:06:00+00:00,SHORT,SL,-1.0,YES
2019-09-26T14:00:00+00:00,SHORT,TP,1.4,YES
2019-09-27T12:15:00+00:00,SHORT,SL,-1.0292,YES
2019-09-30T11:09:00+00:00,SHORT,SL,-1.0,YES
