month,direction,entry_time,exit_time,verdict,gross_r,net_r,comm_r
2020-02,SHORT,2020-02-03T14:06:00+00:00,2020-02-03T14:26:45.577000,TP,1.4,1.2889,0.1111
2020-02,SHORT,2020-02-04T12:00:00+00:00,2020-02-04T12:05:07.852000,BE_STOP,0.0,-0.2083,0.2083
2020-02,SHORT,2020-02-05T14:24:00+00:00,2020-02-05T14:57:56.742000,BE_STOP,0.0,-0.0467,0.0467
2020-02,LONG,2020-02-07T12:33:00+00:00,2020-02-07T13:19:59.770000,TP,1.4,1.3432,0.0568
2020-02,SHORT,2020-02-10T16:00:00+00:00,2020-02-10T16:10:01.342000,TP,1.4,1.1619,0.2381
2020-02,LONG,2020-02-11T12:33:00+00:00,2020-02-11T13:03:22.601000,SL,-1.0,-1.049,0.049
2020-02,SHORT,2020-02-12T16:45:00+00:00,2020-02-12T17:45:03.741000,TP,1.4,1.3444,0.0556
2020-02,SHORT,2020-02-13T13:24:00+00:00,2020-02-13T14:07:39.388000,TP,1.4,1.3425,0.0575
2020-02,LONG,2020-02-17T16:18:00+00:00,2020-02-17T17:23:52.534000,BE_STOP,0.0,-0.0746,0.0746
2020-02,SHORT,2020-02-18T16:15:00+00:00,2020-02-18T17:11:43.428000,TP,1.4,1.3167,0.0833
2020-02,LONG,2020-02-19T12:09:00+00:00,2020-02-19T12:34:26.748000,BE_STOP,0.0,-0.0746,0.0746
2020-02,SHORT,2020-02-20T16:18:00+00:00,2020-02-20T16:28:04.198000,TP,1.4,1.3462,0.0538
2020-02,LONG,2020-02-24T15:03:00+00:00,2020-02-24T15:13:59.187000,BE_STOP,0.0,-0.0543,0.0543
2020-02,LONG,2020-02-25T15:21:00+00:00,2020-02-25T15:51:00.338000,TP,1.4,1.3606,0.0394
2020-02,SHORT,2020-02-26T12:42:00+00:00,2020-02-26T16:11:49.254000,BE_STOP,0.0,-0.0157,0.0157
2020-02,LONG,2020-02-27T13:36:00+00:00,2020-02-27T14:12:05.058000,BE_STOP,0.0,-0.0385,0.0385
2020-02,SHORT,2020-02-28T13:12:00+00:00,2020-02-28T13:37:51.215000,BE_STOP,0.0,-0.0296,0.0296
