Month,Sample,Auditables,Non-Auditables,PF_Net,Total_R_Net
2015-01,16,16,0,0.77,-1.2266
2015-02,19,19,0,2.64,3.3485
2015-03,21,21,0,1.8,3.5967
2015-04,19,19,0,2.57,4.1423
2015-05,19,19,0,5.47,10.0736
2015-06,20,20,0,5.26,12.2588
2015-07,19,19,0,4.66,8.4579
2015-08,19,19,0,2.0,3.4047
2015-09,20,20,0,2.8,7.8213
2015-10,19,19,0,0.79,-1.1457
2015-11,16,16,0,0.77,-1.2679
2015-12,18,18,0,18.57,7.5372
2016-01,19,18,1,4.01,7.1667
2016-02,20,20,0,10.42,9.8571
2016-03,17,17,0,1.07,0.169
2016-04,19,18,1,1.95,3.3574
2016-05,22,22,0,2.03,3.5716
2016-06,18,18,0,9.25,8.5626
2016-07,21,21,0,1.31,1.9016
2016-08,21,21,0,1.45,2.1487
2016-09,22,22,0,7.8,10.6448
2016-10,19,19,0,0.73,-1.5716
2016-11,22,22,0,7.1,9.2871
2016-12,21,21,0,3.07,5.522
2017-01,18,18,0,6.18,7.7435
2017-02,18,18,0,1.79,2.4074
2017-03,21,21,0,3.0,7.2134
2017-04,15,15,0,1.78,3.5107
2017-05,20,20,0,1.18,1.1546
2017-06,19,19,0,4.15,6.1092
2017-07,18,18,0,1.78,3.4758
2017-08,19,15,4,0.92,-0.5844
2017-09,18,18,0,1.53,1.8639
2017-10,19,19,0,3.01,4.7641
2017-11,18,17,1,3.11,3.6628
2017-12,19,19,0,5.61,7.6664
2018-01,19,19,0,3.36,5.7122
2018-02,19,19,0,2.02,5.4865
2018-03,21,21,0,1.68,3.1294
2018-04,18,18,0,4.47,8.4091
2018-05,20,20,0,1.37,1.9992
2018-06,21,21,0,2.36,5.4552
2018-07,20,20,0,4.49,7.2784
2018-08,21,21,0,3.72,6.8703
2018-09,16,16,0,4.62,8.506
2018-10,20,20,0,1.25,1.1755
2018-11,19,19,0,1.37,1.6753
2018-12,18,18,0,1.73,4.0014
2019-01,19,19,0,2.85,8.3749
2019-02,16,16,0,3.12,5.5238
2019-03,19,19,0,1.51,1.8891
2019-04,18,18,0,1.49,1.8281
2019-05,21,19,2,3.38,6.5556
2019-06,16,16,0,2.11,4.8999
2019-07,19,18,1,1.12,0.5592
2019-08,20,18,2,1.69,3.3283
2019-09,16,15,1,1.39,2.2635
2019-10,18,14,4,2.11,1.8346
2019-11,20,19,1,1.59,2.4378
2019-12,19,18,1,1.04,0.1937
2020-01,20,20,0,0.68,-1.8865
2020-02,17,17,0,6.6,8.9131
2020-03,19,19,0,28.0,7.5303
2020-04,19,19,0,1.26,1.683
2020-05,16,15,1,3.97,7.0635
2020-06,21,21,0,1.44,1.6358
2020-07,23,23,0,2.7,7.6885
2020-08,18,18,0,1.02,0.0985
2020-09,21,20,1,1.45,2.5315
2020-10,18,18,0,2.54,4.0516
2020-11,17,17,0,7.31,9.3458
2020-12,20,20,0,2.32,5.6872
2021-01,20,20,0,2.23,6.6532
2021-02,19,19,0,3.24,7.6976
2021-03,21,21,0,1.85,3.2923
2021-04,18,18,0,1.33,1.484
2021-05,15,15,0,1.36,0.905
2021-06,19,19,0,5.52,7.749
2021-07,21,21,0,2.07,3.0643
2021-08,20,20,0,0.84,-1.0271
2021-09,21,21,0,3.43,7.5563
2021-10,18,18,0,3.52,6.6329
2021-11,18,18,0,2.1,4.8994
2021-12,22,22,0,5.1,12.2472
2022-01,20,20,0,1.71,3.3641
2022-02,18,18,0,2.33,4.6167
2022-03,21,21,0,2.8,7.8508
2022-04,19,19,0,2.61,5.0136
2022-05,19,19,0,2.0,5.4566
2022-06,22,22,0,5.99,7.8791
2022-07,18,18,0,14.67,6.4773
2022-08,22,22,0,3.15,7.4648
2022-09,22,22,0,2.57,5.9144
2022-10,20,20,0,4.15,7.2614
2022-11,19,19,0,2.68,4.193
2022-12,18,18,0,1.78,2.6044
2023-01,18,18,0,1.31,0.8042
2023-02,18,18,0,0.86,-0.6631
2023-03,20,20,0,2.77,6.0982
2023-04,16,16,0,2.34,5.3503
2023-05,22,22,0,2.48,5.4965
2023-06,20,20,0,6.0,8.9779
2023-07,21,20,1,1.74,4.4258
2023-08,22,22,0,3.65,8.746
2023-09,18,18,0,0.98,-0.0911
2023-10,21,21,0,1.98,3.5728
2023-11,19,19,0,2.09,4.2229
2023-12,17,17,0,2.3,4.5394
2024-01,20,20,0,1.89,4.0739
2024-02,19,19,0,1.16,0.8764
2024-03,19,19,0,2.51,4.6057
2024-04,21,21,0,1.0,0.0024
2024-05,23,23,0,2.47,4.6083
2024-06,15,15,0,8.83,10.4165
2024-07,21,21,0,4.57,7.8067
2024-08,20,20,0,4.19,8.1008
2024-09,20,20,0,2.36,3.8928
2024-10,23,23,0,0.97,-0.2144
2024-11,19,19,0,1.83,4.607
2024-12,18,18,0,1.04,0.2094
2025-01,20,20,0,0.95,-0.2088
2025-02,19,19,0,0.59,-2.836
2025-03,18,18,0,2.02,3.773
2025-04,20,20,0,1.9,3.1308
2025-05,20,20,0,1.44,2.0873
2025-06,19,19,0,1.23,1.2579
2025-07,22,13,9,4.2,5.099
2025-08,19,19,0,3.29,7.8733
2025-09,22,22,0,0.93,-0.4312
2025-10,20,20,0,1.38,2.216
2025-11,17,17,0,0.61,-2.5608
2025-12,21,21,0,1.45,2.2242
2026-01,20,20,0,9.99,10.9108
2026-02,19,19,0,5.74,7.7085
2026-03,22,22,0,1.45,2.9451
