trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
172,2015-10-01T11:24:00+00:00,2015-10-01T11:38:48.594000,LONG,BE_STOP,0.0,-0.051,0.051
173,2015-10-02T12:30:00+00:00,2015-10-02T16:47:30.154000,LONG,BE_STOP,0.0,-0.0052,0.0052
174,2015-10-05T11:15:00+00:00,2015-10-05T13:40:45.667000,SHORT,TP,1.4,1.3755,0.0245
175,2015-10-06T13:00:00+00:00,2015-10-06T13:02:29.225000,SHORT,BE_STOP,0.0,-0.0588,0.0588
176,2015-10-08T17:00:00+00:00,2015-10-08T17:56:53.541000,LONG,BE_STOP,0.0,-0.0338,0.0338
177,2015-10-09T11:24:00+00:00,2015-10-09T12:14:32.458000,SHORT,BE_STOP,0.0,-0.0427,0.0427
178,2015-10-12T11:33:00+00:00,2015-10-12T12:11:35.646000,LONG,SL,-1.0,-1.0532,0.0532
179,2015-10-13T12:00:00+00:00,2015-10-13T14:16:13.393000,SHORT,BE_STOP,0.0,-0.017,0.017
180,2015-10-14T13:21:00+00:00,2015-10-14T13:46:09.654000,SHORT,TP,1.4,1.3603,0.0397
181,2015-10-15T13:15:00+00:00,2015-10-15T13:48:55.265000,SHORT,BE_STOP,0.0,-0.0262,0.0262
182,2015-10-16T13:33:00+00:00,2015-10-16T15:32:26.547000,LONG,SL,-1.0,-1.0149,0.0149
183,2015-10-19T15:27:00+00:00,2015-10-19T23:44:57.271000,LONG,TIME_EXIT,0.247,0.2169,0.0301
184,2015-10-22T16:51:00+00:00,2015-10-22T18:47:57.579000,LONG,SL,-1.0,-1.0242,0.0242
185,2015-10-23T12:12:00+00:00,2015-10-23T12:20:59.663000,SHORT,TP,1.4,1.3708,0.0292
186,2015-10-26T12:12:00+00:00,2015-10-26T13:06:28.210000,LONG,SL,-1.0,-1.0368,0.0368
187,2015-10-27T12:00:00+00:00,2015-10-27T13:04:25.589000,SHORT,BE_STOP,0.0,-0.0231,0.0231
188,2015-10-28T12:27:00+00:00,2015-10-28T13:59:05.918000,LONG,BE_STOP,0.0,-0.035,0.035
189,2015-10-29T15:00:00+00:00,2015-10-29T21:45:33.306000,SHORT,SL,-1.0,-1.0187,0.0187
190,2015-10-30T11:09:00+00:00,2015-10-30T12:31:28.583000,LONG,BE_STOP,0.0,-0.0286,0.0286
