balance,risk_pct,sl_pips,lots,risk_usd,actual_risk_usd
100,0.10%,3,0,0.1,0
100,0.10%,5,0,0.1,0
100,0.10%,8,0,0.1,0
100,0.10%,10,0,0.1,0
100,0.10%,15,0,0.1,0
100,0.10%,20,0,0.1,0
100,0.25%,3,0,0.25,0
100,0.25%,5,0,0.25,0
100,0.25%,8,0,0.25,0
100,0.25%,10,0,0.25,0
100,0.25%,15,0,0.25,0
100,0.25%,20,0,0.25,0
100,0.50%,3,0.01,0.5,0.3
100,0.50%,5,0.01,0.5,0.5
100,0.50%,8,0,0.5,0
100,0.50%,10,0,0.5,0
100,0.50%,15,0,0.5,0
100,0.50%,20,0,0.5,0
200,0.10%,3,0,0.2,0
200,0.10%,5,0,0.2,0
200,0.10%,8,0,0.2,0
200,0.10%,10,0,0.2,0
200,0.10%,15,0,0.2,0
200,0.10%,20,0,0.2,0
200,0.25%,3,0.01,0.5,0.3
200,0.25%,5,0.01,0.5,0.5
200,0.25%,8,0,0.5,0
200,0.25%,10,0,0.5,0
200,0.25%,15,0,0.5,0
200,0.25%,20,0,0.5,0
200,0.50%,3,0.03,1.0,0.9
200,0.50%,5,0.02,1.0,1.0
200,0.50%,8,0.01,1.0,0.8
200,0.50%,10,0.01,1.0,1.0
200,0.50%,15,0,1.0,0
200,0.50%,20,0,1.0,0
500,0.10%,3,0.01,0.5,0.3
500,0.10%,5,0.01,0.5,0.5
500,0.10%,8,0,0.5,0
500,0.10%,10,0,0.5,0
500,0.10%,15,0,0.5,0
500,0.10%,20,0,0.5,0
500,0.25%,3,0.04,1.25,1.2
500,0.25%,5,0.02,1.25,1.0
500,0.25%,8,0.01,1.25,0.8
500,0.25%,10,0.01,1.25,1.0
500,0.25%,15,0,1.25,0
500,0.25%,20,0,1.25,0
500,0.50%,3,0.08,2.5,2.4
500,0.50%,5,0.05,2.5,2.5
500,0.50%,8,0.03,2.5,2.4
500,0.50%,10,0.02,2.5,2.0
500,0.50%,15,0.01,2.5,1.5
500,0.50%,20,0.01,2.5,2.0
1000,0.10%,3,0.03,1.0,0.9
1000,0.10%,5,0.02,1.0,1.0
1000,0.10%,8,0.01,1.0,0.8
1000,0.10%,10,0.01,1.0,1.0
1000,0.10%,15,0,1.0,0
1000,0.10%,20,0,1.0,0
1000,0.25%,3,0.08,2.5,2.4
1000,0.25%,5,0.05,2.5,2.5
1000,0.25%,8,0.03,2.5,2.4
1000,0.25%,10,0.02,2.5,2.0
1000,0.25%,15,0.01,2.5,1.5
1000,0.25%,20,0.01,2.5,2.0
1000,0.50%,3,0.16,5.0,4.8
1000,0.50%,5,0.1,5.0,5.0
1000,0.50%,8,0.06,5.0,4.8
1000,0.50%,10,0.05,5.0,5.0
1000,0.50%,15,0.03,5.0,4.5
1000,0.50%,20,0.02,5.0,4.0
