pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-01,2,1,1,0,50.0,-0.998760448097469,-499.492806853161,-0.4993802240487345,0.0,0.04005091733218039
EURUSD,2020-02,4,1,3,0,25.0,-1.729198631011175,-862.6583904301954,-0.4322996577527938,0.5337020456375331,0.4508654102481564
EURUSD,2020-03,6,1,5,0,16.666666666666664,-3.6980308618688187,-1812.5649639438218,-0.6163384769781365,1.3133233397489164,0.279821006802719
EURUSD,2020-04,5,3,2,0,60.0,2.263834658579132,1089.2869568167584,0.4527669317158264,1.0164829886883247,2.04930063589656
EURUSD,2020-05,3,2,1,0,66.66666666666666,1.7748151234507048,862.462109207875,0.5916050411502349,0.550668715450579,2.555207197257214
EURUSD,2020-06,4,2,2,0,50.0,0.8197657360361119,396.166401142773,0.20494143400902798,1.038265877437198,1.3761137634956542
EURUSD,2020-07,5,2,3,0,40.0,-0.2208098551160571,-118.7585874285353,-0.04416197102321142,0.5247642670136232,0.9232781881093959
EURUSD,2020-08,1,1,0,0,100.0,1.4574273985099593,717.059349799271,1.4574273985099593,0.0,inf
EURUSD,2020-09,3,1,2,0,33.33333333333333,-0.6356998109909286,-319.6836159683053,-0.2118999369969762,0.5107500922866833,0.6918790764832453
EURUSD,2020-10,4,2,2,0,50.0,0.7969676472648961,385.4426047659448,0.19924191181622403,0.5074064930962032,1.3718364932765974
EURUSD,2020-11,7,2,5,0,28.57142857142857,-0.6686762019773664,-338.14729418250727,-0.09552517171105235,1.566378095327878,0.8085017343973275
EURUSD,2020-12,1,0,1,0,0.0,-1.0589473684210577,-521.2377860483246,-1.0589473684210577,0.0,0.0
