pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-03,2,1,1,-216.93996442843456,0.6994503063006605
EURUSD,2020-04,4,3,1,44.69912338232831,1.047253240575519
EURUSD,2020-05,1,1,0,458.0262860929321,inf
EURUSD,2020-07,1,1,0,306.7736757460106,inf
EURUSD,2020-08,3,0,3,-2453.538684843119,0.0
EURUSD,2020-10,3,1,2,-993.6632035347415,0.09178514286447996
EURUSD,2020-11,2,1,1,188.54940060007095,4.062723669088005
EURUSD,2020-12,3,1,2,-942.9957524477608,0.2861114613371402
EURUSD,2021-01,1,1,0,165.38310949294186,inf
EURUSD,2021-03,3,3,0,496.81280884306034,inf
EURUSD,2021-04,3,2,1,-259.7450623417135,0.5694381022490771
EURUSD,2021-06,3,2,1,-342.1316227078904,0.31324059369051566
EURUSD,2021-07,1,1,0,45.48057522630305,inf
EURUSD,2021-09,1,1,0,34.28098977097413,inf
EURUSD,2021-10,1,0,1,-570.8027932509117,0.0
EURUSD,2021-12,1,0,1,-518.6692066141978,0.0
