context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|core|active|mild|short,4,4,0,100.0,inf,1301.7296204672095,0.4261568117130778
wed_thu|early|balanced|deep|long,2,2,0,100.0,inf,558.4444034850903,0.42284699035394624
fri|early|active|deep|short,1,1,0,100.0,inf,328.411479226995,0.4345915866043756
fri|early|active|mild|short,1,1,0,100.0,inf,220.89117191632238,0.38528917680063796
wed_thu|early|active|deep|long,1,1,0,100.0,inf,187.84276410024984,0.3646979123323828
wed_thu|early|active|mild|short,1,1,0,100.0,inf,122.0451108003571,0.3030806158941693
mon_tue|core|active|deep|long,1,1,0,100.0,inf,102.83019158765656,0.2767806642529414
fri|core|balanced|mild|long,1,1,0,100.0,inf,93.82877272690006,0.27134730328819645
fri|core|balanced|deep|short,1,1,0,100.0,inf,84.04473825521504,0.24256617352529464
mon_tue|early|active|mild|short,1,1,0,100.0,inf,44.33823709069664,0.16291562340233076
fri|core|active|mild|short,3,2,1,66.66666666666666,0.5374349974851426,-287.9175716007528,-0.20086795457348475
wed_thu|core|active|mild|long,3,2,1,66.66666666666666,0.6436895600832848,-298.1710931501464,-0.1178049671403199
wed_thu|core|active|deep|long,3,2,1,66.66666666666666,0.5533416061226855,-331.22069175546994,-0.2080825767369805
mon_tue|late|active|mild|long,1,0,1,0.0,0.0,-418.4060708668798,-1.409251481925673
mon_tue|core|balanced|mild|long,2,1,1,50.0,0.21637090494895986,-449.7146751074583,-0.48563265716337034
mon_tue|early|active|mild|long,3,2,1,66.66666666666666,0.4903532532405612,-475.69408043438955,-0.13071232777973757
fri|core|active|deep|long,1,0,1,0.0,0.0,-531.038034132326,-1.2960924205001305
mon_tue|core|balanced|deep|long,1,0,1,0.0,0.0,-620.4972450100526,-1.2454249047046015
mon_tue|early|active|deep|long,1,0,1,0.0,0.0,-635.1977033789894,-1.2362224198893537
mon_tue|late|active|mild|short,1,0,1,0.0,0.0,-692.0213670433277,-1.232824845720786
fri|core|active|deep|short,3,1,2,33.33333333333333,0.4105386166191614,-728.2804940512822,-0.6622563438879604
mon_tue|core|balanced|deep|short,1,0,1,0.0,0.0,-789.6934588147437,-1.2017775718973938
wed_thu|core|active|deep|short,1,0,1,0.0,0.0,-863.6647170393626,-1.1579670244477045
mon_tue|early|balanced|mild|short,1,0,1,0.0,0.0,-911.4828361599651,-1.1565342878737175
fri|core|active|mild|long,3,1,2,33.33333333333333,0.26576580676350203,-950.7647236909054,-0.7168650871995266
fri|early|active|mild|long,1,0,1,0.0,0.0,-952.3895719322603,-1.1598117913298476
wed_thu|early|active|deep|short,1,0,1,0.0,0.0,-1105.2873247107927,-1.105385728700393
mon_tue|core|active|deep|short,2,0,2,0.0,0.0,-1306.6813952316415,-1.2674804738235514
mon_tue|core|active|mild|short,3,0,3,0.0,0.0,-1844.9994792773475,-1.2697765246779131
mon_tue|core|active|mild|long,3,0,3,0.0,0.0,-2096.104489008963,-1.2312598323958592
