scr_h1_adx_min,scr_m15_compression_atr_max,stop_atr_multiple,scr_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
22.0,0.55,0.6,0.6,-17.811729566507672,-22.1735219221857,-18.227764698796825,0.33029866935024094,-0.8326421136306217,-0.9174080355058046,1.483646414272875,0.0,0.2604311095265358,100000.0,98338.93751174222,-1.6610624882577807,1.782588337964582,-0.9364589066889561,0.3465654860024476,14,8,6,0,57.14285714285714,1.5555555555555556,0.5555555555555556,-184.56249869530805,-118.64732058984089,8.928571428571429,5.0,4,3
18.0,0.55,0.6,0.6,-25.900561125604828,-31.383216324732285,-27.259859850508814,0.17611844122140186,-2.1036759340304134,-1.4840275643597716,3.034064048911852,0.0,0.1444737972600565,100000.0,95831.52036204646,-4.168479637953537,4.342235642706874,-1.4576278028786247,0.21525864101190753,23,12,11,0,52.17391304347826,1.7692307692307692,0.46153846153846156,-320.65227984257916,-181.23824512841438,8.91304347826087,5.0,4,2
18.0,0.7,0.6,0.6,-31.460378739499507,-36.59022890102601,-33.6773137989754,0.12159223150655574,-3.182083169938349,-1.8947772512543688,3.640435909798546,0.0,0.1135728704227151,100000.0,93736.2152748747,-6.263784725125299,6.433727893886157,-1.8422696030494807,0.18268973129478208,31,15,16,0,48.38709677419355,1.8235294117647058,0.4117647058823529,-368.45792500737076,-202.05757177823565,9.35483870967742,5.0,4,3
18.0,0.7,0.6,0.8,-32.33221999751799,-35.78140271929093,-34.48878163159469,0.2053582642761721,-2.7822907533256225,-1.5801507800865724,3.7021381516582164,0.0,0.18869223685257663,100000.0,94511.18048185547,-5.488819518144538,5.878562447513571,-1.526731117840235,0.3124855664222668,31,14,17,0,45.16129032258064,1.8235294117647058,0.35294117647058826,-322.87173636144223,-177.05869413369416,10.64516129032258,5.0,4,5
18.0,0.7,0.8,0.6,-33.471741954894775,-38.263411252653846,-36.27236729586466,0.1773180809462714,-3.441852496575237,-1.6892673242009624,4.637296629861367,0.0,0.15710321295160595,100000.0,93229.11172616383,-6.770888273836173,7.12787086831969,-1.6649660594171884,0.2668622081048471,31,14,17,0,45.16129032258064,1.8235294117647058,0.35294117647058826,-398.28754551977477,-218.41575076890874,12.419354838709678,10.0,4,5
18.0,0.55,0.8,0.6,-34.89463043897672,-39.15428405745028,-37.24619492181491,0.27919284611610584,-2.3295608901173717,-1.3374178692490593,4.25249293147758,0.0,0.18137029940297297,100000.0,95371.07947557385,-4.6289205244261495,4.994158979680244,-1.3916510925126637,0.28841341282384925,23,10,13,0,43.47826086956522,1.7692307692307692,0.38461538461538464,-356.07080957124464,-201.2574141054861,13.478260869565217,10.0,4,5
18.0,0.55,0.6,0.8,-34.93566663069416,-37.40275740885862,-36.86247956634855,0.27946116920315445,-1.9712166011908838,-1.3139715435961752,3.4353820452862713,0.0,0.20828198908035642,100000.0,96084.52757232318,-3.915472427676825,4.2833988376006165,-1.2845054371126707,0.3265233756240604,23,10,13,0,43.47826086956522,1.7692307692307692,0.38461538461538464,-301.19018674437217,-170.2379316381234,11.08695652173913,10.0,4,5
22.0,0.55,0.8,0.6,-35.31166317980095,-30.40114332369113,-24.32166532807958,1.0766996755032692,-0.9767196789499943,-0.7976218688095786,2.3066120417765195,0.5,0.42237617800168076,100000.0,98044.65974326483,-1.9553402567351719,2.3064815423127243,-0.8905568252878606,0.4068333202295677,14,6,8,0,42.857142857142854,1.5555555555555556,0.4444444444444444,-217.26002852613206,-139.66716119537065,15.0,12.5,3,4
22.0,0.7,0.6,0.6,-35.555713302870174,-35.51821209117026,-36.9398848206326,0.12849908192178153,-1.7675476133080403,-1.45181408983059,2.0566074966004644,0.0,0.12957979931353913,100000.0,96496.0001067774,-3.503999893222598,3.6232369182272817,-1.4270258316147444,0.20408757602591576,17,8,9,0,47.05882352941176,1.5454545454545454,0.36363636363636365,-318.54544483841937,-206.11764077780077,10.588235294117647,5.0,2,3
22.0,0.55,0.6,0.8,-36.35498153676234,-28.850431417091674,-24.92212156348181,0.9318097840225649,-0.8420978906982346,-0.8149612179264838,1.962311045967639,0.5,0.46666493388867925,100000.0,98315.23635706228,-1.6847636429377144,1.9624831912080052,-0.8324641695843661,0.44674802188722845,14,6,8,0,42.857142857142854,1.5555555555555556,0.4444444444444444,-187.19596032641297,-120.34026020983687,12.5,10.0,3,4
