pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022-04,2,0,2,-1168.5948439851707,0.0
USDJPY,2022-06,2,1,1,-666.8807108124415,0.2702789868847753
USDJPY,2022-07,1,0,1,-604.0026931109471,0.0
USDJPY,2022-08,3,1,2,-1249.6001797513313,0.08027519307694679
USDJPY,2022-09,2,2,0,383.8723778538431,inf
USDJPY,2022-11,2,2,0,391.57433771172464,inf
USDJPY,2023-01,1,1,0,313.49118427578105,inf
USDJPY,2023-02,1,1,0,222.37890616431957,inf
USDJPY,2023-03,1,1,0,285.05941412569325,inf
USDJPY,2023-07,1,1,0,220.3832799388605,inf
USDJPY,2023-10,1,1,0,38.4577432503385,inf
USDJPY,2023-11,2,1,1,-451.5876893323075,0.3117665967973998
USDJPY,2023-12,1,1,0,334.8424511022406,inf
USDJPY,2024-01,1,1,0,255.6873466065682,inf
USDJPY,2024-02,1,0,1,-276.9739930048627,0.0
USDJPY,2024-04,2,0,2,-1138.235186323096,0.0
USDJPY,2024-06,1,0,1,-313.1790982683329,0.0
USDJPY,2025-01,1,0,1,-929.3483799817812,0.0
USDJPY,2025-05,2,0,2,-2103.057807089662,0.0
USDJPY,2025-08,1,0,1,-748.0297731500981,0.0
USDJPY,2025-10,2,1,1,-314.8347684552134,0.27578669141678014
USDJPY,2025-11,1,1,0,262.8214670779369,inf
