context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
core_reversion|wed_thu|early|balanced|deep|short,2,2,0,100.0,inf,711.9937103541508,0.5586245098484496
core_reversion|wed_thu|core|balanced|deep|short,1,1,0,100.0,inf,397.3165872465669,0.5924940212910921
core_reversion|mon_tue|core|balanced|deep|long,2,2,0,100.0,inf,325.2453827539566,0.42286989368356587
core_reversion|mon_tue|core|balanced|deep|short,1,1,0,100.0,inf,112.95212133989853,0.3498510790552631
core_reversion|wed_thu|core|balanced|deep|long,3,2,1,66.66666666666666,1.1705680012306436,86.06248439572877,-0.1351556135611526
core_reversion|fri|core|balanced|deep|long,1,1,0,100.0,inf,22.343913109235118,0.10665663137017384
core_reversion|fri|core|balanced|deep|short,1,1,0,100.0,inf,3.8505220843414634,0.02097396676224703
core_reversion|mon_tue|early|balanced|deep|long,2,1,1,50.0,0.607288716781152,-210.2381707987115,-0.4146972386437513
core_reversion|wed_thu|core|calm|deep|short,1,0,1,0.0,0.0,-504.1040325594492,-1.4150563460707817
core_reversion|mon_tue|early|balanced|deep|short,1,0,1,0.0,0.0,-508.3723311399349,-1.3929504959079417
core_reversion|wed_thu|early|balanced|deep|long,1,0,1,0.0,0.0,-761.1662419284195,-1.2374977592556848
