pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,short,2020-01-02 11:20:00-05:00,2020-01-02 11:20:00-05:00,1.11872,1.1185518964573595,3569228,599.9998712913368,440.29320136236265,0.44029320136236266,159.70666992897418,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-06 17:10:00-05:00,2020-01-06 17:10:00-05:00,1.11948,1.1195605339088635,12417129,-999.9999352313631,-1556.0490381468678,-1.556049038146868,556.0491029155047,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-08 17:15:00-05:00,2020-01-08 17:25:00-05:00,1.1107099999999999,1.1107656365792677,10784271,599.9999483378152,120.86004264244849,0.12086004264244848,479.13990569536674,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-10 12:45:00-05:00,2020-01-10 12:50:00-05:00,1.11221,1.1121128193534804,6174068,599.9999198955701,325.337513082768,0.325337513082768,274.6624068128021,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-13 11:50:00-05:00,2020-01-13 11:50:00-05:00,1.11387,1.1140454751031639,5698814,-999.9999745622074,-1253.9294925688987,-1.2539294925688986,253.92951800669124,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-14 14:00:00-05:00,2020-01-14 14:00:00-05:00,1.11303,1.113124785462294,10550141,-999.9999919532924,-1469.7249294423314,-1.4697249294423314,469.7249374890391,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-17 11:05:00-05:00,2020-01-17 11:05:00-05:00,1.10941,1.1092157143025045,5147059,-999.9999478653185,-1228.3878968739612,-1.2283878968739612,228.3879490086427,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-19 17:10:00-05:00,2020-01-19 17:10:00-05:00,1.10917,1.1091158028583499,18451157,-999.999969537495,-1818.5987619257044,-1.8185987619257045,818.5987923882094,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-20 11:05:00-05:00,2020-01-20 11:05:00-05:00,1.10831,1.1081976530448572,8900997,-999.9999106845572,-1394.5824700891435,-1.3945824700891436,394.58255940458633,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-21 11:05:00-05:00,2020-01-21 11:05:00-05:00,1.10979,1.109629298579651,6222720,-999.999942434591,-1276.2164395877423,-1.2762164395877424,276.21649715315135,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-01-26 17:10:00-05:00,2020-01-26 17:10:00-05:00,1.10309,1.1029786343764707,8979431,-999.9999322524517,-1396.1847539254068,-1.3961847539254069,396.18482167295497,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-29 15:20:00-05:00,2020-01-29 15:20:00-05:00,1.1012,1.101089331338947,5421589,599.9999954098147,361.2018431377229,0.3612018431377229,238.7981522720918,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2020-01-31 15:15:00-05:00,2020-01-31 15:15:00-05:00,1.10855,1.1086750945638955,7993952,-999.9999392418289,-1354.4877588246136,-1.3544877588246136,354.4878195827848,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-02-05 13:30:00-05:00,2020-02-05 13:40:00-05:00,1.10023,1.1001266189177539,9672949,-999.9999361319868,-1425.6786832640641,-1.4256786832640642,425.67874713207743,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-02-06 11:05:00-05:00,2020-02-06 11:05:00-05:00,1.09768,1.0978388001356043,3778334,599.9999515584129,434.09188495458176,0.43409188495458173,165.90806660383117,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2020-02-10 15:55:00-05:00,2020-02-10 15:55:00-05:00,1.0912,1.0912492933708866,12172022,599.9999948865915,68.70357863069376,0.06870357863069375,531.2964162558977,take_profit,fast_indicator_combo,,bb_vwap_rsi7
