pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,short,2020-01-02 11:20:00-05:00,2020-01-02 11:20:00-05:00,1.11872,1.118451034331775,2974357,799.9999180443322,666.9170115210931,0.6669170115210931,133.0829065232391,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-02 12:35:00-05:00,2020-01-02 12:40:00-05:00,1.11709,1.1168207136857995,3713519,-999.9998442232412,-1165.9132418147567,-1.1659132418147566,165.91339759151555,stop_loss,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-02 13:35:00-05:00,2020-01-02 13:40:00-05:00,1.1167799999999999,1.1169582179020157,4488886,799.9998453079883,599.459921027882,0.599459921027882,200.53992428010616,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-02 16:10:00-05:00,2020-01-02 16:30:00-05:00,1.1171499999999999,1.1172508538717851,7932268,799.9999398383759,445.5226119915792,0.4455226119915792,354.4773278467967,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-02 17:35:00-05:00,2020-01-02 17:35:00-05:00,1.11718,1.1172492439207644,11553360,799.9999444020137,283.6966354111256,0.2836966354111256,516.3033089908881,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,short,2020-01-03 15:20:00-05:00,2020-01-03 15:30:00-05:00,1.1163100000000001,1.1161935643218024,6870746,799.9999702344508,493.2206715434554,0.4932206715434554,306.77929869099535,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,short,2020-01-06 11:10:00-05:00,2020-01-06 11:15:00-05:00,1.1185,1.1183289262496516,4676345,799.9998770730639,590.7962017706053,0.5907962017706053,209.20367530245858,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-06 11:25:00-05:00,2020-01-06 11:30:00-05:00,1.11862,1.1184019995310153,4587146,-999.9999793012007,-1205.2309096424146,-1.2052309096424147,205.230930341214,stop_loss,fast_indicator_combo,,vwap_rsi2
EURUSD,short,2020-01-06 14:00:00-05:00,2020-01-06 14:00:00-05:00,1.11934,1.1192441208014736,8343832,799.9999247987868,426.43252836208273,0.42643252836208273,373.56739643670403,take_profit,fast_indicator_combo,,vwap_rsi2
EURUSD,short,2020-01-06 17:10:00-05:00,2020-01-06 17:10:00-05:00,1.11948,1.119576640690636,10347608,-999.99998355033,-1463.377591703601,-1.463377591703601,463.37760815327107,stop_loss,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-07 11:05:00-05:00,2020-01-07 11:15:00-05:00,1.1142,1.1139374090396401,3808204,-999.999945606661,-1169.7039814797488,-1.1697039814797487,169.7040358730879,stop_loss,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-07 14:00:00-05:00,2020-01-07 14:00:00-05:00,1.11464,1.1145021641047295,7255004,-999.99997153186,-1323.4486778748294,-1.3234486778748293,323.44870634296944,stop_loss,fast_indicator_combo,,vwap_rsi2
EURUSD,long,2020-01-07 16:10:00-05:00,2020-01-07 16:15:00-05:00,1.11447,1.1145409070441943,11282376,799.9999336477257,297.0291504202527,0.2970291504202527,502.970783227473,take_profit,fast_indicator_combo,,vwap_rsi2
