pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-02,1,0,1,0.0,-1.1531676531781718,-1153.1676531781718,-1.1531676531781718,0.0,0.0
EURUSD,2020-03,1,1,0,100.0,0.3513977762880843,351.3977762880843,0.3513977762880843,0.0,inf
EURUSD,2020-05,1,0,1,0.0,-1.0801906539690391,-1080.1906539690392,-1.0801906539690391,0.0,0.0
EURUSD,2020-07,1,0,1,0.0,-0.16923913614429667,-169.23913614429668,-0.16923913614429667,0.0,0.0
EURUSD,2020-08,1,0,1,0.0,-1.0999069202253804,-1099.9069202253804,-1.0999069202253804,0.0,0.0
EURUSD,2020-11,2,0,2,0.0,-0.05727677635972698,-57.27677635972698,-0.02863838817986349,0.05438354316489797,0.0
EURUSD,2020-12,4,2,2,50.0,-2.0921453992492607,-2092.1453992492607,-0.5230363498123152,2.228259212594232,0.06239057042259822
EURUSD,2021-05,2,0,2,0.0,-1.263989396795485,-1263.989396795485,-0.6319946983977425,0.099197360975512,0.0
EURUSD,2021-06,1,0,1,0.0,-1.0896604530591554,-1089.6604530591553,-1.0896604530591554,0.0,0.0
EURUSD,2021-07,1,1,0,100.0,0.7314629133829987,731.4629133829987,0.7314629133829987,0.0,inf
EURUSD,2021-09,1,0,1,0.0,-1.1093928052382647,-1109.3928052382646,-1.1093928052382647,0.0,0.0
EURUSD,2021-11,2,1,1,50.0,0.2573471594961503,257.3471594961503,0.12867357974807514,0.0,324.9045901019049
