pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-01,1,1,0,100.0,0.34860373349448426,348.60373349448423,0.34860373349448426,0.0,inf
EURUSD,2020-02,1,0,1,0.0,-1.1735874607250703,-1173.5874607250703,-1.1735874607250703,0.0,0.0
EURUSD,2020-03,1,1,0,100.0,0.39825090879804553,398.25090879804554,0.39825090879804553,0.0,inf
EURUSD,2020-04,2,1,1,50.0,-0.8546925202356787,-854.6925202356786,-0.4273462601178393,1.128745426552807,0.244887289580799
EURUSD,2020-05,3,1,2,33.33333333333333,-1.9857160104666105,-1985.716010466611,-0.6619053368222035,1.2249896688829558,0.17659884589897698
EURUSD,2020-07,2,0,2,0.0,-2.406037583180566,-2406.037583180566,-1.203018791590283,1.2524670530448438,0.0
EURUSD,2020-08,2,2,0,100.0,0.7780827552963947,778.0827552963947,0.38904137764819735,0.0,inf
EURUSD,2020-10,1,0,1,0.0,-1.3951611707200655,-1395.1611707200655,-1.3951611707200655,0.0,0.0
EURUSD,2020-11,4,3,1,75.0,1.1215943365578798,1121.5943365578798,0.28039858413946994,0.060912175979719166,19.19797928651655
EURUSD,2020-12,6,4,2,66.66666666666666,-0.7443995635441241,-744.399563544124,-0.12406659392402068,1.1814534067454485,0.37208804134688894
EURUSD,2021-01,2,1,1,50.0,-1.1219484587203796,-1121.9484587203797,-0.5609742293601898,1.301130499880122,0.13927517810012702
EURUSD,2021-02,1,0,1,0.0,-0.17190683680844945,-171.90683680844944,-0.17190683680844945,0.0,0.0
EURUSD,2021-04,1,1,0,100.0,0.01743933204994454,17.43933204994454,0.01743933204994454,0.0,inf
EURUSD,2021-05,1,0,1,0.0,-0.11111285782408499,-111.11285782408498,-0.11111285782408499,0.0,0.0
EURUSD,2021-06,3,0,3,0.0,-1.418555938610769,-1418.555938610769,-0.472851979536923,1.155222718701061,0.0
EURUSD,2021-07,1,0,1,0.0,-1.2263521075521973,-1226.3521075521974,-1.2263521075521973,0.0,0.0
EURUSD,2021-08,2,0,2,0.0,-1.4493453434952266,-1449.3453434952266,-0.7246726717476133,0.20549394123724898,0.0
EURUSD,2021-09,1,0,1,0.0,-1.1239759946868029,-1123.9759946868028,-1.1239759946868029,0.0,0.0
EURUSD,2021-10,2,2,0,100.0,0.6490744787908439,649.074478790844,0.32453723939542195,0.0,inf
EURUSD,2021-11,2,0,2,0.0,-1.2885151381722464,-1288.5151381722465,-0.6442575690861232,0.0009121960846978043,0.0
