pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-04,1,0,1,0.0,-1.131874100968577,-1131.874100968577,-1.131874100968577,0.0,0.0
EURUSD,2020-05,1,1,0,100.0,0.425886160087286,425.88616008728604,0.425886160087286,0.0,inf
EURUSD,2020-07,1,0,1,0.0,-1.1682018737170847,-1168.2018737170847,-1.1682018737170847,0.0,0.0
EURUSD,2020-10,1,0,1,0.0,-1.3951611707200655,-1395.1611707200655,-1.3951611707200655,0.0,0.0
EURUSD,2020-11,1,1,0,100.0,0.20312456622355438,203.12456622355438,0.20312456622355438,0.0,inf
EURUSD,2020-12,1,1,0,100.0,0.18607115787073777,186.07115787073778,0.18607115787073777,0.0,inf
EURUSD,2021-01,1,0,1,0.0,-1.3034926264167788,-1303.4926264167789,-1.3034926264167788,0.0,0.0
EURUSD,2021-04,1,1,0,100.0,0.01743933204994454,17.43933204994454,0.01743933204994454,0.0,inf
EURUSD,2021-06,2,0,2,0.0,-0.31694337941625955,-316.9433794162596,-0.15847168970812978,0.05066750447581109,0.0
EURUSD,2021-07,1,0,1,0.0,-1.2263521075521973,-1226.3521075521974,-1.2263521075521973,0.0,0.0
EURUSD,2021-08,2,0,2,0.0,-1.4493453434952266,-1449.3453434952266,-0.7246726717476133,0.20549394123724898,0.0
