pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-01,1,1,0,100.0,0.3268160483754738,326.81604837547377,0.3268160483754738,0.0,inf
EURUSD,2020-02,1,1,0,100.0,0.614346565526176,614.3465655261759,0.614346565526176,0.0,inf
EURUSD,2020-03,1,1,0,100.0,0.8527665615086718,852.7665615086718,0.8527665615086718,0.0,inf
EURUSD,2020-04,3,2,1,66.66666666666666,-0.7251151868845604,-725.1151868845603,-0.24170506229485347,1.1413192692568161,0.36733287187466
EURUSD,2020-05,1,1,0,100.0,0.5492712416491934,549.2712416491934,0.5492712416491934,0.0,inf
EURUSD,2020-06,1,0,1,0.0,-1.1561840944580593,-1156.1840944580592,-1.1561840944580593,0.0,0.0
EURUSD,2020-07,3,2,1,66.66666666666666,0.13961793920281673,139.61793920281661,0.04653931306760558,1.142863906188633,1.1206004146349162
EURUSD,2020-08,2,1,1,50.0,-0.9872976303723416,-987.2976303723416,-0.4936488151861708,1.0719483890860773,0.07975649591512748
EURUSD,2020-09,3,2,1,66.66666666666666,-0.7313678699925963,-731.3678699925963,-0.2437892899975321,1.0995213212905603,0.3372428245103654
EURUSD,2020-10,4,1,3,25.0,-2.3868735878912997,-2386.8735878912994,-0.5967183969728249,1.3876224394579828,0.09866713362326228
EURUSD,2020-11,2,2,0,100.0,0.253614861983365,253.61486198336502,0.1268074309916825,0.0,inf
EURUSD,2020-12,6,3,3,50.0,-1.1353036502323115,-1135.3036502323116,-0.18921727503871857,0.20722103177234727,0.19394690742396428
EURUSD,2021-01,3,1,2,33.33333333333333,-1.3592598713652528,-1359.2598713652528,-0.45308662378841763,0.15893020624443235,0.0569955792564202
EURUSD,2021-02,2,1,1,50.0,-0.6776944473432888,-677.6944473432887,-0.3388472236716444,0.0,0.5020814992154328
EURUSD,2021-03,2,0,2,0.0,-2.3798260249598586,-2379.8260249598584,-1.1899130124799293,1.2173181638336028,0.0
EURUSD,2021-04,2,1,1,50.0,-1.3133611624711816,-1313.3611624711816,-0.6566805812355908,0.0,0.012295439330728998
EURUSD,2021-05,1,0,1,0.0,-1.1955860874217987,-1195.5860874217988,-1.1955860874217987,0.0,0.0
EURUSD,2021-06,6,2,4,33.33333333333333,-2.549814333705885,-2549.8143337058855,-0.42496905561764753,2.816485663014985,0.13056378662319298
EURUSD,2021-07,1,0,1,0.0,-0.11393434820422488,-113.93434820422488,-0.11393434820422488,0.0,0.0
EURUSD,2021-08,3,1,2,33.33333333333333,-0.914167113673007,-914.167113673007,-0.30472237122433565,0.19163663314345208,0.35679099216725585
EURUSD,2021-09,1,1,0,100.0,0.6348426161001735,634.8426161001735,0.6348426161001735,0.0,inf
EURUSD,2021-10,1,1,0,100.0,0.14085834222679808,140.85834222679807,0.14085834222679808,0.0,inf
EURUSD,2021-11,3,1,2,33.33333333333333,-2.4082614317320212,-2408.261431732021,-0.8027538105773404,2.550188764584215,0.05702701747641815
EURUSD,2021-12,1,0,1,0.0,-1.1642127239381599,-1164.2127239381598,-1.1642127239381599,0.0,0.0
