pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-01-22 12:35:00,2020-01-22 12:35:00,short,1.1086500000000001,1.1085604594654825,1.1088827170215467,1.1085604594654825,1.0,0.19421150250046706,194.21150250046708,win,take_profit,2020-01-22
EURUSD,2020-01-29 15:20:00,2020-01-29 15:20:00,short,1.1012,1.1010595060202921,1.1014951164294748,1.1010595060202921,1.0,0.3268160483754738,326.81604837547377,win,take_profit,2020-01-29
EURUSD,2020-02-11 11:40:00,2020-02-11 11:45:00,short,1.09171,1.0914545099843962,1.0919938777951155,1.0914545099843962,1.0,0.7461897196308703,746.1897196308703,win,take_profit,2020-02-11
EURUSD,2020-02-11 12:30:00,2020-02-11 12:30:00,short,1.0917700000000001,1.0920383807255738,1.0920383807255738,1.091528457346984,1.0,-1.1627392748069276,-1162.7392748069276,loss,stop_loss,2020-02-11
EURUSD,2020-02-14 14:25:00,2020-02-14 14:30:00,short,1.08433,1.084193353922102,1.0844818289754423,1.084193353922102,1.0,0.614346565526176,614.3465655261759,win,take_profit,2020-02-14
EURUSD,2020-02-19 12:35:00,2020-02-19 12:50:00,long,1.07929,1.0795534357120904,1.0789903459497354,1.0795534357120904,1.0,0.7350436271965896,735.0436271965896,win,take_profit,2020-02-19
EURUSD,2020-03-10 11:50:00,2020-03-10 11:50:00,short,1.1373,1.1369675,1.1380687334275934,1.1369675,1.0,0.37336042432073957,373.3604243207396,win,take_profit,2020-03-10
EURUSD,2020-03-16 13:00:00,2020-03-16 13:00:00,long,1.1153,1.1161189692082416,1.1143900342130648,1.1161189692082416,1.0,0.8509556591463012,850.9556591463012,win,take_profit,2020-03-16
EURUSD,2020-03-16 13:30:00,2020-03-16 13:35:00,short,1.11469,1.1156235146869702,1.1156235146869702,1.1138498367817269,1.0,-1.0477827318403063,-1047.7827318403063,loss,stop_loss,2020-03-16
EURUSD,2020-03-16 14:05:00,2020-03-16 14:05:00,short,1.11585,1.1166843302154257,1.1166843302154257,1.1150991028061168,1.0,-1.0535166238224651,-1053.5166238224651,loss,stop_loss,2020-03-16
EURUSD,2020-03-23 16:40:00,2020-03-23 17:00:00,long,1.0732599999999999,1.0725060781807143,1.0725060781807143,1.0734755,1.0,-1.0569223931109415,-1056.9223931109416,loss,stop_loss,2020-03-23
EURUSD,2020-03-24 13:00:00,2020-03-24 13:00:00,long,1.0793,1.0794065,1.078303037424899,1.0794065,1.0,0.0635187606000294,63.518760600029395,win,take_profit,2020-03-24
EURUSD,2020-04-06 11:10:00,2020-04-06 11:15:00,long,1.07969,1.0803301649864316,1.0789787055706315,1.0803301649864316,1.0,0.8392647468855196,839.2647468855196,win,take_profit,2020-04-06
EURUSD,2020-04-06 12:35:00,2020-04-06 12:35:00,long,1.08049,1.0799411772353427,1.0799411772353427,1.0804960000000001,1.0,-1.078729143846476,-1078.7291438464758,loss,stop_loss,2020-04-06
EURUSD,2020-04-06 13:55:00,2020-04-06 13:55:00,long,1.07969,1.0798479215105639,1.0792484863527292,1.0798479215105639,1.0,0.2598576960837322,259.8576960837322,win,take_profit,2020-04-06
EURUSD,2020-04-08 11:50:00,2020-04-08 11:55:00,short,1.08708,1.0866251284590234,1.0876691673797307,1.0866251284590234,1.0,0.6982689861834258,698.2689861834258,win,take_profit,2020-04-08
EURUSD,2020-04-08 13:40:00,2020-04-08 13:40:00,long,1.08626,1.0863691037571608,1.0858526120809928,1.0863691037571608,1.0,0.16115144473805398,161.15144473805398,win,take_profit,2020-04-08
EURUSD,2020-04-20 12:05:00,2020-04-20 12:10:00,short,1.08722,1.0876320985880386,1.0876320985880386,1.0868491112707654,1.0,-1.105549722569737,-1105.549722569737,loss,stop_loss,2020-04-20
EURUSD,2020-04-20 12:35:00,2020-04-20 12:50:00,short,1.0874300000000001,1.0870532733762788,1.0878485851374682,1.0870532733762788,1.0,0.7961030932683776,796.1030932683776,win,take_profit,2020-04-20
EURUSD,2020-04-20 14:45:00,2020-04-20 14:45:00,long,1.0864099999999999,1.0861126476289056,1.0861126476289056,1.086625,1.0,-1.1461243277063466,-1146.1243277063465,loss,stop_loss,2020-04-20
EURUSD,2020-04-29 11:55:00,2020-04-29 12:10:00,long,1.08541,1.0855360198152795,1.0850012095398287,1.0855360198152795,1.0,0.20206169569993052,202.0616956999305,win,take_profit,2020-04-29
EURUSD,2020-04-29 13:15:00,2020-04-29 13:20:00,long,1.08557,1.0858814875864817,1.0852239026816868,1.0858814875864817,1.0,0.7745176714736156,774.5176714736156,win,take_profit,2020-04-29
EURUSD,2020-05-07 11:10:00,2020-05-07 11:30:00,long,1.07816,1.078683484508031,1.0775783505466323,1.078683484508031,1.0,0.8258367165223492,825.8367165223492,win,take_profit,2020-05-07
EURUSD,2020-05-15 16:20:00,2020-05-15 16:35:00,short,1.08131,1.0815294297880635,1.0815294297880635,1.0811125131907429,1.0,-1.197132604465882,-1197.1326044658822,loss,stop_loss,2020-05-15
EURUSD,2020-05-25 11:40:00,2020-05-25 11:45:00,short,1.08967,1.0895685,1.089914459274544,1.0895685,1.0,0.23691151475170433,236.91151475170432,win,take_profit,2020-05-25
