pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-01-22 12:35:00,2020-01-22 12:35:00,short,1.1086500000000001,1.1085604594654825,1.10891180664924,1.1085604594654825,1.0,0.17263242657982614,172.63242657982613,win,take_profit,2020-01-22
EURUSD,2020-02-11 12:30:00,2020-02-11 12:30:00,short,1.0917700000000001,1.0920719283162703,1.0920719283162703,1.0914982645153568,1.0,-1.1446594794453306,-1144.6594794453306,loss,stop_loss,2020-02-11
EURUSD,2020-03-10 11:50:00,2020-03-10 11:50:00,short,1.1373,1.1369675,1.1381648251060426,1.1369675,1.0,0.3318759008390296,331.8759008390296,win,take_profit,2020-03-10
EURUSD,2020-08-25 12:05:00,2020-08-25 12:20:00,long,1.18179,1.181171928649739,1.181171928649739,1.1821490911424417,1.0,-1.076462311575424,-1076.4623115754239,loss,stop_loss,2020-08-25
EURUSD,2020-08-25 12:55:00,2020-08-25 13:10:00,long,1.18133,1.1815646543357843,1.180815609928915,1.1815646543357843,1.0,0.36430786702977674,364.30786702977673,win,take_profit,2020-08-25
EURUSD,2020-08-26 12:00:00,2020-08-26 12:20:00,short,1.18142,1.1819209304073317,1.1819209304073317,1.1809691626334013,1.0,-1.0943578991855063,-1094.3578991855063,loss,stop_loss,2020-08-26
EURUSD,2020-08-27 13:20:00,2020-08-27 13:20:00,long,1.18089,1.1811776350850258,1.1800528272353774,1.1811776350850258,1.0,0.287149351686241,287.149351686241,win,take_profit,2020-08-27
EURUSD,2020-10-01 12:10:00,2020-10-01 12:25:00,short,1.174,1.174668137708885,1.174668137708885,1.1733986760620034,1.0,-1.0703045955892545,-1070.3045955892544,loss,stop_loss,2020-10-01
EURUSD,2020-10-02 12:20:00,2020-10-02 12:20:00,long,1.17105,1.1712861531751206,1.170494433429706,1.1712861531751206,1.0,0.34074479867070395,340.744798670704,win,take_profit,2020-10-02
EURUSD,2020-11-10 12:10:00,2020-11-10 12:10:00,long,1.1815,1.1815455,1.180855918196839,1.1815455,1.0,-0.002733983583393282,-2.7339835833932824,loss,take_profit,2020-11-10
