pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2022-01-04 14:20:00,2022-01-04 14:25:00,long,1.12851,1.128765609247921,1.128225989724532,1.128765609247921,1.0,0.7410426030632823,741.0426030632823,win,take_profit,2022-01-04
EURUSD,2022-01-06 11:30:00,2022-01-06 11:30:00,long,1.13016,1.1306792784296666,1.1295830239670372,1.1306792784296666,1.0,0.8216313159479048,821.6313159479048,win,take_profit,2022-01-06
EURUSD,2022-01-28 16:10:00,2022-01-28 16:35:00,short,1.11459,1.114831475604274,1.114831475604274,1.114526493005639,1.0,-1.1846498070356104,-1184.6498070356104,loss,stop_loss,2022-01-28
EURUSD,2022-02-01 13:40:00,2022-02-01 14:15:00,long,1.1248099999999999,1.1244793805233104,1.1244793805233104,1.1251075575290204,1.0,-1.1360650725331103,-1136.0650725331102,loss,stop_loss,2022-02-01
EURUSD,2022-02-04 13:25:00,2022-02-04 13:40:00,short,1.14562,1.1452595149264297,1.146020538970634,1.1452595149264297,1.0,0.7856098520983139,785.6098520983139,win,take_profit,2022-02-04
EURUSD,2022-02-07 11:35:00,2022-02-07 11:35:00,long,1.1440299999999999,1.144618375181375,1.143376249798472,1.144618375181375,1.0,0.8299838800175213,829.9838800175213,win,take_profit,2022-02-07
EURUSD,2022-02-07 13:35:00,2022-02-07 13:40:00,long,1.14202,1.1422930401341231,1.1417166220731965,1.1422930401341231,1.0,0.7494079296084921,749.4079296084922,win,take_profit,2022-02-07
EURUSD,2022-02-08 11:15:00,2022-02-08 11:25:00,short,1.14126,1.1417041677834545,1.1417041677834545,1.140860248994891,1.0,-1.1027971480436487,-1102.7971480436488,loss,stop_loss,2022-02-08
EURUSD,2022-02-08 14:30:00,2022-02-08 14:45:00,short,1.14187,1.1418546942101389,1.142154163570842,1.1418546942101389,1.0,-0.10687047595904468,-106.87047595904468,loss,take_profit,2022-02-08
EURUSD,2022-02-11 13:35:00,2022-02-11 13:35:00,short,1.1392900000000001,1.1389762423444638,1.1396386196172625,1.1389762423444638,1.0,0.7692976319277438,769.2976319277439,win,take_profit,2022-02-11
EURUSD,2022-02-16 11:10:00,2022-02-16 11:10:00,long,1.1365399999999999,1.1361267031586624,1.1361267031586624,1.136593,1.0,-1.1099772443938734,-1109.9772443938734,loss,stop_loss,2022-02-16
EURUSD,2022-02-17 11:25:00,2022-02-17 11:45:00,short,1.13638,1.1369436367932642,1.1369436367932642,1.135872726886062,1.0,-1.0806661417112067,-1080.6661417112066,loss,stop_loss,2022-02-17
EURUSD,2022-02-17 12:30:00,2022-02-17 12:30:00,long,1.13667,1.1362527608922095,1.1362527608922095,1.1367235,1.0,-1.1089504881452024,-1108.9504881452024,loss,stop_loss,2022-02-17
EURUSD,2022-02-17 13:25:00,2022-02-17 13:30:00,long,1.13611,1.1362843385302699,1.13579065418231,1.1362843385302699,1.0,0.4036082899444447,403.6082899444447,win,take_profit,2022-02-17
EURUSD,2022-03-07 13:50:00,2022-03-07 13:50:00,short,1.08847,1.0884440767980854,1.0891019408108287,1.0884440767980854,1.0,-0.02787455998485766,-27.87455998485766,loss,take_profit,2022-03-07
EURUSD,2022-03-21 13:10:00,2022-03-21 13:15:00,short,1.10396,1.1035340532345572,1.1044332741838254,1.1035340532345572,1.0,0.806713908877946,806.713908877946,win,take_profit,2022-03-21
EURUSD,2022-03-21 13:40:00,2022-03-21 13:45:00,long,1.10338,1.1028411891588066,1.1028411891588066,1.1038081204506087,1.0,-1.0818917098101875,-1081.8917098101874,loss,stop_loss,2022-03-21
EURUSD,2022-03-24 15:50:00,2022-03-24 15:50:00,short,1.10003,1.0999850275135663,1.100273955890886,1.0999850275135663,1.0,0.003985088127188618,3.985088127188618,win,take_profit,2022-03-24
EURUSD,2022-04-06 12:05:00,2022-04-06 12:05:00,short,1.09098,1.0914039573584668,1.0914039573584668,1.090868366566074,1.0,-1.1029526275560533,-1102.9526275560534,loss,stop_loss,2022-04-06
EURUSD,2022-04-06 14:40:00,2022-04-06 14:40:00,long,1.08955,1.0889014166226585,1.0889014166226585,1.0900395730283983,1.0,-1.067175114268662,-1067.1751142686621,loss,stop_loss,2022-04-06
EURUSD,2022-04-07 11:55:00,2022-04-07 11:55:00,long,1.09053,1.0899984050920764,1.0899984050920764,1.090595453856642,1.0,-1.0820368523213075,-1082.0368523213076,loss,stop_loss,2022-04-07
EURUSD,2022-04-08 15:20:00,2022-04-08 15:25:00,short,1.0878,1.087693780093193,1.0880925809214597,1.087693780093193,1.0,0.21433391912519842,214.3339191251984,win,take_profit,2022-04-08
EURUSD,2022-04-19 12:00:00,2022-04-19 12:00:00,long,1.07899,1.0790425044569838,1.0784982952146835,1.0790425044569838,1.0,0.019002873834157868,19.002873834157867,win,take_profit,2022-04-19
EURUSD,2022-04-29 12:25:00,2022-04-29 12:25:00,long,1.05392,1.0539426037726396,1.0533190020740675,1.0539426037726396,1.0,-0.03253501487978799,-32.535014879787994,loss,take_profit,2022-04-29
EURUSD,2022-05-02 12:55:00,2022-05-02 12:55:00,long,1.05207,1.051656046396189,1.051656046396189,1.05244255824343,1.0,-1.1016403657474927,-1101.6403657474928,loss,stop_loss,2022-05-02
EURUSD,2022-05-03 16:10:00,2022-05-03 16:10:00,short,1.05216,1.0525081893926724,1.0525081893926724,1.0518466295465947,1.0,-1.1208920765539883,-1120.8920765539883,loss,stop_loss,2022-05-03
EURUSD,2022-05-10 11:05:00,2022-05-10 11:05:00,long,1.05412,1.0534655896799594,1.0534655896799594,1.0546079071136665,1.0,-1.064411564911531,-1064.411564911531,loss,stop_loss,2022-05-10
EURUSD,2022-05-11 11:50:00,2022-05-11 11:55:00,short,1.05463,1.0539724171202143,1.0553606476442063,1.0539724171202143,1.0,0.8422808036331745,842.2808036331745,win,take_profit,2022-05-11
EURUSD,2022-07-21 11:25:00,2022-07-21 11:25:00,short,1.01943,1.0193904999999999,1.0205983327749633,1.0193904999999999,1.0,-0.0010925048470355279,-1.0925048470355279,loss,take_profit,2022-07-21
EURUSD,2022-07-21 12:05:00,2022-07-21 12:05:00,short,1.01998,1.0199270835618615,1.0209009368159354,1.0199270835618615,1.0,0.013158652219140627,13.158652219140627,win,take_profit,2022-07-21
EURUSD,2022-07-21 12:35:00,2022-07-21 12:40:00,long,1.0190299999999999,1.0182304493865773,1.0182304493865773,1.0193819653248442,1.0,-1.0509596656802818,-1050.9596656802817,loss,stop_loss,2022-07-21
EURUSD,2022-07-25 15:50:00,2022-07-25 15:50:00,short,1.02203,1.0222624443571366,1.0222624443571366,1.021852485837025,1.0,-1.175894972655791,-1175.894972655791,loss,stop_loss,2022-07-25
EURUSD,2022-08-08 15:15:00,2022-08-08 15:20:00,long,1.01912,1.0187997492373895,1.0187997492373895,1.0193847393921123,1.0,-1.1272702280766767,-1127.2702280766766,loss,stop_loss,2022-08-08
EURUSD,2022-08-08 16:05:00,2022-08-08 16:05:00,long,1.01923,1.019465748703769,1.0189680569958122,1.019465748703769,1.0,0.7443404330983117,744.3404330983117,win,take_profit,2022-08-08
EURUSD,2022-08-17 11:45:00,2022-08-17 12:35:00,short,1.01646,1.01632,1.0169884465506172,1.0159843981044445,1.0,0.18799318320725483,187.99318320725484,win,time_stop,2022-08-17
EURUSD,2022-08-30 14:05:00,2022-08-30 14:10:00,short,1.00169,1.0022109367872403,1.0022109367872403,1.0012211568914837,1.0,-1.076934119818124,-1076.934119818124,loss,stop_loss,2022-08-30
EURUSD,2022-08-30 14:45:00,2022-08-30 14:45:00,short,1.0023900000000001,1.0023080354913967,1.0028523703325274,1.0023080354913967,1.0,0.09055628112674362,90.55628112674361,win,take_profit,2022-08-30
EURUSD,2022-09-05 14:20:00,2022-09-05 14:25:00,short,0.99307,0.993248764036735,0.993248764036735,0.9929091123669385,1.0,-1.2222279361420219,-1222.227936142022,loss,stop_loss,2022-09-05
EURUSD,2022-09-08 12:10:00,2022-09-08 12:10:00,long,0.9958899999999999,0.9951382142016577,0.9951382142016577,0.996208164469685,1.0,-1.0529678689491266,-1052.9678689491266,loss,stop_loss,2022-09-08
EURUSD,2022-09-09 15:05:00,2022-09-09 15:05:00,long,1.0044,1.004493,1.004067813693868,1.004493,1.0,0.15901355172648352,159.0135517264835,win,take_profit,2022-09-09
EURUSD,2022-09-14 13:00:00,2022-09-14 13:00:00,short,1.0001200000000001,0.9999379600572998,1.0006109084024906,0.9999379600572998,1.0,0.28933854150028004,289.33854150028003,win,take_profit,2022-09-14
EURUSD,2022-09-15 11:25:00,2022-09-15 11:30:00,short,0.9997,0.9991842823134628,1.000273019651708,0.9991842823134628,1.0,0.8302329051548731,830.2329051548732,win,take_profit,2022-09-15
EURUSD,2022-09-27 11:40:00,2022-09-27 12:05:00,long,0.96216,0.9611833712085815,0.9611833712085815,0.9630389659122767,1.0,-1.0393868979587417,-1039.3868979587417,loss,stop_loss,2022-09-27
EURUSD,2022-09-30 13:25:00,2022-09-30 13:25:00,short,0.9786,0.9785639999999999,0.9792837918943531,0.9785639999999999,1.0,-0.004596836400024984,-4.5968364000249835,loss,take_profit,2022-09-30
EURUSD,2022-10-12 15:25:00,2022-10-12 15:45:00,long,0.9702799999999999,0.9706155767087152,0.9697781319846969,0.9706155767087152,1.0,0.5913082251172633,591.3082251172633,win,take_profit,2022-10-12
EURUSD,2022-10-14 11:25:00,2022-10-14 11:30:00,short,0.9744900000000001,0.9742875,0.9755077329174382,0.9742875,1.0,0.16067519998330354,160.67519998330354,win,take_profit,2022-10-14
EURUSD,2022-10-18 11:20:00,2022-10-18 11:25:00,short,0.98333,0.9826820871957606,0.9840499031158217,0.9826820871957606,1.0,0.8453807137485282,845.3807137485281,win,take_profit,2022-10-18
EURUSD,2022-10-18 15:05:00,2022-10-18 15:15:00,long,0.985,0.9845391700432891,0.9845391700432891,0.9851136905811585,1.0,-1.0854775053803738,-1085.4775053803737,loss,stop_loss,2022-10-18
EURUSD,2022-11-16 11:45:00,2022-11-16 11:50:00,short,1.03925,1.0399529072792189,1.0399529072792189,1.038617383448703,1.0,-1.059159534997554,-1059.159534997554,loss,stop_loss,2022-11-16
EURUSD,2022-11-24 11:45:00,2022-11-24 12:05:00,long,1.04082,1.0403484756512724,1.0403484756512724,1.0412443719138549,1.0,-1.0882739310381966,-1088.2739310381967,loss,stop_loss,2022-11-24
EURUSD,2022-12-12 13:00:00,2022-12-12 13:05:00,long,1.05351,1.053037999554384,1.053037999554384,1.053722,1.0,-1.0892603894382464,-1089.2603894382464,loss,stop_loss,2022-12-12
EURUSD,2022-12-20 16:00:00,2022-12-20 16:00:00,short,1.06177,1.0614712180255863,1.062101979971571,1.0614712180255863,1.0,0.7720859525878593,772.0859525878593,win,take_profit,2022-12-20
EURUSD,2022-12-23 16:25:00,2022-12-23 16:35:00,short,1.06154,1.0614473584497575,1.061762210487403,1.0614473584497575,1.0,0.22583000691795227,225.83000691795226,win,take_profit,2022-12-23
EURUSD,2022-12-27 16:05:00,2022-12-27 16:30:00,long,1.0641399999999999,1.0639025231620085,1.0639025231620085,1.0642179999999999,1.0,-1.1792207836702484,-1179.2207836702485,loss,stop_loss,2022-12-27
EURUSD,2023-01-04 11:10:00,2023-01-04 11:25:00,short,1.05986,1.0606990611912421,1.0606990611912421,1.0591048449278821,1.0,-1.050545825283878,-1050.545825283878,loss,stop_loss,2023-01-04
EURUSD,2023-01-10 11:10:00,2023-01-10 11:15:00,long,1.07354,1.0729044047447824,1.0729044047447824,1.0738714999999999,1.0,-1.0675410333494089,-1067.541033349409,loss,stop_loss,2023-01-10
EURUSD,2023-01-10 12:55:00,2023-01-10 13:20:00,short,1.07342,1.0730113800442953,1.0738740221730052,1.0730113800442953,1.0,0.8054479493452146,805.4479493452146,win,take_profit,2023-01-10
EURUSD,2023-01-10 15:30:00,2023-01-10 15:35:00,short,1.07395,1.0742196504127253,1.0742196504127253,1.0737073146285472,1.0,-1.1593298616319474,-1159.3298616319473,loss,stop_loss,2023-01-10
EURUSD,2023-01-11 14:00:00,2023-01-11 14:00:00,short,1.07485,1.0754064432298014,1.0754064432298014,1.0748175,1.0,-1.0772854299125363,-1077.2854299125363,loss,stop_loss,2023-01-11
EURUSD,2023-01-13 13:50:00,2023-01-13 13:55:00,long,1.08279,1.0831271920998844,1.0824153421112395,1.0831271920998844,1.0,0.7843787361267341,784.3787361267341,win,take_profit,2023-01-13
EURUSD,2023-01-13 16:10:00,2023-01-13 16:25:00,short,1.083,1.083232679869921,1.083232679869921,1.0827905881170712,1.0,-1.186198440951358,-1186.198440951358,loss,stop_loss,2023-01-13
EURUSD,2023-01-20 13:25:00,2023-01-20 13:30:00,short,1.08349,1.0839466521672165,1.0839466521672165,1.0831744019459462,1.0,-1.0949269714339427,-1094.9269714339428,loss,stop_loss,2023-01-20
EURUSD,2023-02-07 15:00:00,2023-02-07 15:00:00,short,1.07186,1.071849139660185,1.0725720967075696,1.071849139660185,1.0,-0.04495713573580511,-44.9571357358051,loss,take_profit,2023-02-07
EURUSD,2023-02-07 15:25:00,2023-02-07 15:25:00,long,1.07171,1.0717470218693035,1.0710657276974556,1.0717470218693035,1.0,-0.009075771723139354,-9.075771723139354,loss,take_profit,2023-02-07
EURUSD,2023-02-08 13:10:00,2023-02-08 13:20:00,long,1.07375,1.073342517410637,1.073342517410637,1.0741167343304265,1.0,-1.1053830140996759,-1105.3830140996758,loss,stop_loss,2023-02-08
EURUSD,2023-02-08 14:05:00,2023-02-08 14:05:00,long,1.07342,1.0730710678764155,1.0730710678764155,1.0735442046117487,1.0,-1.1230316619422889,-1123.0316619422888,loss,stop_loss,2023-02-08
EURUSD,2023-02-09 15:15:00,2023-02-09 15:30:00,long,1.07389,1.0735366236918396,1.0735366236918396,1.0739925,1.0,-1.1215374723199152,-1121.5374723199152,loss,stop_loss,2023-02-09
EURUSD,2023-02-14 16:35:00,2023-02-14 16:40:00,long,1.07381,1.0735688976320743,1.0735688976320743,1.074026992131133,1.0,-1.1781298162738965,-1178.1298162738965,loss,stop_loss,2023-02-14
EURUSD,2023-02-20 11:05:00,2023-02-20 11:10:00,short,1.06858,1.0683246112871576,1.0688637652364916,1.0683246112871576,1.0,0.7493890804275664,749.3890804275663,win,take_profit,2023-02-20
EURUSD,2023-02-20 11:55:00,2023-02-20 12:10:00,long,1.0688199999999999,1.0690408812066892,1.0685745764370118,1.0690408812066892,1.0,0.7257818683569879,725.7818683569878,win,take_profit,2023-02-20
EURUSD,2023-02-20 12:40:00,2023-02-20 13:00:00,long,1.0687499999999999,1.0685484185680885,1.0685484185680885,1.0689314232887202,1.0,-1.212053014810326,-1212.053014810326,loss,stop_loss,2023-02-20
EURUSD,2023-02-21 12:45:00,2023-02-21 12:50:00,long,1.06613,1.0656876075504946,1.0656876075504946,1.0663218076616443,1.0,-1.0963765643009884,-1096.3765643009883,loss,stop_loss,2023-02-21
EURUSD,2023-02-23 11:05:00,2023-02-23 11:10:00,long,1.05972,1.0591765039731935,1.0591765039731935,1.0600997172914661,1.0,-1.0779723423587633,-1077.9723423587632,loss,stop_loss,2023-02-23
EURUSD,2023-03-08 12:55:00,2023-03-08 13:05:00,short,1.0546,1.0541638282285242,1.0550846353016397,1.0541638282285242,1.0,0.8129751255753218,812.9751255753218,win,take_profit,2023-03-08
