pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-02,2,1,1,50.0,0.5284838034059729,528.4838034059728,0.26424190170298645,0.0,5.326950527061355
EURUSD,2022-07,1,0,1,0.0,-1.2010201720009563,-1201.0201720009563,-1.2010201720009563,0.0,0.0
EURUSD,2023-02,1,0,1,0.0,-1.1406107641189953,-1140.6107641189953,-1.1406107641189953,0.0,0.0
EURUSD,2023-04,1,1,0,100.0,0.5490057999071329,549.005799907133,0.5490057999071329,0.0,inf
EURUSD,2023-07,1,0,1,0.0,-1.2710536052669759,-1271.0536052669759,-1.2710536052669759,0.0,0.0
EURUSD,2023-08,1,0,1,0.0,-0.004429025217420843,-4.429025217420843,-0.004429025217420843,0.0,0.0
EURUSD,2023-11,1,1,0,100.0,0.2508762982116856,250.8762982116856,0.2508762982116856,0.0,inf
EURUSD,2024-04,1,1,0,100.0,0.5047111272928022,504.7111272928022,0.5047111272928022,0.0,inf
EURUSD,2024-06,1,1,0,100.0,0.5633252493585059,563.325249358506,0.5633252493585059,0.0,inf
EURUSD,2024-11,1,1,0,100.0,0.12079421213313736,120.79421213313736,0.12079421213313736,0.0,inf
EURUSD,2024-12,1,1,0,100.0,0.6564494820791364,656.4494820791365,0.6564494820791364,0.0,inf
EURUSD,2025-01,3,2,1,66.66666666666666,0.11252965064191589,112.52965064191585,0.0375098835473053,1.1389982830091339,1.0981971807180984
EURUSD,2025-04,1,1,0,100.0,0.10760314700250305,107.60314700250305,0.10760314700250305,0.0,inf
EURUSD,2025-05,1,1,0,100.0,0.47934995952642545,479.34995952642544,0.47934995952642545,0.0,inf
EURUSD,2025-07,2,1,1,50.0,-0.9197972859726828,-919.7972859726829,-0.4598986429863414,0.0,0.24502793667343722
EURUSD,2025-11,1,0,1,0.0,-1.3130055870611386,-1313.0055870611386,-1.3130055870611386,0.0,0.0
EURUSD,2025-12,2,1,1,50.0,0.05944543303824176,59.44543303824179,0.02972271651912088,0.20688870112318844,1.286565691104226
