pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-02,4,2,2,50.0,-1.0354522436011746,-1035.4522436011744,-0.25886306090029365,2.200858991792665,0.5328867373034418
EURUSD,2022-04,1,1,0,100.0,0.021717576770328192,21.717576770328193,0.021717576770328192,0.0,inf
EURUSD,2022-07,2,0,2,0.0,-2.1297412332171124,-2129.7412332171125,-1.0648706166085562,1.0829588156866543,0.0
EURUSD,2022-09,2,1,1,50.0,0.325419152416913,325.419152416913,0.1627095762084565,0.005236212589827644,62.94298286605353
EURUSD,2023-01,1,1,0,100.0,0.7168322862052053,716.8322862052054,0.7168322862052053,0.0,inf
EURUSD,2023-02,2,2,0,100.0,1.2287670088293923,1228.7670088293921,0.6143835044146961,0.0,inf
EURUSD,2023-05,1,0,1,0.0,-1.1631495002641923,-1163.1495002641923,-1.1631495002641923,0.0,0.0
EURUSD,2023-07,1,1,0,100.0,0.3678945600537166,367.89456005371665,0.3678945600537166,0.0,inf
EURUSD,2023-08,2,2,0,100.0,1.2021920114434081,1202.1920114434083,0.6010960057217041,0.0,inf
EURUSD,2023-09,2,1,1,50.0,-0.4318279400312012,-431.82794003120114,-0.2159139700156006,1.122669097643898,0.6180247969469442
EURUSD,2023-11,4,1,3,25.0,-2.4630093036882754,-2463.0093036882754,-0.6157523259220689,2.370839390864379,0.03171885933805789
EURUSD,2024-01,1,0,1,0.0,-1.1210160954864044,-1121.0160954864043,-1.1210160954864044,0.0,0.0
EURUSD,2024-02,1,0,1,0.0,-0.14197544673585502,-141.97544673585503,-0.14197544673585502,0.0,0.0
EURUSD,2024-03,1,0,1,0.0,-1.192394866307027,-1192.3948663070269,-1.192394866307027,0.0,0.0
EURUSD,2024-06,1,0,1,0.0,-1.2181646549439311,-1218.164654943931,-1.2181646549439311,0.0,0.0
EURUSD,2024-10,1,0,1,0.0,-1.185598398980773,-1185.598398980773,-1.185598398980773,0.0,0.0
EURUSD,2025-04,1,1,0,100.0,0.20352509930311505,203.52509930311504,0.20352509930311505,0.0,inf
EURUSD,2025-07,4,2,2,50.0,2.37545094096764,2375.45094096764,0.59386273524191,1.1510207996503499,2.0456095452660548
EURUSD,2025-09,1,1,0,100.0,0.07163900507615528,71.63900507615529,0.07163900507615528,0.0,inf
EURUSD,2025-10,1,0,1,0.0,-1.1737146471090096,-1173.7146471090095,-1.1737146471090096,0.0,0.0
EURUSD,2025-11,1,0,1,0.0,-1.2904302339312295,-1290.4302339312294,-1.2904302339312295,0.0,0.0
EURUSD,2025-12,1,0,1,0.0,-1.1794490373789355,-1179.4490373789354,-1.1794490373789355,0.0,0.0
