context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|early|balanced|deep|long,2,2,0,100.0,inf,1727.103017975271,1.1566293736743223
mon_tue|early|balanced|deep|long,2,2,0,100.0,inf,989.7482314528029,0.9590143649535925
wed_thu|core|balanced|deep|short,1,1,0,100.0,inf,189.31206439630893,0.5081626565082459
mon_tue|early|balanced|deep|short,3,2,1,66.66666666666666,1.3092804216396619,177.1313649109378,-0.014075211945795418
wed_thu|core|calm|deep|long,1,1,0,100.0,inf,126.69043455321622,0.36246212557488916
fri|core|balanced|deep|long,1,1,0,100.0,inf,105.07468996268801,0.3799350703391448
fri|core|balanced|deep|short,1,1,0,100.0,inf,4.714853962757019,0.01893795298211873
mon_tue|core|balanced|deep|long,2,1,1,50.0,0.883401074880833,-53.44566781959435,-0.40127466477898854
wed_thu|early|balanced|deep|short,2,1,1,50.0,0.773865061993032,-176.93493864730544,-0.06490321285846862
wed_thu|core|balanced|deep|long,3,2,1,66.66666666666666,0.6468596152375167,-222.00781841723966,-0.1474070415750082
wed_thu|late|balanced|deep|long,1,0,1,0.0,0.0,-301.18135562728884,-1.9171502985493882
mon_tue|late|balanced|deep|short,1,0,1,0.0,0.0,-502.351465891798,-1.4103925791067127
fri|early|balanced|deep|long,1,0,1,0.0,0.0,-890.4781170310047,-1.1734331442838652
