context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|early|balanced|deep|short,2,2,0,100.0,inf,818.931651097809,0.545115628506055
mon_tue|early|balanced|deep|long,5,4,1,80.0,1.5170309633156507,453.1752800481613,0.11855720292160661
wed_thu|core|balanced|deep|long,2,2,0,100.0,inf,450.7311266958094,0.5921897024455621
fri|core|calm|deep|short,1,1,0,100.0,inf,440.13930132677996,0.5839534953165211
wed_thu|core|calm|deep|long,1,1,0,100.0,inf,280.61922116001995,0.4551292618260837
mon_tue|core|balanced|mild|short,1,1,0,100.0,inf,280.18048359756244,0.45675069449471084
fri|early|balanced|deep|long,1,1,0,100.0,inf,253.19165519287037,0.3344953444579338
mon_tue|late|balanced|deep|long,1,1,0,100.0,inf,233.3265174546974,0.4280094696957344
fri|core|balanced|deep|long,1,1,0,100.0,inf,192.7342421529815,0.389425589715661
mon_tue|core|balanced|deep|long,3,2,1,66.66666666666666,0.5559340656777639,-317.20482309269244,-0.19138732139841738
wed_thu|late|calm|deep|short,1,0,1,0.0,0.0,-511.24865494414973,-1.4168184885515858
wed_thu|early|balanced|deep|long,5,2,3,40.0,0.7677639299312187,-609.2246953496241,-0.15627226752640883
mon_tue|core|balanced|deep|short,2,1,1,50.0,0.21915307792343688,-655.9156470561193,-0.4184261334299971
fri|core|balanced|deep|short,1,0,1,0.0,0.0,-697.3750719817365,-1.2745322500666336
wed_thu|late|balanced|deep|short,1,0,1,0.0,0.0,-799.5472439622811,-1.232836808137755
wed_thu|early|calm|deep|long,1,0,1,0.0,0.0,-843.5621501691928,-1.2197679770345529
mon_tue|late|balanced|deep|short,3,0,3,0.0,0.0,-1220.3062217237282,-0.9779670446624412
