context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
mon_tue|core|balanced|deep|long,2,2,0,100.0,inf,992.1586644417246,0.8747105927506447
fri|early|calm|deep|long,1,1,0,100.0,inf,526.1769638048943,0.9351535904186487
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,500.91493031222933,0.6835921734777014
fri|core|balanced|deep|long,1,1,0,100.0,inf,106.42732772914098,0.20827573306704852
wed_thu|early|balanced|deep|long,2,1,1,50.0,1.0440828825119954,11.095117199664202,0.02182363634713888
fri|early|balanced|deep|long,2,1,1,50.0,0.9248588064642372,-68.57608563384167,-0.04608684159891585
mon_tue|early|balanced|deep|short,4,3,1,75.0,0.9153708091655316,-71.87295175175598,0.04258034991206977
wed_thu|late|balanced|deep|long,2,1,1,50.0,0.7352662453646708,-146.50651730033854,-0.4154181137488371
mon_tue|core|calm|deep|long,1,0,1,0.0,0.0,-622.6176292111811,-1.3787615533391113
mon_tue|early|calm|deep|long,1,0,1,0.0,0.0,-886.9524814852716,-1.1998301984945066
fri|early|balanced|deep|short,2,0,2,0.0,0.0,-1529.0148418501624,-1.295273240632217
wed_thu|core|balanced|deep|short,2,0,2,0.0,0.0,-1661.8987923184573,-1.2669431332335646
