pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:30:00-05:00,109.7315,109.7386213128091,2000000,129.77335415224695,49.77335415224695,0.17997333913204286,80.0,take_profit,adaptive_session_reversion,fri|core|balanced|deep|long,0,0.0,0.0
USDJPY,short,2020-03-12 11:30:00-04:00,2020-03-12 11:35:00-04:00,105.1895,105.35986782882145,473000,-763.5107920161079,-782.430792016108,-1.0428943196403209,18.92,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|short,0,0.0,0.0
EURUSD,short,2020-03-25 14:35:00-04:00,2020-03-25 14:40:00-04:00,1.08706,1.0877749350833532,1086000,-776.4195005216799,-823.6569153116902,-1.1073046197923087,47.23741479001043,stop_loss,adaptive_session_reversion,wed_thu|late|calm|deep|short,0,0.0,0.0
USDJPY,long,2020-04-08 11:50:00-04:00,2020-04-08 12:10:00-04:00,108.7095,108.7379954395497,1756000,460.1660108082195,389.9260108082195,0.5281352314816613,70.24000000000001,take_profit,adaptive_session_reversion,wed_thu|early|balanced|deep|long,0,0.0,0.0
USDJPY,short,2020-04-22 12:20:00-04:00,2020-04-22 12:35:00-04:00,107.8485,107.81150000000001,1976000,678.1685960224107,599.1285960224108,0.9130878939233841,79.04,mean_reversion_exit,adaptive_session_reversion,wed_thu|early|balanced|deep|short,1,0.0,-1.0428943196403209
EURUSD,long,2020-04-28 12:35:00-04:00,2020-04-28 12:55:00-04:00,1.08334,1.0836675996855945,1459000,477.967941282349,414.7346595235233,0.5564369364302523,63.233281758825655,take_profit,adaptive_session_reversion,mon_tue|core|balanced|deep|long,0,0.0,0.0
USDJPY,long,2020-05-28 12:40:00-04:00,2020-05-28 12:45:00-04:00,107.66250000000001,107.6735,1996000,203.90612665649468,124.06612665649466,0.26125026015511943,79.84,mean_reversion_exit,adaptive_session_reversion,wed_thu|core|balanced|deep|long,0,0.0,0.0
GBPUSD,short,2020-06-15 14:50:00-04:00,2020-06-15 15:05:00-04:00,1.25841,1.259058979427077,1231000,-798.8936747317609,-860.8737610052556,-1.1483619570241521,61.980086273494635,stop_loss,adaptive_session_reversion,mon_tue|late|balanced|deep|short,0,0.0,0.0
GBPUSD,short,2020-06-23 11:30:00-04:00,2020-06-23 12:00:00-04:00,1.25195,1.2526946954620484,1054000,-784.90901699909,-837.7069271794301,-1.1278465645959972,52.79791018033998,stop_loss,adaptive_session_reversion,mon_tue|early|balanced|deep|short,0,0.0,0.0
USDJPY,long,2020-07-06 14:00:00-04:00,2020-07-06 14:10:00-04:00,107.4055,107.38531663377533,1965000,-369.2869878253502,-447.8869878253502,-1.4673802289754967,78.60000000000001,stop_loss,adaptive_session_reversion,mon_tue|core|balanced|deep|long,1,1.0,0.5564369364302523
