pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,1,0,1,-388.3267875466828,0.0
EURUSD,2020-03,1,0,1,-804.12776239158,0.0
EURUSD,2020-04,1,1,0,268.95164384625434,inf
EURUSD,2020-08,1,1,0,813.6734974342118,inf
EURUSD,2020-09,2,0,2,-874.3224033414037,0.0
EURUSD,2020-10,1,0,1,-499.92609789728743,0.0
EURUSD,2020-11,3,2,1,-578.701414755441,0.2361038826206929
EURUSD,2020-12,1,0,1,-292.90143675904403,0.0
GBPUSD,2020-01,1,1,0,703.5716368224045,inf
GBPUSD,2020-03,1,1,0,740.8226954826443,inf
GBPUSD,2020-04,3,2,1,384.19224721553303,1.4263807546237408
GBPUSD,2020-05,1,1,0,1227.1355871992994,inf
GBPUSD,2020-06,1,0,1,-854.983015165441,0.0
GBPUSD,2020-07,3,0,3,-2412.3844722899476,0.0
GBPUSD,2020-08,3,1,2,-872.1180447851016,0.4811066510788994
GBPUSD,2020-09,5,1,4,-1966.8194641142172,0.395185565409131
GBPUSD,2020-10,2,0,2,-1478.0368770689934,0.0
GBPUSD,2020-11,1,0,1,-770.6582825100693,0.0
USDJPY,2020-01,1,0,1,-273.81802834258446,0.0
USDJPY,2020-02,1,0,1,-552.7178597949329,0.0
USDJPY,2020-03,2,1,1,4.7621814672364735,1.0060828409995546
USDJPY,2020-04,4,2,2,383.0371402239747,1.4656434841082935
USDJPY,2020-05,3,2,1,295.89323895793643,1.3275044415956359
USDJPY,2020-06,2,1,1,-443.36318198407406,0.23855663515868344
USDJPY,2020-07,1,0,1,-249.1260353567813,0.0
USDJPY,2020-08,1,0,1,-788.6622197473587,0.0
USDJPY,2020-09,3,0,3,-761.8798820249244,0.0
USDJPY,2020-10,5,2,3,-1389.8889341202475,0.25790777666989795
USDJPY,2020-11,1,1,0,676.7702006638391,inf
USDJPY,2020-12,3,2,1,135.38334146212435,1.171461856146235
