pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,2,0,2,-733.0811747055142,0.0
EURUSD,2020-03,7,4,3,-157.18161408071705,0.9327794363659294
EURUSD,2020-04,5,4,1,1392.1726995003726,2.8040048932557915
EURUSD,2020-05,1,0,1,-807.1273688888515,0.0
EURUSD,2020-06,1,0,1,-753.8819947185688,0.0
EURUSD,2020-07,6,1,5,-3397.182284230733,0.018726485294150188
EURUSD,2020-08,1,1,0,604.6331229168363,inf
EURUSD,2020-09,6,3,3,-705.6951681018032,0.5767137250543446
EURUSD,2020-10,2,0,2,-843.7947402424022,0.0
EURUSD,2020-11,5,2,3,-683.907432933486,0.5162201974011122
EURUSD,2020-12,9,2,7,-2717.7301513163075,0.16572378557492806
GBPUSD,2020-01,3,1,2,-282.71247788916287,0.5786442379258856
GBPUSD,2020-02,1,0,1,-728.0709769019519,0.0
GBPUSD,2020-03,1,1,0,584.3059549698825,inf
GBPUSD,2020-04,6,3,3,-301.1390429944538,0.8693651551215329
GBPUSD,2020-05,3,2,1,1024.4358889143557,20.434516223723794
GBPUSD,2020-06,4,1,3,-2070.4273685830008,0.097003395148096
GBPUSD,2020-07,5,2,3,-1208.2549402677828,0.4203682870249103
GBPUSD,2020-08,5,0,5,-3494.41666516501,0.0
GBPUSD,2020-09,5,2,3,-613.030664250774,0.7126526955707432
GBPUSD,2020-10,8,2,6,-3362.6707243741803,0.13647807955682456
GBPUSD,2020-11,3,0,3,-1861.8347687560904,0.0
GBPUSD,2020-12,3,0,3,-1794.7276127502103,0.0
USDJPY,2020-01,5,0,5,-2717.487025008714,0.0
USDJPY,2020-02,3,1,2,-742.2708946407563,0.20537721055754848
USDJPY,2020-03,3,0,3,-2311.215290962155,0.0
USDJPY,2020-04,9,3,6,-2990.519026705446,0.2370041368334585
USDJPY,2020-05,6,4,2,1176.7186323400329,1.8961819891851142
USDJPY,2020-06,4,2,2,-715.5132961520908,0.37925672079769784
USDJPY,2020-07,2,1,1,-160.85513342028662,0.25717778069261454
USDJPY,2020-08,4,4,0,2172.596419970881,inf
USDJPY,2020-09,4,1,3,-248.00155454753246,0.6861994772445875
USDJPY,2020-10,7,2,5,-2710.7349649741345,0.08797575222659414
USDJPY,2020-11,3,1,2,-633.5104742634826,0.4247198278784926
USDJPY,2020-12,5,3,2,-268.4315905962629,0.680011239732675
