pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2020-01,2,0,2,-580.2294218771285,0.0
USDJPY,2020-02,1,1,0,10.058033349690646,inf
USDJPY,2020-04,1,0,1,-27.675589664115122,0.0
USDJPY,2020-05,1,0,1,-566.5336684661913,0.0
USDJPY,2020-08,2,0,2,-1468.7237647129216,0.0
USDJPY,2020-09,2,1,1,-451.91574870292254,0.11412655043488901
USDJPY,2020-10,5,0,5,-1310.9765857088735,0.0
USDJPY,2020-11,2,1,1,-345.5581234112889,0.07211085628059433
USDJPY,2020-12,2,1,1,-401.7311088642425,0.03679130899216502
USDJPY,2021-01,2,0,2,-717.7266718125279,0.0
USDJPY,2021-02,2,1,1,-185.7843826128841,0.3991328789345941
USDJPY,2021-03,2,1,1,-519.669071491602,0.030224210412863436
USDJPY,2021-04,6,1,5,-1839.6938634674052,0.0768298177065202
USDJPY,2021-05,2,2,0,113.49642606139987,inf
USDJPY,2021-06,6,2,4,-905.0184841277619,0.015699195185769708
USDJPY,2021-07,6,4,2,-781.5910534129107,0.22911159973100736
USDJPY,2021-08,5,1,4,-1118.2328197960858,0.036883257838572374
USDJPY,2021-09,4,2,2,-572.2551318444118,0.07246119124130085
USDJPY,2021-10,3,3,0,176.4200109436087,inf
USDJPY,2021-11,3,1,2,-539.839418367355,0.3082216793123042
USDJPY,2021-12,3,1,2,-712.5188226277068,0.08869966473401725
