pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022-01,1,0,1,-552.8031963269962,0.0
USDJPY,2022-02,1,1,0,168.37625392986462,inf
USDJPY,2022-03,5,4,1,476.5125623480924,1.715503797298337
USDJPY,2022-04,4,2,2,-613.2245804954941,0.46167134240632585
USDJPY,2022-05,1,0,1,-802.8386441654812,0.0
USDJPY,2022-06,2,1,1,239.00776350379215,4.028481544650179
USDJPY,2022-07,1,0,1,-613.1693190140616,0.0
USDJPY,2022-08,1,0,1,-583.6552261159778,0.0
USDJPY,2022-09,2,1,1,83.4263075073705,1.2860701651490636
USDJPY,2022-10,4,2,2,-898.9369776456613,0.17301141219900087
USDJPY,2022-11,2,1,1,-248.03839435636303,0.6618518544499526
USDJPY,2022-12,2,1,1,376.24589312168547,4.519847399928597
USDJPY,2023-01,2,1,1,-816.5692025080714,0.039596830715704925
USDJPY,2023-02,1,0,1,-698.6853185769571,0.0
USDJPY,2023-03,1,0,1,-815.7038025259651,0.0
USDJPY,2023-04,1,0,1,-678.1967138043236,0.0
USDJPY,2023-05,2,2,0,292.60923462359165,inf
USDJPY,2023-07,4,2,2,-70.66435311524435,0.9113503836674174
USDJPY,2023-08,1,0,1,-191.62679100658556,0.0
USDJPY,2023-10,6,4,2,-15.613044138605005,0.984554038032139
USDJPY,2023-11,1,0,1,-25.524016884665357,0.0
USDJPY,2024-01,2,1,1,133.24858100392962,2.0510046624242753
USDJPY,2024-03,2,0,2,-982.885175325983,0.0
USDJPY,2024-04,1,0,1,-357.1451697835657,0.0
USDJPY,2024-06,1,0,1,-363.9651943462664,0.0
USDJPY,2024-07,1,1,0,451.8835442719443,inf
USDJPY,2024-08,1,1,0,499.8111555107719,inf
USDJPY,2024-09,2,2,0,907.7979912704526,inf
USDJPY,2024-10,1,0,1,-784.2937817613752,0.0
USDJPY,2025-01,1,1,0,453.54233828866995,inf
USDJPY,2025-02,1,1,0,483.90431963931553,inf
USDJPY,2025-05,2,2,0,929.7844704035845,inf
USDJPY,2025-09,1,0,1,-654.4269608378028,0.0
USDJPY,2025-10,4,2,2,-260.84973033756205,0.651755320031801
USDJPY,2025-11,1,0,1,-485.03355079242067,0.0
USDJPY,2025-12,2,1,1,-612.9464179216083,0.20564985863130758
