pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,2,0,2,-697.5911842839539,0.0
EURUSD,2020-02,1,0,1,-253.93163289991963,0.0
EURUSD,2020-03,5,2,3,-1147.7519286213408,0.6488066881844147
EURUSD,2020-04,5,4,1,5681.624741282393,8.540180161808626
EURUSD,2020-05,1,0,1,-1100.8406865518546,0.0
EURUSD,2020-06,2,1,1,762.3856531263111,1.6830613833421757
EURUSD,2020-07,7,5,2,1260.681214505597,1.767151599254118
EURUSD,2020-08,1,1,0,80.85725060025189,inf
EURUSD,2020-09,4,1,3,-1117.9199450527444,0.48250506220207623
EURUSD,2020-10,2,0,2,-897.029389555481,0.0
EURUSD,2020-11,3,0,3,-1546.7133526494329,0.0
EURUSD,2020-12,7,0,7,-4091.09277907798,0.0
EURUSD,2021-01,1,0,1,-462.60686191862237,0.0
EURUSD,2021-02,4,1,3,-867.5460472910822,0.33066607932915054
EURUSD,2021-03,4,1,3,-1475.2233733044723,0.18168287759192603
EURUSD,2021-04,2,0,2,-1473.7492147080711,0.0
EURUSD,2021-05,3,0,3,-2148.048033942267,0.0
EURUSD,2021-06,1,0,1,-397.0626464585796,0.0
EURUSD,2021-07,4,0,4,-2415.2937857609936,0.0
EURUSD,2021-08,4,2,2,-124.74588985545262,0.8812623564317967
EURUSD,2021-09,4,2,2,1215.6073750746252,2.516445466510336
EURUSD,2021-10,5,2,3,-457.39463979468894,0.7408860541887679
EURUSD,2021-11,1,0,1,-425.9215619427471,0.0
EURUSD,2021-12,2,0,2,-1260.5627125582373,0.0
