pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2022-01,2,0,2,-1032.3822117154664,0.0
EURUSD,2022-02,4,1,3,-2720.595959163117,0.37981480284472535
EURUSD,2022-03,6,4,2,7485.0727919021,5.424198043019322
EURUSD,2022-04,4,2,2,1759.3998487441813,1.9755516146521577
EURUSD,2022-05,3,2,1,-194.60872793176134,0.8293999893955524
EURUSD,2022-06,4,1,3,-2225.7146257546688,0.19705710590643016
EURUSD,2022-07,4,2,2,3210.37785976541,2.890053594571255
EURUSD,2022-08,1,0,1,-729.426889860349,0.0
EURUSD,2022-09,2,1,1,1461.3515602363213,2.909558602678655
EURUSD,2022-10,2,1,1,3752.3289539471643,4.298770664142634
EURUSD,2022-11,4,1,3,-790.0064100845185,0.7209075478289658
EURUSD,2022-12,11,3,8,-3696.473945609769,0.4394980758275717
EURUSD,2023-01,7,2,5,540.7338028232756,1.122933607152282
EURUSD,2023-02,3,0,3,-1750.5272121370303,0.0
EURUSD,2023-03,3,0,3,-2993.4364399547103,0.0
EURUSD,2023-04,2,0,2,-832.2428619445457,0.0
EURUSD,2023-05,4,0,4,-2486.500490508755,0.0
EURUSD,2023-06,4,1,3,-2166.6008809639793,0.003996559034969118
EURUSD,2023-07,3,1,2,452.16113151241166,1.2775147322165883
EURUSD,2023-08,4,1,3,-1244.1244324318588,0.08693734278011614
EURUSD,2023-09,3,0,3,-1241.3133255101206,0.0
EURUSD,2023-11,3,1,2,-727.8990876757325,0.38307759891713805
EURUSD,2023-12,3,1,2,-1331.811237391541,0.21074100894425693
EURUSD,2024-01,3,0,3,-1288.0584628144827,0.0
EURUSD,2024-02,4,0,4,-1531.2160743190336,0.0
EURUSD,2024-03,2,1,1,52.52571604947201,1.1994013318096277
EURUSD,2024-04,4,1,3,-981.1865113055578,0.31302345883736565
EURUSD,2024-05,6,3,3,62.106403890841534,1.0752345481277035
EURUSD,2024-06,2,1,1,1169.2255162872232,4.664620418317872
EURUSD,2024-07,5,2,3,-448.3674959186719,0.6611434371037779
EURUSD,2024-08,2,2,0,609.3994430641668,inf
EURUSD,2024-09,4,2,2,-913.7269015560182,0.4253340751428667
EURUSD,2024-10,1,0,1,-411.851905382748,0.0
EURUSD,2024-11,5,1,4,-1760.8414075791761,0.28955864392261943
EURUSD,2024-12,6,2,4,-2279.9541926630427,0.14829884771897572
EURUSD,2025-01,4,1,3,-2670.287580267307,0.03691771998223493
EURUSD,2025-02,3,2,1,461.87139273286016,1.9626818107387944
EURUSD,2025-03,2,0,2,-1029.232669815352,0.0
EURUSD,2025-04,8,0,8,-6719.8010980872905,0.0
EURUSD,2025-05,5,0,5,-4661.162358327319,0.0
EURUSD,2025-06,8,3,5,778.3548727386618,1.2930311909360084
EURUSD,2025-07,3,2,1,717.5203763827928,2.2985601342515807
EURUSD,2025-08,3,0,3,-1344.0248831871777,0.0
EURUSD,2025-09,3,1,2,-459.0449776789398,0.3588229592098041
EURUSD,2025-10,5,1,4,-1313.2259000928939,0.21981831422423673
EURUSD,2025-11,4,0,4,-1649.2105710988385,0.0
EURUSD,2025-12,12,2,10,-3008.5308347315276,0.1902044077316882
