timestamp,currency,importance,event,country,source,hard_event,event_tier
2020-01-02 09:45:00-05:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-01-02 15:30:00-05:00,USD,1,FOMC Member Brainard Speaks,,csv,True,hard
2020-01-03 03:30:00-05:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-01-03 10:00:00-05:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2020-01-03 14:00:00-05:00,USD,3,FOMC Meeting Minutes,,csv,True,hard
2020-01-03 15:30:00-05:00,USD,2,FOMC Member Kaplan Speaks,,csv,True,hard
2020-01-04 15:30:00-05:00,USD,2,FOMC Member Williams Speaks,,csv,True,hard
2020-01-06 09:45:00-05:00,USD,1,Final Services PMI,,csv,True,hard
2020-01-06 15:30:00-05:00,USD,3,ISM Services PMI,,csv,True,hard
2020-01-07 02:30:00-05:00,CHF,2,CPI m/m,,csv,True,hard
2020-01-08 08:15:00-05:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-01-08 10:00:00-05:00,USD,1,FOMC Member Brainard Speaks,,csv,True,hard
2020-01-08 11:26:00-05:00,USD,3,President Trump Speaks,,csv,False,standard
2020-01-09 02:30:00-05:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-01-09 08:00:00-05:00,USD,2,FOMC Member Clarida Speaks,,csv,True,hard
2020-01-09 09:30:00-05:00,USD,2,FOMC Member Kashkari Speaks,,csv,True,hard
2020-01-09 11:30:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-01-09 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-01-09 15:30:00-05:00,USD,3,Unemployment Rate,,csv,True,hard
2020-01-09 15:30:00-05:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-01-10 01:45:00-05:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-01-13 15:30:00-05:00,USD,3,CPI m/m,,csv,True,hard
2020-01-13 15:30:00-05:00,USD,3,CPI y/y,,csv,True,hard
2020-01-14 08:30:00-05:00,USD,3,Core CPI m/m,,csv,True,hard
2020-01-14 09:00:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-01-15 11:00:00-05:00,USD,2,FOMC Member Harker Speaks,,csv,True,hard
2020-01-15 12:00:00-05:00,USD,2,FOMC Member Kaplan Speaks,,csv,True,hard
2020-01-15 15:30:00-05:00,USD,3,Retail Sales m/m,,csv,True,hard
2020-01-15 15:30:00-05:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-01-16 10:00:00-05:00,USD,2,FOMC Member Bowman Speaks,,csv,True,hard
2020-01-17 09:00:00-05:00,USD,2,FOMC Member Harker Speaks,,csv,True,hard
2020-01-17 12:45:00-05:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-01-23 11:00:00-05:00,USD,3,Crude Oil Inventories,,csv,False,standard
2020-01-23 15:30:00-05:00,USD,3,Treasury Sec Mnuchin Speaks,,csv,False,standard
2020-01-23 15:30:00-05:00,USD,1,Flash Services PMI,,csv,True,hard
2020-01-24 09:45:00-05:00,USD,2,Flash Manufacturing PMI,,csv,True,hard
2020-01-27 09:30:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-01-28 09:30:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-01-28 10:00:00-05:00,USD,3,CB Consumer Confidence,,csv,False,standard
2020-01-28 15:30:00-05:00,USD,3,FOMC Statement,,csv,True,hard
2020-01-29 14:00:00-05:00,USD,3,Federal Funds Rate,,csv,True,hard
2020-01-29 14:30:00-05:00,USD,3,FOMC Press Conference,,csv,True,hard
2020-01-29 15:30:00-05:00,USD,2,Advance GDP Price Index q/q,,csv,True,hard
2020-01-30 08:30:00-05:00,USD,3,Advance GDP q/q,,csv,True,hard
2020-01-31 02:30:00-05:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-01-31 09:45:00-05:00,USD,2,Chicago PMI,,csv,True,hard
2020-02-03 03:30:00-05:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-02-03 09:45:00-05:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-02-03 10:00:00-05:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2020-02-04 21:00:00-05:00,USD,3,President Trump Speaks,,csv,False,standard
2020-02-05 08:15:00-05:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2020-02-05 09:45:00-05:00,USD,1,Final Services PMI,,csv,True,hard
2020-02-05 10:00:00-05:00,USD,3,ISM Services PMI,,csv,True,hard
2020-02-05 16:10:00-05:00,USD,1,FOMC Member Brainard Speaks,,csv,True,hard
2020-02-06 09:15:00-05:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-02-06 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2020-02-06 15:30:00-05:00,USD,3,Unemployment Rate,,csv,True,hard
2020-02-06 15:30:00-05:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2020-02-06 19:15:00-05:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-02-07 11:00:00-05:00,USD,1,Fed Monetary Policy Report,,csv,True,hard
2020-02-10 01:45:00-05:00,CHF,1,Unemployment Rate,,csv,True,hard
2020-02-10 02:30:00-05:00,CHF,1,CPI m/m,,csv,True,hard
2020-02-10 08:15:00-05:00,USD,2,FOMC Member Bowman Speaks,,csv,True,hard
2020-02-10 15:15:00-05:00,USD,1,FOMC Member Harker Speaks,,csv,True,hard
2020-02-11 10:00:00-05:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-02-11 12:15:00-05:00,USD,1,FOMC Member Quarles Speaks,,csv,True,hard
2020-02-11 14:15:00-05:00,USD,2,FOMC Member Kashkari Speaks,,csv,True,hard
2020-02-11 15:30:00-05:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-02-12 08:30:00-05:00,USD,1,FOMC Member Harker Speaks,,csv,True,hard
2020-02-12 15:30:00-05:00,USD,3,CPI y/y,,csv,True,hard
2020-02-12 15:30:00-05:00,USD,3,CPI m/m,,csv,True,hard
2020-02-13 08:30:00-05:00,USD,3,Core CPI m/m,,csv,True,hard
2020-02-13 15:30:00-05:00,USD,3,Retail Sales m/m,,csv,True,hard
2020-02-13 17:30:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-02-14 08:30:00-05:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-02-14 11:45:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-02-18 14:00:00-05:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-02-18 15:30:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-02-19 11:45:00-05:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-02-19 13:30:00-05:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-02-19 14:00:00-05:00,USD,3,FOMC Meeting Minutes,,csv,True,hard
2020-02-20 15:30:00-05:00,USD,1,Flash Services PMI,,csv,True,hard
2020-02-20 15:30:00-05:00,USD,1,FOMC Member Clarida Speaks,,csv,True,hard
2020-02-21 09:35:00-05:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-02-21 09:45:00-05:00,USD,3,Flash Manufacturing PMI,,csv,True,hard
2020-02-21 10:15:00-05:00,USD,1,FOMC Member Brainard Speaks,,csv,True,hard
2020-02-24 15:00:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-02-25 09:45:00-05:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-02-25 10:00:00-05:00,USD,3,CB Consumer Confidence,,csv,False,standard
2020-02-25 15:00:00-05:00,USD,1,FOMC Member Clarida Speaks,,csv,True,hard
2020-02-26 09:45:00-05:00,USD,1,FOMC Member Kaplan Speaks,,csv,True,hard
2020-02-26 13:00:00-05:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-02-26 15:30:00-05:00,USD,2,Prelim GDP q/q,,csv,True,hard
2020-02-26 15:30:00-05:00,USD,1,Prelim GDP Price Index q/q,,csv,True,hard
2020-02-27 15:30:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-02-27 19:00:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2020-02-28 02:30:00-05:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-02-28 09:45:00-05:00,USD,2,Chicago PMI,,csv,True,hard
