pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2022-01,2,0,2,-1444.1517901559014,0.0
USDJPY,2022-02,1,0,1,-490.5600920066431,0.0
USDJPY,2022-04,2,1,1,2828.04424933976,5.486757244412847
USDJPY,2022-05,4,2,2,-669.9145053520928,0.6113025805319842
USDJPY,2022-06,2,0,2,-844.4737002074386,0.0
USDJPY,2022-07,3,1,2,-1197.119605113805,0.342435110380494
USDJPY,2022-08,1,0,1,-926.951272615778,0.0
USDJPY,2022-09,2,0,2,-1697.4740240024455,0.0
USDJPY,2022-10,2,2,0,3100.473293800638,inf
USDJPY,2022-11,3,1,2,-957.1696756910018,0.3279632081956245
USDJPY,2022-12,1,0,1,-1009.4479180832565,0.0
USDJPY,2023-01,2,0,2,-1507.9964811626373,0.0
USDJPY,2023-02,1,0,1,-1122.7232880376841,0.0
USDJPY,2023-03,3,0,3,-1903.505970762336,0.0
USDJPY,2023-04,3,2,1,2521.485373479334,5.406491998373991
USDJPY,2023-05,2,1,1,685.3855770108642,2.1714912309405023
USDJPY,2023-06,3,2,1,-40.29755825450334,0.904930081004459
USDJPY,2023-07,4,1,3,919.0244419091109,1.4709324375475
USDJPY,2023-08,3,3,0,4991.933677423154,inf
USDJPY,2023-09,6,1,5,-2682.6728215594394,0.002701905734351504
USDJPY,2023-10,3,1,2,-713.9860863743102,0.19853482129059663
USDJPY,2023-11,1,0,1,-389.4881870686042,0.0
USDJPY,2023-12,4,1,3,-1156.1739196119224,0.5260739900675353
USDJPY,2024-01,2,1,1,-223.52056132671396,0.7283965698262964
USDJPY,2024-02,4,2,2,644.2269672268558,1.7645814690477706
USDJPY,2024-03,5,1,4,-2293.1952499048384,0.0012355374491571122
USDJPY,2024-04,1,0,1,-327.7193643478897,0.0
USDJPY,2024-05,5,0,5,-2083.471099480766,0.0
USDJPY,2024-06,3,1,2,-1030.7479649046097,0.061919188816187805
USDJPY,2024-07,2,1,1,-68.1519898956007,0.7890678474641544
USDJPY,2024-08,2,1,1,1037.271652758875,2.2950518656775056
USDJPY,2024-09,5,2,3,100.12090663332606,1.0316530344444232
USDJPY,2024-10,2,1,1,721.4806063026019,3.0071572081050615
USDJPY,2024-11,1,1,0,1828.4978198880124,inf
USDJPY,2024-12,4,1,3,-1310.7861008019038,0.19646354061680804
USDJPY,2025-01,4,1,3,-3037.701162404299,0.028056925517938702
USDJPY,2025-02,2,1,1,698.5030150304779,2.495577973541249
USDJPY,2025-03,2,1,1,440.80601972126533,1.419638679667716
USDJPY,2025-04,3,0,3,-2622.566339844389,0.0
USDJPY,2025-06,3,3,0,3196.0227477324615,inf
USDJPY,2025-07,5,1,4,-1274.6813465263972,0.4602793499725674
USDJPY,2025-08,2,1,1,-364.18193420680547,0.48990432442886006
USDJPY,2025-09,5,2,3,-569.4720160922147,0.5507512906799963
USDJPY,2025-10,5,3,2,-380.6313762221299,0.7859520207527306
USDJPY,2025-11,6,3,3,359.60021489852,1.2918291483185196
