pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022-01,13,4,9,-5321.183181222099,0.28460455353698083
USDCAD,2022-02,6,1,5,-3767.9144281552935,0.0618408574141714
USDCAD,2022-03,5,2,3,-1361.6865315477735,0.46765009644140954
USDCAD,2022-04,14,3,11,-7303.267506019199,0.0647670524452129
USDCAD,2022-05,11,4,7,-3737.8285180265902,0.23794027204827836
USDCAD,2022-06,12,4,8,-4528.37091352013,0.2515673468927635
USDCAD,2022-07,15,9,6,-446.65351665144186,0.8798592318376233
USDCAD,2022-08,10,5,5,-1222.089958482062,0.5412138169761995
USDCAD,2022-09,11,5,6,-2828.7763772660282,0.4067829386800912
USDCAD,2022-10,7,2,5,-3244.7838058545462,0.24358872742886628
USDCAD,2022-11,4,3,1,-471.30610769203975,0.5335385220089434
USDCAD,2022-12,12,6,6,-979.9807205408947,0.6697273504038761
USDCAD,2023-01,7,4,3,-1495.1166760695048,0.3775323760726363
USDCAD,2023-02,11,4,7,-1750.241622710529,0.3381794017946782
USDCAD,2023-03,8,2,6,-2117.421219359413,0.31207820302206213
USDCAD,2023-04,10,5,5,-899.4115624044258,0.5034642438609854
USDCAD,2023-05,8,4,4,-664.1999549338532,0.48015165663860404
USDCAD,2023-06,13,4,9,-2673.595169056912,0.22128827751975744
USDCAD,2023-07,9,1,8,-2727.5534429611866,0.08483049802414636
USDCAD,2023-08,11,6,5,-839.1578311955839,0.49178250293428644
USDCAD,2023-09,9,5,4,-524.0753108705003,0.5798449313194224
USDCAD,2023-10,11,6,5,-698.8035778658559,0.645405746576037
USDCAD,2023-11,7,5,2,221.91986870237395,1.319697879778747
USDCAD,2023-12,12,7,5,-749.9223884006643,0.5811251314296462
USDCAD,2024-01,8,2,6,-1011.6124818072165,0.3569057069228246
USDCAD,2024-02,4,1,3,-886.6716501845721,0.08051900013476805
USDCAD,2024-03,6,3,3,-557.2644049169892,0.3389389274169948
USDCAD,2024-04,8,4,4,-880.6618719069783,0.38728604657650817
USDCAD,2024-05,12,3,9,-2552.588823760419,0.06599032909451004
USDCAD,2024-06,7,3,4,-947.1434323901019,0.15214957049187633
USDCAD,2024-07,13,4,9,-1589.7249091027832,0.172709516975186
USDCAD,2024-08,10,4,6,-1217.2635059595584,0.1823547090312654
USDCAD,2024-09,4,1,3,-665.4540535135307,0.0452435567255312
USDCAD,2024-10,12,6,6,-584.4717002909033,0.35155818520851073
USDCAD,2024-11,8,4,4,-686.5511197655825,0.3776046488260245
USDCAD,2024-12,14,6,8,-1130.0267657392187,0.377234776324837
USDCAD,2025-01,10,5,5,-1113.5179749980966,0.310351701034053
USDCAD,2025-02,7,4,3,-412.0250485332605,0.6748411260976594
USDCAD,2025-03,9,3,6,-862.3896283004885,0.4046418105239606
USDCAD,2025-04,15,7,8,-1354.9116390395536,0.5462737169158774
USDCAD,2025-05,13,3,10,-1867.3409466210762,0.08393712911856106
USDCAD,2025-06,16,4,12,-2103.6218991183136,0.1323549466560155
USDCAD,2025-07,14,8,6,-411.26815606383684,0.5816017839961347
USDCAD,2025-08,13,4,9,-1573.1622210529422,0.0979400420576699
USDCAD,2025-09,11,7,4,-140.04113106535573,0.7282752501960912
USDCAD,2025-10,12,5,7,-845.7681440750489,0.217154613509186
USDCAD,2025-11,15,6,9,-906.1165376973776,0.2664098367390047
USDCAD,2025-12,14,4,10,-1153.9861001917893,0.1634280628817881
