pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCHF,2022-01,14,5,9,-5013.595872293417,0.20244738382135363
USDCHF,2022-02,12,5,7,-4823.50958462721,0.24064734079915268
USDCHF,2022-03,12,3,9,-5538.693551147901,0.15252020826268445
USDCHF,2022-04,11,7,4,-899.9513236195417,0.6977378595455901
USDCHF,2022-05,12,8,4,-1.0363718581226067,0.9996803848227681
USDCHF,2022-06,10,7,3,2755.5647621316857,2.427286225502408
USDCHF,2022-07,12,6,6,-2874.073884541706,0.45140752022390385
USDCHF,2022-08,9,6,3,947.5486741603938,1.5744699033753369
USDCHF,2022-09,10,4,6,-2674.075497993099,0.4256535891746874
USDCHF,2022-10,9,3,6,-2946.2052213740344,0.37671872269104534
USDCHF,2022-11,6,2,4,-3108.205655942621,0.2248992901918877
USDCHF,2022-12,11,6,5,-2095.4654204829467,0.5227859845460692
USDCHF,2023-01,7,3,4,-3101.063591644039,0.1415047082194773
USDCHF,2023-02,12,3,9,-5225.832430165524,0.07751564879056708
USDCHF,2023-03,11,5,6,-1714.8710618384403,0.5487954297723686
USDCHF,2023-04,6,3,3,-992.6717544508012,0.4711905412022024
USDCHF,2023-05,15,4,11,-3482.7757352157064,0.289956603526407
USDCHF,2023-06,9,2,7,-2715.503767576588,0.1810201957803911
USDCHF,2023-07,6,3,3,-916.2233874787839,0.38785415853175914
USDCHF,2023-08,11,3,8,-2684.190487503497,0.13536935520410104
USDCHF,2023-09,10,3,7,-2026.0472945257175,0.2666618635922925
USDCHF,2023-10,10,5,5,-1301.200067273911,0.437943624230201
USDCHF,2023-11,10,3,7,-2559.3999216222537,0.124948541151571
USDCHF,2023-12,9,5,4,-542.1825119499694,0.6570802960444917
USDCHF,2024-01,9,3,6,-1425.1710137426683,0.3876726584807581
USDCHF,2024-02,11,3,8,-1599.4030974603997,0.1329339874040814
USDCHF,2024-03,17,5,12,-2884.445809088231,0.21469445754169936
USDCHF,2024-04,5,2,3,-531.3147882333167,0.4084394806347226
USDCHF,2024-05,7,2,5,-1417.1591005176892,0.04156021791020319
USDCHF,2024-06,7,3,4,-130.8156074666913,0.695777983158311
USDCHF,2024-07,11,2,9,-1687.6892241452226,0.03718531820380599
USDCHF,2024-08,11,5,6,-1175.4850157196163,0.4672650034357386
USDCHF,2024-09,10,5,5,-607.8139604672306,0.6350611640333711
USDCHF,2024-10,9,3,6,-918.456551034155,0.30606019831807574
USDCHF,2024-11,9,5,4,-237.12934691545846,0.7650804015112607
USDCHF,2024-12,12,3,9,-1857.7422404117178,0.1631910159874929
USDCHF,2025-01,11,5,6,-1246.1233833441627,0.25581774483540276
USDCHF,2025-02,8,4,4,-287.2450610939965,0.5014995105818304
USDCHF,2025-03,5,3,2,-49.54199348640134,0.8771415701538192
USDCHF,2025-04,8,6,2,1113.4702053784636,2.12433758951604
USDCHF,2025-05,13,4,9,-2025.6749488238145,0.1943109868387103
USDCHF,2025-06,11,8,3,585.8372992850934,2.08102901056268
USDCHF,2025-07,12,8,4,-115.6550323258212,0.9138346199107623
USDCHF,2025-08,8,1,7,-1903.6207198639502,0.0566993116893948
USDCHF,2025-09,13,2,11,-2299.89066509979,0.04134079408066341
USDCHF,2025-10,13,4,9,-1602.8609377179325,0.1492449207116868
USDCHF,2025-11,13,1,12,-2058.8147677002835,0.014015631989682592
USDCHF,2025-12,11,4,7,-872.7914826653789,0.20769810407381908
