context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|core|balanced|deep|short,2,2,0,100.0,inf,766.300216327649,0.6201534065723332
mon_tue|core|balanced|deep|short,2,2,0,100.0,inf,517.5982341858361,0.3504473429077568
mon_tue|core|balanced|mild|long,1,1,0,100.0,inf,304.3624383773971,0.41429029815660895
fri|core|balanced|deep|long,1,1,0,100.0,inf,276.4714926380854,0.37450616691868893
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,258.55778717471077,0.3469619432787223
wed_thu|late|balanced|deep|short,1,1,0,100.0,inf,250.99260746052988,0.3389401034018584
wed_thu|late|balanced|mild|short,1,1,0,100.0,inf,80.28999685255988,0.19449568914875023
fri|late|balanced|mild|long,1,1,0,100.0,inf,66.06652466512023,0.37530096046135464
mon_tue|late|balanced|deep|short,1,1,0,100.0,inf,64.32541880629438,0.1705867111849234
mon_tue|late|balanced|mild|short,1,1,0,100.0,inf,39.464440847150485,0.12217891716217656
fri|late|balanced|mild|short,1,0,1,0.0,0.0,-3.5047238140850823,-0.004731349388486604
wed_thu|early|balanced|deep|long,3,2,1,66.66666666666666,0.7681903661244361,-179.23114273288115,-0.1298617242076998
mon_tue|early|balanced|deep|long,3,2,1,66.66666666666666,0.582058966161621,-341.10851641977854,-0.14382847759362352
fri|late|balanced|deep|long,1,0,1,0.0,0.0,-476.01984001481105,-1.3547776887138292
fri|early|balanced|deep|long,2,1,1,50.0,0.30219010252867845,-620.6971309222379,-0.4084879846273833
mon_tue|late|balanced|deep|long,1,0,1,0.0,0.0,-738.0396484583409,-1.2024590642429263
mon_tue|early|balanced|deep|short,1,0,1,0.0,0.0,-824.1689313106215,-1.1042316297449755
wed_thu|early|balanced|deep|short,2,0,2,0.0,0.0,-1035.5942190211558,-0.6964237589956611
mon_tue|core|balanced|deep|long,2,0,2,0.0,0.0,-1533.6754584534488,-1.1798900795803897
