h1_ema_fast,h1_ema_slow,asr_h1_adx_max,asr_h1_distance_atr_max,m15_ema_period,asr_m15_extension_atr,asr_m15_rsi_long,asr_m15_rsi_short,asr_m5_reclaim_rsi_long,asr_m5_reclaim_rsi_short,stop_atr_multiple,asr_take_profit_rr_cap,asr_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.7,4,-36.00064106467047,-31.695698038335028,-30.21943094590717,5.660020473973074,-1.28109010471667,-0.5644524447175145,3.582505491942604,0.25,0.2076732938115258,100000.0,94882.04491399965,-5.1179550860003475,5.693111134402716,-0.9354721468037885,0.26732164603907943,17,7,10,0,41.17647058823529,1.3076923076923077,0.38461538461538464,-393.68885276925744,-301.0561815294322,12.941176470588236,10.0,3,4
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,58.0,0.8,0.5,4,-37.057633663617835,-35.37413254441894,-31.246928671460452,5.5476660244798595,-1.4515217680423658,-0.6508917049185521,3.8698699013990994,0.25,0.12825098962241396,100000.0,94195.07969224165,-5.804920307758355,6.1733657826501585,-1.103849536708312,0.16704709286730907,17,7,10,0,41.17647058823529,1.3076923076923077,0.38461538461538464,-446.5323313660265,-341.4659004563732,12.058823529411764,10.0,3,4
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.7,4,-54.09502550892087,-54.124328077409345,-56.97511452841362,0.10911196345093283,-1.6535846703705337,-1.115404495429757,3.582505491942604,0.0,0.116519844166216,100000.0,93473.67928432811,-6.5263207156718845,7.0931303000829065,-1.1221705325988989,0.20766231769591148,18,6,12,0,33.33333333333333,1.2857142857142858,0.2857142857142857,-466.16576540513745,-362.57337309288465,12.5,10.0,2,4
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.5,4,-54.894173484617994,-56.273012641786266,-58.06831627725833,0.0875507385658727,-1.7832615727776306,-1.200879791809714,3.8959195243340075,0.0,0.08299133422550567,100000.0,92963.34192593288,-7.036658074067114,7.456802535999304,-1.2407394703500492,0.14922461216121524,18,6,12,0,33.33333333333333,1.2857142857142858,0.2857142857142857,-502.6184338619382,-390.92544855928526,14.444444444444445,10.0,2,4
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.5,4,-55.340678289067924,-56.843463956466145,-58.53872426071685,0.07782599847025726,-1.8046749953160717,-1.22309640516773,3.8698699013990994,0.0,0.07357080951153364,100000.0,92867.694337253,-7.132305662747007,7.495490367077,-1.2678119765421232,0.13246972746452412,18,6,12,0,33.33333333333333,1.2857142857142858,0.2857142857142857,-509.4504044819301,-396.2392034859456,11.666666666666666,10.0,2,4
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.9,9,-57.548881968611646,-82.09456597211923,-61.2548232656079,0.12663823515278827,-1.796277362009771,-1.0989870652523936,4.527689651656852,0.0,0.06845827415298562,100000.0,91008.59801770904,-8.99140198229096,9.694617160604743,-1.3652817012105316,0.13590578671306644,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-642.2429987350704,-499.52233234949915,22.5,20.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.9,4,-57.6935050755079,-79.7848634832861,-61.019656578780676,0.13119751325634932,-1.6705037936407736,-1.0738569149745731,3.998397778464961,0.0,0.0845441248590591,100000.0,92732.98834723336,-7.267011652766642,7.962042033456557,-1.2305846649401433,0.16211730594222903,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-519.0722609119025,-403.7228695981464,17.5,20.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,1.0,0.9,6,-57.825298799147944,-82.6544408390833,-61.33576310964927,0.12436034090833131,-1.7572785411128444,-1.1043853735125295,4.206850907588392,0.0,0.06073107465307662,100000.0,90874.36500933877,-9.125634990661236,9.671387559796946,-1.3643907879414614,0.12071799817929607,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-651.8310707615175,-506.9797217034025,20.555555555555557,20.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.9,4,-58.31945809343805,-80.30208003719996,-61.82080074571705,0.11593923969418976,-1.7243323263942956,-1.1190879950706067,4.175873165150028,0.0,0.07728757978775093,100000.0,92588.59832032185,-7.411401679678153,8.171274796688841,-1.2675637296959514,0.14872132850000105,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-529.3858342627256,-411.7445377598977,14.444444444444445,10.0,2,5
21,200,18.0,0.8,10,0.35,34.0,66.0,38.0,62.0,0.8,0.9,9,-58.58235706507994,-82.3308423166709,-62.3085161624455,0.11335619024653198,-1.8004499222444599,-1.1468736261982477,4.445579858922284,0.0,0.062313748654953836,100000.0,91147.3337643532,-8.8526662356468,9.600846914972994,-1.3919263529808816,0.12341357387707468,18,4,14,0,22.22222222222222,1.2857142857142858,0.21428571428571427,-632.3333025462023,-491.8147908692684,17.5,10.0,2,5
